Date,vstmopen,vstmclose,vstmlow,vstmhigh,vstmvolume
2012-01-27,11.0,11.09000015258789,10.75,11.470000267028809,747800
2012-01-30,10.619999885559082,11.399999618530273,10.619999885559082,11.399999618530273,88900
2012-01-31,11.100000381469727,10.960000038146973,10.050000190734863,11.149999618530273,110900
2012-02-01,11.180000305175781,11.0,10.739999771118164,11.1899995803833,12100
2012-02-02,11.199999809265137,11.0,10.649999618530273,11.199999809265137,62700
2012-02-03,11.050000190734863,11.140000343322754,10.84000015258789,11.149999618530273,42300
2012-02-06,11.180000305175781,10.9399995803833,10.65999984741211,11.180000305175781,46800
2012-02-07,10.710000038146973,10.930000305175781,10.710000038146973,11.149999618530273,5000
2012-02-08,10.899999618530273,11.0,10.880000114440918,11.180000305175781,15700
2012-02-09,11.010000228881836,10.880000114440918,10.800000190734863,11.109999656677246,13700
2012-02-10,10.880000114440918,10.899999618530273,10.359999656677246,10.899999618530273,48600
2012-02-13,11.390000343322754,11.319999694824219,10.8100004196167,11.630000114440918,34800
2012-02-14,11.270000457763672,11.390000343322754,10.630000114440918,11.569999694824219,29800
2012-02-15,11.029999732971191,11.34000015258789,11.029999732971191,11.539999961853027,19500
2012-02-16,11.75,11.579999923706055,11.289999961853027,11.75,9100
2012-02-17,11.550000190734863,11.520000457763672,11.4399995803833,11.75,29900
2012-02-21,11.59000015258789,11.010000228881836,10.779999732971191,11.609999656677246,4400
2012-02-22,11.069999694824219,11.050000190734863,10.75,11.4399995803833,3900
2012-02-23,10.949999809265137,11.300000190734863,10.949999809265137,11.850000381469727,10200
2012-02-24,11.1899995803833,10.859999656677246,10.5,11.529999732971191,10500
2012-02-27,11.819999694824219,11.5,10.729999542236328,11.819999694824219,2400
2012-02-28,11.850000381469727,11.600000381469727,11.020000457763672,11.850000381469727,3300
2012-02-29,11.5,11.600000381469727,11.029999732971191,11.699999809265137,3100
2012-03-01,11.699999809265137,11.300000190734863,11.010000228881836,11.699999809265137,10500
2012-03-02,11.670000076293945,11.699999809265137,11.029999732971191,11.699999809265137,4800
2012-03-05,11.699999809265137,11.15999984741211,11.140000343322754,11.699999809265137,17300
2012-03-06,11.15999984741211,11.100000381469727,10.779999732971191,11.15999984741211,7100
2012-03-07,11.260000228881836,10.859999656677246,10.729999542236328,11.800000190734863,39500
2012-03-08,10.9399995803833,10.819999694824219,10.800000190734863,11.989999771118164,30100
2012-03-09,10.850000381469727,11.229999542236328,10.710000038146973,11.5,13000
2012-03-12,11.390000343322754,11.359999656677246,10.899999618530273,11.390000343322754,13600
2012-03-13,11.329999923706055,11.199999809265137,10.899999618530273,11.5,17800
2012-03-14,10.970000267028809,11.0,10.90999984741211,11.399999618530273,16200
2012-03-15,11.029999732971191,12.010000228881836,11.029999732971191,12.239999771118164,53700
2012-03-16,12.210000038146973,11.050000190734863,10.949999809265137,12.210000038146973,51900
2012-03-19,11.140000343322754,11.020000457763672,11.020000457763672,11.399999618530273,6500
2012-03-20,10.989999771118164,11.069999694824219,10.949999809265137,11.369999885559082,9000
2012-03-21,11.050000190734863,10.699999809265137,10.510000228881836,11.149999618530273,20100
2012-03-22,10.710000038146973,10.640000343322754,10.0600004196167,10.75,23900
2012-03-23,10.5600004196167,10.930000305175781,10.5600004196167,10.949999809265137,5900
2012-03-26,10.789999961853027,10.869999885559082,10.5,10.949999809265137,11400
2012-03-27,10.949999809265137,10.739999771118164,10.420000076293945,10.949999809265137,31600
2012-03-28,10.65999984741211,10.850000381469727,10.520000457763672,10.880000114440918,20000
2012-03-29,10.779999732971191,10.630000114440918,10.5,10.899999618530273,35400
2012-03-30,10.630000114440918,10.930000305175781,10.579999923706055,11.109999656677246,516800
2012-04-02,10.9399995803833,10.90999984741211,10.649999618530273,11.119999885559082,36500
2012-04-03,10.9399995803833,10.729999542236328,10.520000457763672,10.9399995803833,14400
2012-04-04,10.640000343322754,10.609999656677246,10.550000190734863,10.9399995803833,12400
2012-04-05,10.630000114440918,10.59000015258789,10.59000015258789,10.720000267028809,3000
2012-04-09,10.5,10.770000457763672,10.489999771118164,10.770000457763672,16800
2012-04-10,10.699999809265137,10.59000015258789,10.5600004196167,10.979999542236328,76400
2012-04-11,10.779999732971191,11.109999656677246,10.569999694824219,11.270000457763672,24700
2012-04-12,11.09000015258789,11.0,10.989999771118164,11.369999885559082,17500
2012-04-13,10.710000038146973,10.600000381469727,10.600000381469727,10.899999618530273,9900
2012-04-16,10.619999885559082,10.279999732971191,10.180000305175781,10.619999885559082,8800
2012-04-17,10.390000343322754,10.170000076293945,10.100000381469727,10.5,6000
2012-04-18,10.149999618530273,10.069999694824219,10.039999961853027,10.350000381469727,59600
2012-04-19,10.170000076293945,9.819999694824219,9.819999694824219,10.25,11000
2012-04-20,10.15999984741211,9.890000343322754,9.84000015258789,10.15999984741211,16900
2012-04-23,9.770000457763672,9.789999961853027,9.710000038146973,9.800000190734863,17800
2012-04-24,9.779999732971191,9.949999809265137,9.779999732971191,9.949999809265137,3000
2012-04-25,10.0,9.899999618530273,9.829999923706055,10.260000228881836,15300
2012-04-26,9.899999618530273,9.899999618530273,9.649999618530273,9.989999771118164,13200
2012-04-27,9.960000038146973,9.899999618530273,9.899999618530273,10.010000228881836,27000
2012-04-30,9.829999923706055,10.380000114440918,9.229999542236328,10.399999618530273,70400
2012-05-01,10.229999542236328,10.550000190734863,10.229999542236328,11.329999923706055,19000
2012-05-02,10.550000190734863,10.720000267028809,10.220000267028809,10.720000267028809,4700
2012-05-03,10.680000305175781,9.9399995803833,9.779999732971191,10.680000305175781,17800
