Date,apaopen,apaclose,apalow,apahigh,apavolume
2008-01-02,108.52999877929688,110.30999755859375,108.52999877929688,111.77999877929688,3866000.0
2008-01-03,110.45999908447266,110.58999633789062,109.56999969482422,112.0,2917000.0
2008-01-04,108.19000244140625,107.38999938964844,107.19000244140625,112.48999786376953,3254200.0
2008-01-07,108.2699966430664,105.62999725341797,104.16000366210938,109.05999755859375,3087800.0
2008-01-08,105.58000183105469,103.13999938964844,102.66999816894531,107.75,2961800.0
2008-01-09,102.51000213623047,107.68000030517578,102.20999908447266,107.75,4864200.0
2008-01-10,105.04000091552734,106.04000091552734,104.63999938964844,106.97000122070312,3304500.0
2008-01-11,104.86000061035156,104.91999816894531,104.23999786376953,107.08000183105469,2013300.0
2008-01-14,106.98999786376953,108.55999755859375,105.58999633789062,108.73999786376953,2982900.0
2008-01-15,107.86000061035156,104.6500015258789,104.5999984741211,107.86000061035156,2960200.0
2008-01-16,102.05000305175781,99.6500015258789,99.30999755859375,104.36000061035156,5117100.0
2008-01-17,100.0,94.88999938964844,94.37999725341797,101.5,4711800.0
2008-01-18,93.94000244140625,95.83999633789062,92.58999633789062,97.45999908447266,4700700.0
2008-01-22,88.61000061035156,92.75,88.27999877929688,94.63999938964844,5478200.0
2008-01-23,90.20999908447266,91.33000183105469,84.5199966430664,91.33000183105469,6913900.0
2008-01-24,91.5,93.0199966430664,91.5,95.01000213623047,5759600.0
2008-01-25,95.29000091552734,92.58000183105469,91.56999969482422,96.31999969482422,3884000.0
2008-01-28,92.5199966430664,94.16000366210938,91.69000244140625,94.5,3370500.0
2008-01-29,94.94000244140625,93.81999969482422,93.20999908447266,95.11000061035156,2607800.0
2008-01-30,93.5999984741211,94.29000091552734,92.52999877929688,96.41000366210938,3606500.0
2008-01-31,93.83000183105469,95.36000061035156,91.5999984741211,96.16000366210938,4403200.0
2008-02-01,96.48999786376953,98.47000122070312,95.56999969482422,98.73999786376953,3956400.0
2008-02-04,98.48999786376953,98.4800033569336,97.4000015258789,99.7300033569336,2302600.0
2008-02-05,96.93000030517578,95.30000305175781,95.0,97.61000061035156,2823500.0
2008-02-06,96.0,94.93000030517578,94.31999969482422,97.38999938964844,3020700.0
2008-02-07,97.7300033569336,97.7699966430664,92.5,98.81999969482422,5453900.0
2008-02-08,98.7300033569336,100.62999725341797,98.08999633789062,101.04000091552734,3705800.0
2008-02-11,101.19999694824219,103.52999877929688,99.94999694824219,103.55999755859375,4086600.0
2008-02-12,104.29000091552734,104.80000305175781,103.4000015258789,105.80999755859375,4422900.0
2008-02-13,105.80999755859375,108.22000122070312,104.73999786376953,108.37000274658203,4879100.0
