Date,wbcopen,wbcclose,wbclow,wbchigh,wbcvolume
2008-01-02,50.209999084472656,48.97999954223633,48.83000183105469,50.209999084472656,624900.0
2008-01-03,48.97999954223633,48.4900016784668,48.25,49.459999084472656,408800.0
2008-01-04,48.20000076293945,46.9900016784668,46.7599983215332,48.20000076293945,164000.0
2008-01-07,47.040000915527344,46.459999084472656,46.25,47.75,183300.0
2008-01-08,46.619998931884766,46.5,46.5,47.04999923706055,191900.0
2008-01-09,46.97999954223633,46.2400016784668,45.22999954223633,46.97999954223633,495700.0
2008-01-10,46.099998474121094,45.97999954223633,45.45000076293945,46.29999923706055,323600.0
2008-01-11,45.75,45.279998779296875,45.279998779296875,45.880001068115234,191000.0
2008-01-14,45.25,46.22999954223633,45.25,46.34000015258789,173000.0
2008-01-15,45.83000183105469,45.150001525878906,44.880001068115234,45.939998626708984,173600.0
2008-01-16,45.0,45.08000183105469,44.790000915527344,45.810001373291016,448900.0
2008-01-17,45.13999938964844,43.189998626708984,43.189998626708984,45.79999923706055,922400.0
2008-01-18,43.290000915527344,42.75,42.06999969482422,43.72999954223633,424500.0
2008-01-22,41.040000915527344,42.20000076293945,41.0,43.369998931884766,419000.0
2008-01-23,40.79999923706055,40.81999969482422,38.0099983215332,41.5,1566000.0
2008-01-24,40.619998931884766,39.349998474121094,38.849998474121094,40.709999084472656,588300.0
2008-01-25,39.310001373291016,40.5,39.16999816894531,40.84000015258789,377300.0
2008-01-28,40.88999938964844,40.900001525878906,39.90999984741211,41.02000045776367,289300.0
2008-01-29,40.349998474121094,40.369998931884766,39.95000076293945,40.81999969482422,354500.0
2008-01-30,40.560001373291016,39.720001220703125,39.720001220703125,40.650001525878906,308200.0
2008-01-31,39.630001068115234,40.38999938964844,39.630001068115234,40.84000015258789,588000.0
2008-02-01,40.25,43.189998626708984,39.95000076293945,43.189998626708984,854500.0
2008-02-04,42.689998626708984,42.43000030517578,41.619998931884766,43.119998931884766,250000.0
2008-02-05,42.15999984741211,41.650001525878906,41.5,42.470001220703125,298700.0
2008-02-06,41.79999923706055,41.52000045776367,41.22999954223633,42.529998779296875,348600.0
2008-02-07,44.279998779296875,43.5,43.0,44.869998931884766,1029900.0
2008-02-08,43.83000183105469,43.099998474121094,42.869998931884766,43.83000183105469,445300.0
2008-02-11,43.04999923706055,43.56999969482422,42.310001373291016,43.70000076293945,244900.0
2008-02-12,43.79999923706055,43.20000076293945,43.040000915527344,44.4900016784668,319500.0
2008-02-13,43.529998779296875,44.13999938964844,43.4900016784668,45.2400016784668,453500.0
2008-02-14,44.630001068115234,43.81999969482422,43.38999938964844,44.91999816894531,335600.0
2008-02-15,43.880001068115234,44.0,43.849998474121094,44.5,413200.0
2008-02-19,44.13999938964844,43.90999984741211,43.88999938964844,44.619998931884766,196000.0
2008-02-20,44.0,43.939998626708984,43.13999938964844,44.119998931884766,158200.0
2008-02-21,43.95000076293945,42.52000045776367,42.25,44.25,323900.0
2008-02-22,42.400001525878906,42.290000915527344,41.90999984741211,42.869998931884766,416300.0
2008-02-25,42.11000061035156,43.40999984741211,42.11000061035156,43.97999954223633,273200.0
2008-02-26,42.83000183105469,44.380001068115234,42.83000183105469,45.06999969482422,238700.0
2008-02-27,44.29999923706055,44.18000030517578,43.060001373291016,44.41999816894531,232200.0
2008-02-28,44.04999923706055,43.33000183105469,43.15999984741211,44.04999923706055,150200.0
2008-02-29,43.0,41.779998779296875,40.970001220703125,43.16999816894531,408300.0
2008-03-03,41.45000076293945,43.45000076293945,41.400001525878906,43.93000030517578,469600.0
2008-03-04,42.91999816894531,43.02000045776367,42.5,43.470001220703125,281000.0
2008-03-05,42.84000015258789,43.040000915527344,42.119998931884766,43.189998626708984,251700.0
2008-03-06,43.02000045776367,42.65999984741211,42.31999969482422,43.290000915527344,225700.0
2008-03-07,42.08000183105469,42.08000183105469,41.79999923706055,43.84000015258789,162400.0
2008-03-10,41.959999084472656,41.400001525878906,41.31999969482422,42.43000030517578,133400.0
2008-03-11,41.86000061035156,43.130001068115234,41.560001373291016,43.40999984741211,216100.0
2008-03-12,43.0099983215332,42.47999954223633,42.25,43.130001068115234,176300.0
2008-03-13,41.220001220703125,41.13999938964844,38.86000061035156,42.189998626708984,1802700.0
