Date,vloopen,vloclose,vlolow,vlohigh,vlovolume
2008-01-02,64.1407699584961,63.48263168334961,63.07129669189453,65.00914001464844,6565200.0
2008-01-03,63.70201110839844,60.72212219238281,60.283363342285156,63.70201110839844,11518000.0
2008-01-04,60.32906723022461,58.628883361816406,58.31809997558594,60.35649108886719,9964600.0
2008-01-07,57.97074890136719,58.22669219970703,57.02925109863281,58.67458724975586,11786200.0
2008-01-08,58.711151123046875,57.79707336425781,57.63254165649414,59.707496643066406,9519800.0
2008-01-09,58.02559280395508,56.371116638183594,55.49360275268555,58.02559280395508,12456100.0
2008-01-10,55.85923385620117,57.001827239990234,55.41133499145508,57.35831832885742,8056100.0
2008-01-11,56.672760009765625,54.497257232666016,54.168190002441406,56.672760009765625,11273500.0
2008-01-14,55.04570388793945,54.72577667236328,54.232173919677734,55.07312774658203,13024200.0
2008-01-15,53.19926834106445,50.18281555175781,50.18281555175781,53.36380386352539,23024700.0
2008-01-16,50.18281555175781,49.04935836791992,47.83363723754883,50.9232177734375,22815300.0
2008-01-17,49.908592224121094,47.64168167114258,47.35831832885742,50.65813446044922,15339900.0
2008-01-18,48.08958053588867,49.387569427490234,47.20292663574219,49.54296112060547,15194700.0
2008-01-22,47.193782806396484,48.42778778076172,46.38939666748047,48.88482666015625,11423200.0
2008-01-23,47.349178314208984,48.49177169799805,43.69287109375,48.592323303222656,19259300.0
2008-01-24,48.985374450683594,50.57586669921875,48.903106689453125,50.85923385620117,13445500.0
2008-01-25,51.43510055541992,49.899452209472656,49.579524993896484,52.57769775390625,11611900.0
2008-01-28,49.81718444824219,50.18281555175781,49.497257232666016,51.234004974365234,9285700.0
2008-01-29,53.985374450683594,55.37477111816406,53.87568664550781,56.11517333984375,21054100.0
2008-01-30,55.091407775878906,54.43327331542969,53.793418884277344,56.270565032958984,12423400.0
2008-01-31,54.095062255859375,53.985374450683594,52.50457000732422,54.65264892578125,10496900.0
2008-02-01,54.305301666259766,55.0,53.94881057739258,55.118831634521484,7671300.0
2008-02-04,55.04570388793945,54.91773223876953,54.64350891113281,55.639854431152344,4899800.0
2008-02-05,53.921390533447266,52.30347442626953,52.10237503051758,54.460693359375,7881200.0
2008-02-06,52.76051330566406,51.62705612182617,51.38939666748047,52.998172760009766,8770200.0
2008-02-07,51.18830108642578,52.22120666503906,50.420475006103516,52.88848114013672,8191900.0
2008-02-08,52.03839111328125,53.82998275756836,52.03839111328125,54.12248611450195,7194400.0
2008-02-11,53.82998275756836,53.85740280151367,52.44972610473633,54.10420608520508,7307400.0
2008-02-12,54.0767822265625,52.733089447021484,51.755027770996094,55.42961502075195,10054400.0
2008-02-13,53.63802719116211,54.113346099853516,52.650821685791016,54.497257232666016,7789400.0
2008-02-14,54.42413330078125,53.711151123046875,53.47349166870117,54.844608306884766,5329900.0
2008-02-15,52.842777252197266,53.35466003417969,51.65447998046875,53.4552116394043,8553900.0
