Date,pbsvopen,pbsvclose,pbsvlow,pbsvhigh,pbsvvolume
2008-01-02,0.7400000095367432,0.7400000095367432,0.6499999761581421,0.7400000095367432,7500.0
2008-01-03,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.0
2008-01-04,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.0
2008-01-07,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.0
2008-01-08,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.0
2008-01-09,0.6600000262260437,0.6600000262260437,0.6600000262260437,0.6600000262260437,200.0
2008-01-10,0.6600000262260437,0.6600000262260437,0.6600000262260437,0.6600000262260437,10000.0
2008-01-11,0.6600000262260437,0.6600000262260437,0.6600000262260437,0.6600000262260437,0.0
2008-01-14,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,1500.0
2008-01-15,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.0
2008-01-16,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.0
2008-01-17,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.0
2008-01-18,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.0
2008-01-22,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,0.0
2008-01-23,0.6600000262260437,0.5899999737739563,0.5899999737739563,0.6600000262260437,44000.0
2008-01-24,0.6200000047683716,0.6200000047683716,0.6200000047683716,0.6200000047683716,1300.0
2008-01-25,0.6200000047683716,0.6200000047683716,0.6200000047683716,0.6200000047683716,0.0
2008-01-28,0.6200000047683716,0.6200000047683716,0.6200000047683716,0.6200000047683716,0.0
2008-01-29,0.7699999809265137,0.7699999809265137,0.7699999809265137,0.7699999809265137,17500.0
2008-01-30,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,3000.0
2008-01-31,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,2100.0
2008-02-01,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.0
2008-02-04,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,10000.0
2008-02-05,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-06,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-07,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-08,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-11,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-12,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-13,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-14,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-15,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-19,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-20,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.0
2008-02-21,0.6700000166893005,0.5899999737739563,0.5799999833106995,0.6700000166893005,12500.0
2008-02-22,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.0
2008-02-25,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.0
2008-02-26,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.0
2008-02-27,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.0
2008-02-28,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.0
2008-02-29,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.0
2008-03-03,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.0
2008-03-04,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.0
2008-03-05,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.0
2008-03-06,0.550000011920929,0.5199999809265137,0.5199999809265137,0.550000011920929,10000.0
2008-03-07,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-10,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-11,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-12,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-13,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-14,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-17,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-18,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-19,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-20,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-24,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-25,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
2008-03-26,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0
