Date,astcopen,astcclose,astclow,astchigh,astcvolume
2008-01-02,7.800000190734863,8.199999809265137,7.699999809265137,8.399999618530273,1200.0
2008-01-03,8.5,8.899999618530273,8.399999618530273,8.899999618530273,2300.0
2008-01-04,9.449999809265137,7.650000095367432,7.599999904632568,9.449999809265137,6600.0
2008-01-07,7.699999809265137,8.449999809265137,7.699999809265137,8.899999618530273,1300.0
2008-01-08,8.5,8.5,7.5,8.5,700.0
2008-01-09,7.599999904632568,8.199999809265137,7.5,8.300000190734863,1200.0
2008-01-10,7.699999809265137,7.949999809265137,7.5,8.050000190734863,2500.0
2008-01-11,8.050000190734863,7.800000190734863,7.150000095367432,8.100000381469727,5400.0
2008-01-14,7.5,6.699999809265137,6.599999904632568,7.800000190734863,3400.0
2008-01-15,7.199999809265137,7.5,7.199999809265137,7.550000190734863,6000.0
2008-01-16,7.300000190734863,7.349999904632568,6.25,7.699999809265137,2000.0
2008-01-17,7.550000190734863,7.050000190734863,6.550000190734863,7.699999809265137,1200.0
2008-01-18,7.25,6.900000095367432,6.599999904632568,7.300000190734863,3100.0
2008-01-22,6.599999904632568,6.050000190734863,5.800000190734863,7.300000190734863,4800.0
2008-01-23,7.0,6.199999809265137,5.800000190734863,7.25,5800.0
2008-01-24,6.050000190734863,5.650000095367432,5.25,6.25,8900.0
2008-01-25,5.599999904632568,5.199999809265137,5.199999809265137,5.800000190734863,7400.0
2008-01-28,5.349999904632568,5.25,5.25,5.5,5300.0
2008-01-29,5.5,5.349999904632568,5.300000190734863,6.050000190734863,7700.0
2008-01-30,6.199999809265137,5.800000190734863,5.349999904632568,6.199999809265137,2800.0
2008-01-31,5.400000095367432,5.449999809265137,5.400000095367432,6.199999809265137,4700.0
2008-02-01,5.699999809265137,5.75,5.5,5.75,3000.0
2008-02-04,5.849999904632568,5.75,5.25,5.849999904632568,2700.0
2008-02-05,5.849999904632568,5.099999904632568,5.050000190734863,5.849999904632568,7500.0
2008-02-06,5.099999904632568,5.0,5.0,5.150000095367432,5300.0
2008-02-07,5.150000095367432,5.099999904632568,5.099999904632568,5.449999809265137,4800.0
2008-02-08,5.199999809265137,5.25,4.0,5.449999809265137,2600.0
2008-02-11,5.400000095367432,5.599999904632568,5.050000190734863,6.0,9200.0
2008-02-12,5.25,7.800000190734863,5.25,8.649999618530273,67600.0
2008-02-13,9.649999618530273,8.899999618530273,8.149999618530273,11.300000190734863,114800.0
2008-02-14,8.800000190734863,9.149999618530273,8.25,9.399999618530273,42600.0
2008-02-15,8.899999618530273,9.0,7.650000095367432,9.0,26400.0
2008-02-19,9.5,9.300000190734863,8.25,9.550000190734863,42800.0
2008-02-20,5.650000095367432,5.699999809265137,5.25,6.0,47100.0
2008-02-21,5.949999809265137,5.300000190734863,5.25,5.949999809265137,9100.0
2008-02-22,5.5,4.75,4.449999809265137,6.199999809265137,41300.0
2008-02-25,4.650000095367432,4.650000095367432,4.449999809265137,5.150000095367432,8000.0
2008-02-26,5.550000190734863,4.800000190734863,4.650000095367432,5.550000190734863,8600.0
2008-02-27,4.75,4.599999904632568,4.449999809265137,4.849999904632568,10000.0
2008-02-28,4.599999904632568,4.599999904632568,4.449999809265137,4.75,4900.0
2008-02-29,4.650000095367432,4.25,4.25,4.650000095367432,4700.0
2008-03-03,4.849999904632568,4.25,4.0,4.849999904632568,6200.0
2008-03-04,4.349999904632568,4.099999904632568,4.099999904632568,4.5,3500.0
2008-03-05,4.800000190734863,4.550000190734863,4.0,4.800000190734863,2900.0
2008-03-06,4.650000095367432,4.5,4.0,4.800000190734863,2700.0
2008-03-07,4.0,4.0,3.950000047683716,4.699999809265137,11300.0
2008-03-10,3.950000047683716,4.0,3.700000047683716,4.300000190734863,4300.0
2008-03-11,4.050000190734863,4.650000095367432,4.050000190734863,4.650000095367432,1400.0
2008-03-12,4.5,4.5,4.050000190734863,4.550000190734863,1600.0
2008-03-13,4.5,4.0,3.950000047683716,4.550000190734863,12100.0
2008-03-14,3.9000000953674316,3.75,3.75,4.150000095367432,5500.0
2008-03-17,3.1500000953674316,3.5,3.1500000953674316,3.950000047683716,6000.0
2008-03-18,3.5,3.8499999046325684,3.5,3.8499999046325684,2300.0
2008-03-19,4.5,3.950000047683716,3.8499999046325684,4.5,2600.0
2008-03-20,3.950000047683716,3.25,3.25,3.950000047683716,4500.0
2008-03-24,3.3499999046325684,3.3499999046325684,3.3499999046325684,3.75,1500.0
2008-03-25,3.450000047683716,3.25,3.25,3.5,1600.0
2008-03-26,3.25,3.299999952316284,3.0,3.299999952316284,12900.0
2008-03-27,3.3499999046325684,3.299999952316284,3.1500000953674316,3.450000047683716,900.0
2008-03-28,3.5,3.25,3.25,3.5,5400.0
2008-03-31,3.25,2.8499999046325684,2.75,3.25,8900.0
2008-04-01,3.0,2.9000000953674316,2.8499999046325684,3.0999999046325684,4100.0
2008-04-02,3.0999999046325684,2.9000000953674316,2.799999952316284,3.0999999046325684,3300.0
2008-04-03,3.0,2.3499999046325684,2.200000047683716,3.0,22100.0
2008-04-04,2.5,2.5,2.3499999046325684,2.6500000953674316,9100.0
2008-04-07,2.5,2.700000047683716,2.5,2.75,6300.0
2008-04-08,3.0,2.450000047683716,2.450000047683716,3.0,7900.0
2008-04-09,2.5,2.4000000953674316,2.4000000953674316,2.549999952316284,4700.0
2008-04-10,2.4000000953674316,2.3499999046325684,2.25,2.5,2900.0
2008-04-11,2.5,2.299999952316284,2.25,2.5,1200.0
2008-04-14,2.25,2.25,2.25,2.5,4600.0
