Date,shpgfopen,shpgfclose,shpgflow,shpgfhigh,shpgfvolume
2010-04-26,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,235800.0
2010-04-27,22.3700008392334,22.3700008392334,22.3700008392334,22.3700008392334,500.0
2010-04-28,22.3700008392334,22.3700008392334,22.3700008392334,22.3700008392334,0.0
2010-04-29,22.450000762939453,22.049999237060547,22.049999237060547,22.450000762939453,350100.0
2010-04-30,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,4600.0
2010-05-03,21.700000762939453,21.75,21.700000762939453,21.75,472800.0
2010-05-04,21.75,21.75,21.75,21.75,100.0
2010-05-05,21.75,21.75,21.75,21.75,0.0
2010-05-06,21.399999618530273,20.899999618530273,20.899999618530273,21.399999618530273,1200.0
2010-05-07,20.450000762939453,20.450000762939453,20.450000762939453,20.450000762939453,1200.0
2010-05-10,21.450000762939453,21.25,21.25,21.450000762939453,2100.0
2010-05-11,20.950000762939453,20.950000762939453,20.950000762939453,20.950000762939453,10500.0
2010-05-12,20.950000762939453,20.950000762939453,20.950000762939453,20.950000762939453,0.0
2010-05-13,20.950000762939453,20.950000762939453,20.950000762939453,20.950000762939453,0.0
2010-05-14,20.950000762939453,20.950000762939453,20.950000762939453,20.950000762939453,0.0
2010-05-17,20.950000762939453,20.950000762939453,20.950000762939453,20.950000762939453,0.0
2010-05-18,20.950000762939453,20.950000762939453,20.950000762939453,20.950000762939453,100.0
2010-05-19,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,200.0
2010-05-20,19.700000762939453,19.700000762939453,19.700000762939453,19.700000762939453,400.0
2010-05-21,19.700000762939453,19.700000762939453,19.700000762939453,19.700000762939453,0.0
2010-05-24,19.399999618530273,19.399999618530273,19.399999618530273,19.399999618530273,600.0
2010-05-25,19.399999618530273,19.399999618530273,19.399999618530273,19.399999618530273,0.0
2010-05-26,19.399999618530273,19.399999618530273,19.399999618530273,19.399999618530273,0.0
2010-05-27,19.399999618530273,19.399999618530273,19.399999618530273,19.399999618530273,0.0
2010-05-28,19.399999618530273,19.399999618530273,19.399999618530273,19.399999618530273,0.0
2010-06-01,19.399999618530273,19.399999618530273,19.399999618530273,19.399999618530273,0.0
2010-06-02,21.270000457763672,21.350000381469727,21.0,21.350000381469727,345600.0
2010-06-03,21.299999237060547,21.149999618530273,21.030000686645508,21.3799991607666,4800.0
