Date,tifopen,tifclose,tiflow,tifhigh,tifvolume
2008-01-02,46.0099983215332,43.95000076293945,43.599998474121094,46.13999938964844,2358200.0
2008-01-03,44.16999816894531,42.2400016784668,42.040000915527344,44.459999084472656,2120900.0
2008-01-04,41.959999084472656,41.380001068115234,40.20000076293945,41.959999084472656,2722700.0
2008-01-07,41.54999923706055,41.849998474121094,40.81999969482422,42.52000045776367,2802300.0
2008-01-08,42.150001525878906,40.83000183105469,40.75,42.25,1983700.0
2008-01-09,40.83000183105469,40.619998931884766,39.04999923706055,40.84000015258789,3203100.0
2008-01-10,40.08000183105469,40.31999969482422,39.77000045776367,41.099998474121094,3548300.0
2008-01-11,37.95000076293945,35.79999923706055,34.650001525878906,37.95000076293945,12003300.0
2008-01-14,35.83000183105469,34.040000915527344,32.84000015258789,35.869998931884766,8401300.0
2008-01-15,33.5,35.65999984741211,33.459999084472656,35.869998931884766,6772400.0
2008-01-16,35.43000030517578,36.9900016784668,35.43000030517578,37.33000183105469,4899900.0
2008-01-17,37.029998779296875,37.18000030517578,36.290000915527344,39.0,6491000.0
2008-01-18,37.5,37.4900016784668,37.18000030517578,39.810001373291016,5754800.0
2008-01-22,35.25,37.939998626708984,34.099998474121094,38.41999816894531,6894500.0
2008-01-23,36.77000045776367,39.130001068115234,36.22999954223633,39.369998931884766,6676900.0
2008-01-24,39.279998779296875,38.66999816894531,37.91999816894531,40.33000183105469,2880700.0
2008-01-25,39.11000061035156,37.2599983215332,36.900001525878906,39.13999938964844,2551900.0
2008-01-28,37.2400016784668,38.70000076293945,36.41999816894531,38.81999969482422,1702700.0
2008-01-29,38.86000061035156,39.20000076293945,37.900001525878906,39.380001068115234,1374900.0
2008-01-30,39.0,37.349998474121094,37.349998474121094,39.060001373291016,3509800.0
2008-01-31,36.83000183105469,39.790000915527344,36.5,40.459999084472656,4230000.0
2008-02-01,40.36000061035156,40.86000061035156,39.93000030517578,41.15999984741211,2123900.0
2008-02-04,40.86000061035156,38.790000915527344,38.599998474121094,40.86000061035156,2912800.0
2008-02-05,38.029998779296875,37.630001068115234,37.25,39.66999816894531,3628900.0
2008-02-06,37.95000076293945,36.72999954223633,36.63999938964844,39.09000015258789,3531900.0
2008-02-07,36.5099983215332,38.18000030517578,36.2599983215332,38.7599983215332,2560500.0
2008-02-08,40.13999938964844,39.86000061035156,39.529998779296875,42.7400016784668,6594700.0
2008-02-11,39.93000030517578,39.70000076293945,38.79999923706055,40.189998626708984,4073000.0
2008-02-12,39.869998931884766,40.2599983215332,39.86000061035156,40.95000076293945,2583200.0
2008-02-13,40.43000030517578,39.88999938964844,39.13999938964844,40.66999816894531,2712800.0
2008-02-14,39.97999954223633,39.150001525878906,39.040000915527344,40.4900016784668,1959300.0
2008-02-15,39.119998931884766,38.52000045776367,37.95000076293945,39.119998931884766,1750900.0
2008-02-19,39.119998931884766,37.5,37.349998474121094,39.189998626708984,2096800.0
2008-02-20,37.09000015258789,37.86000061035156,36.880001068115234,38.040000915527344,2437300.0
2008-02-21,37.93000030517578,36.90999984741211,36.7400016784668,38.470001220703125,1729600.0
2008-02-22,36.9900016784668,37.31999969482422,36.33000183105469,37.54999923706055,2053600.0
2008-02-25,37.27000045776367,40.459999084472656,36.810001373291016,40.93000030517578,5884000.0
2008-02-26,40.040000915527344,40.75,39.84000015258789,41.849998474121094,3266400.0
2008-02-27,40.18000030517578,40.25,39.040000915527344,40.779998779296875,3107100.0
2008-02-28,40.08000183105469,39.119998931884766,39.029998779296875,40.36000061035156,2223200.0
2008-02-29,38.7599983215332,37.63999938964844,37.29999923706055,38.959999084472656,1743800.0
2008-03-03,37.5099983215332,38.689998626708984,36.88999938964844,39.06999969482422,2370800.0
2008-03-04,38.400001525878906,39.08000183105469,38.11000061035156,39.58000183105469,2138200.0
2008-03-05,39.16999816894531,38.93000030517578,38.540000915527344,40.31999969482422,1940400.0
2008-03-06,38.81999969482422,37.209999084472656,37.119998931884766,39.0,2089400.0
2008-03-07,36.939998626708984,37.47999954223633,36.58000183105469,37.790000915527344,2379100.0
2008-03-10,37.59000015258789,35.869998931884766,35.84000015258789,37.95000076293945,1962200.0
2008-03-11,36.70000076293945,38.040000915527344,36.22999954223633,38.040000915527344,2183300.0
2008-03-12,38.11000061035156,37.25,37.16999816894531,38.689998626708984,2348700.0
2008-03-13,36.66999816894531,38.77000045776367,35.650001525878906,39.290000915527344,3347400.0
2008-03-14,39.099998474121094,37.75,36.93000030517578,39.290000915527344,2692300.0
2008-03-17,36.91999816894531,36.400001525878906,35.029998779296875,37.13999938964844,4835900.0
2008-03-18,37.029998779296875,36.439998626708984,35.43000030517578,37.5,3870900.0
2008-03-19,37.0099983215332,36.599998474121094,36.349998474121094,37.5,2299300.0
2008-03-20,36.63999938964844,38.599998474121094,36.25,38.95000076293945,4288700.0
2008-03-24,41.810001373291016,42.650001525878906,41.0,44.400001525878906,8774900.0
2008-03-25,42.02000045776367,43.560001373291016,40.95000076293945,43.77000045776367,6035500.0
2008-03-26,42.959999084472656,44.38999938964844,42.81999969482422,44.70000076293945,4863800.0
2008-03-27,44.220001220703125,43.150001525878906,43.029998779296875,44.95000076293945,3330600.0
2008-03-28,40.880001068115234,41.150001525878906,39.650001525878906,42.59000015258789,4535400.0
2008-03-31,41.060001373291016,41.84000015258789,40.79999923706055,42.2599983215332,2413600.0
2008-04-01,42.400001525878906,43.65999984741211,42.400001525878906,43.810001373291016,2179600.0
2008-04-02,43.75,43.5099983215332,42.880001068115234,44.22999954223633,1914700.0
