Date,clropen,clrclose,clrlow,clrhigh,clrvolume
2008-01-02,13.180000305175781,13.5,13.145000457763672,14.045000076293945,729000.0
2008-01-03,13.654999732971191,13.5,13.199999809265137,13.670000076293945,723000.0
2008-01-04,13.524999618530273,13.28499984741211,13.1899995803833,13.600000381469727,371200.0
2008-01-07,13.350000381469727,12.864999771118164,12.630000114440918,13.545000076293945,516200.0
2008-01-08,12.949999809265137,12.744999885559082,12.670000076293945,13.045000076293945,319000.0
2008-01-09,12.744999885559082,12.975000381469727,12.670000076293945,13.050000190734863,692000.0
2008-01-10,12.899999618530273,12.899999618530273,12.859999656677246,13.005000114440918,214600.0
2008-01-11,12.925000190734863,13.460000038146973,12.859999656677246,13.53499984741211,1208000.0
2008-01-14,13.675000190734863,13.555000305175781,13.180000305175781,13.675000190734863,1207600.0
2008-01-15,13.800000190734863,13.074999809265137,13.055000305175781,13.800000190734863,527800.0
2008-01-16,13.0,12.75,12.654999732971191,13.204999923706055,1095400.0
2008-01-17,12.789999961853027,11.420000076293945,11.225000381469727,12.96500015258789,1090800.0
2008-01-18,11.404999732971191,11.529999732971191,10.899999618530273,11.729999542236328,589400.0
2008-01-22,10.960000038146973,11.25,10.274999618530273,11.4399995803833,437400.0
2008-01-23,11.024999618530273,10.90999984741211,10.300000190734863,11.140000343322754,1015000.0
2008-01-24,11.100000381469727,11.829999923706055,11.100000381469727,11.984999656677246,716800.0
2008-01-25,11.975000381469727,11.859999656677246,11.649999618530273,12.3100004196167,336600.0
2008-01-28,11.664999961853027,12.414999961853027,11.569999694824219,12.449999809265137,666200.0
2008-01-29,12.524999618530273,12.289999961853027,12.0649995803833,12.524999618530273,716800.0
2008-01-30,12.28499984741211,12.699999809265137,12.225000381469727,12.954999923706055,471600.0
2008-01-31,12.649999618530273,12.454999923706055,12.274999618530273,12.729999542236328,709000.0
2008-02-01,12.53499984741211,12.395000457763672,12.239999771118164,12.645000457763672,645800.0
2008-02-04,12.515000343322754,12.600000381469727,12.28499984741211,12.675000190734863,619200.0
2008-02-05,12.539999961853027,12.09000015258789,12.055000305175781,12.625,444800.0
2008-02-06,12.03499984741211,11.350000381469727,11.295000076293945,12.03499984741211,625400.0
2008-02-07,11.425000190734863,11.279999732971191,10.859999656677246,11.494999885559082,1172600.0
2008-02-08,11.335000038146973,11.550000190734863,11.220000267028809,11.774999618530273,1065400.0
2008-02-11,11.539999961853027,12.029999732971191,11.390000343322754,12.279999732971191,507200.0
2008-02-12,12.020000457763672,12.28499984741211,11.975000381469727,12.5,668400.0
2008-02-13,12.350000381469727,12.515000343322754,12.03499984741211,12.680000305175781,428000.0
2008-02-14,12.520000457763672,12.694999694824219,12.4350004196167,13.319999694824219,523400.0
2008-02-15,12.625,12.604999542236328,12.494999885559082,12.8100004196167,405600.0
2008-02-19,12.664999961853027,13.0,12.664999961853027,13.164999961853027,260800.0
2008-02-20,12.664999961853027,13.430000305175781,12.664999961853027,13.4350004196167,1125400.0
2008-02-21,13.430000305175781,12.739999771118164,12.59000015258789,13.430000305175781,496000.0
