Date,cgnxopen,cgnxclose,cgnxlow,cgnxhigh,cgnxvolume
2008-01-02,5.019999980926514,4.96750020980835,4.945000171661377,5.099999904632568,1643600.0
2008-01-03,4.997499942779541,4.902500152587891,4.902500152587891,5.034999847412109,1069200.0
2008-01-04,4.885000228881836,4.722499847412109,4.65749979019165,4.892499923706055,973600.0
2008-01-07,4.752500057220459,4.677499771118164,4.610000133514404,4.784999847412109,895600.0
2008-01-08,4.710000038146973,4.462500095367432,4.460000038146973,4.78249979019165,803200.0
2008-01-09,4.46750020980835,4.570000171661377,4.46750020980835,4.619999885559082,976400.0
2008-01-10,4.507500171661377,4.610000133514404,4.452499866485596,4.639999866485596,844000.0
2008-01-11,4.5625,4.385000228881836,4.375,4.5625,690400.0
2008-01-14,4.440000057220459,4.472499847412109,4.382500171661377,4.519999980926514,723600.0
2008-01-15,4.402500152587891,4.402500152587891,4.355000019073486,4.474999904632568,551600.0
2008-01-16,4.382500171661377,4.402500152587891,4.307499885559082,4.5,943600.0
2008-01-17,4.427499771118164,4.300000190734863,4.269999980926514,4.46750020980835,564000.0
2008-01-18,4.297500133514404,4.127500057220459,4.112500190734863,4.367499828338623,1084000.0
2008-01-22,4.037499904632568,4.192500114440918,3.9749999046325684,4.360000133514404,1106000.0
2008-01-23,4.117499828338623,4.087500095367432,3.880000114440918,4.227499961853027,1978400.0
2008-01-24,4.079999923706055,3.9825000762939453,3.8975000381469727,4.079999923706055,1933600.0
2008-01-25,4.047500133514404,4.045000076293945,3.9725000858306885,4.050000190734863,3594400.0
2008-01-28,4.005000114440918,4.0,3.9725000858306885,4.037499904632568,2258800.0
2008-01-29,4.017499923706055,3.9800000190734863,3.9549999237060547,4.039999961853027,1768800.0
2008-01-30,3.952500104904175,3.877500057220459,3.827500104904175,3.9674999713897705,2431200.0
2008-01-31,3.807499885559082,3.825000047683716,3.7774999141693115,3.9200000762939453,2034800.0
2008-02-01,3.8475000858306885,4.045000076293945,3.8125,4.065000057220459,1375200.0
2008-02-04,4.042500019073486,4.047500133514404,3.984999895095825,4.102499961853027,1180800.0
2008-02-05,3.9574999809265137,3.9175000190734863,3.9149999618530273,4.007500171661377,940000.0
2008-02-06,3.9549999237060547,3.9049999713897705,3.9000000953674316,4.025000095367432,624400.0
