Date,psaopen,psaclose,psalow,psahigh,psavolume
2008-01-02,73.55999755859375,74.04000091552734,73.0,75.11000061035156,1067100.0
2008-01-03,74.62999725341797,72.56999969482422,72.1500015258789,74.88999938964844,1348700.0
2008-01-04,72.02999877929688,69.91000366210938,69.91000366210938,72.02999877929688,1579100.0
2008-01-07,70.4000015258789,69.91999816894531,68.5199966430664,70.72000122070312,1258400.0
2008-01-08,69.98999786376953,66.77999877929688,66.4800033569336,72.12999725341797,1516500.0
2008-01-09,67.04000091552734,69.47000122070312,65.66000366210938,69.7300033569336,2517200.0
2008-01-10,68.80999755859375,71.7300033569336,68.52999877929688,72.87999725341797,1785900.0
2008-01-11,71.19000244140625,71.86000061035156,69.08999633789062,72.95999908447266,1638700.0
2008-01-14,72.30000305175781,73.05000305175781,70.27999877929688,73.30000305175781,1392700.0
2008-01-15,71.6500015258789,71.7699966430664,70.69999694824219,73.06999969482422,1550800.0
2008-01-16,71.6500015258789,72.19000244140625,71.5,73.8499984741211,1747400.0
2008-01-17,72.68000030517578,72.02999877929688,71.41999816894531,73.69999694824219,1846500.0
2008-01-18,72.16999816894531,72.0199966430664,70.63999938964844,73.62000274658203,2126900.0
2008-01-22,69.02999877929688,74.44000244140625,68.22000122070312,74.91999816894531,2485400.0
2008-01-23,73.16999816894531,80.44999694824219,72.58000183105469,81.41999816894531,2756600.0
2008-01-24,80.62999725341797,78.77999877929688,76.62000274658203,80.62999725341797,1818400.0
2008-01-25,79.38999938964844,76.91999816894531,76.41999816894531,79.8499984741211,1923600.0
2008-01-28,77.80000305175781,79.9000015258789,75.56999969482422,79.93000030517578,1055800.0
2008-01-29,80.0999984741211,78.62999725341797,78.33000183105469,80.16999816894531,1101700.0
2008-01-30,78.91000366210938,77.04000091552734,76.70999908447266,80.43000030517578,1324900.0
2008-01-31,77.04000091552734,78.16000366210938,74.36000061035156,79.2699966430664,2037700.0
2008-02-01,78.54000091552734,81.06999969482422,77.5,81.3499984741211,2513900.0
