Date,abmcopen,abmcclose,abmclow,abmchigh,abmcvolume
2008-01-02,0.9800000190734863,0.8199999928474426,0.8199999928474426,0.9800000190734863,15900
2008-01-03,0.8299999833106995,0.8500000238418579,0.8299999833106995,0.8500000238418579,45800
2008-01-04,0.8500000238418579,0.8399999737739563,0.8399999737739563,0.8500000238418579,24900
2008-01-07,0.8199999928474426,0.7900000214576721,0.7400000095367432,0.8199999928474426,22000
2008-01-08,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,26700
2008-01-09,0.7599999904632568,0.75,0.75,0.800000011920929,10500
2008-01-10,0.75,0.7599999904632568,0.7400000095367432,0.7699999809265137,8600
2008-01-11,0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,100
2008-01-14,0.7699999809265137,0.7599999904632568,0.7599999904632568,0.7699999809265137,2600
2008-01-15,0.7699999809265137,0.7699999809265137,0.7699999809265137,0.7699999809265137,9300
2008-01-16,0.800000011920929,0.7300000190734863,0.7300000190734863,0.8899999856948853,29000
2008-01-17,0.7599999904632568,0.7099999785423279,0.7099999785423279,0.7599999904632568,6300
2008-01-18,0.7099999785423279,0.699999988079071,0.699999988079071,0.7099999785423279,13000
2008-01-22,0.6800000071525574,0.6499999761581421,0.6499999761581421,0.699999988079071,18500
2008-01-23,0.6499999761581421,0.6600000262260437,0.6399999856948853,0.6600000262260437,9600
2008-01-24,0.6700000166893005,0.6000000238418579,0.5699999928474426,0.6700000166893005,31000
2008-01-25,0.6399999856948853,0.5899999737739563,0.5899999737739563,0.6399999856948853,50200
2008-01-28,0.5899999737739563,0.6000000238418579,0.5699999928474426,0.6000000238418579,57300
2008-01-29,0.6399999856948853,0.5899999737739563,0.5699999928474426,0.6399999856948853,43600
2008-01-30,0.6000000238418579,0.6100000143051147,0.5600000023841858,0.6100000143051147,47600
2008-01-31,0.5799999833106995,0.6000000238418579,0.5799999833106995,0.6000000238418579,8000
2008-02-01,0.5899999737739563,0.6399999856948853,0.5899999737739563,0.6399999856948853,9800
2008-02-04,0.6200000047683716,0.6000000238418579,0.6000000238418579,0.6200000047683716,16100
2008-02-05,0.5799999833106995,0.6499999761581421,0.5799999833106995,0.6600000262260437,36300
2008-02-06,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.6800000071525574,4700
2008-02-07,0.699999988079071,0.6499999761581421,0.6499999761581421,0.699999988079071,23400
2008-02-08,0.6499999761581421,0.6200000047683716,0.6000000238418579,0.6700000166893005,11200
2008-02-11,0.7699999809265137,0.6399999856948853,0.6299999952316284,0.7699999809265137,2100
2008-02-12,0.6700000166893005,0.7400000095367432,0.6700000166893005,0.7699999809265137,5100
2008-02-13,0.75,0.699999988079071,0.6100000143051147,0.75,31700
2008-02-14,0.6899999976158142,0.7599999904632568,0.6899999976158142,0.7699999809265137,39000
2008-02-15,0.7099999785423279,0.7200000286102295,0.6200000047683716,0.7200000286102295,20000
2008-02-19,0.7200000286102295,0.75,0.7200000286102295,0.7699999809265137,1600
2008-02-20,0.7200000286102295,0.7300000190734863,0.7099999785423279,0.7300000190734863,58700
2008-02-21,0.7300000190734863,0.7300000190734863,0.7300000190734863,0.7300000190734863,0
2008-02-22,0.7300000190734863,0.7300000190734863,0.7300000190734863,0.7300000190734863,21200
2008-02-25,0.699999988079071,0.75,0.6700000166893005,0.7900000214576721,33800
2008-02-26,0.7699999809265137,0.7699999809265137,0.7699999809265137,0.7699999809265137,400
2008-02-27,0.75,0.75,0.6800000071525574,0.75,26100
2008-02-28,0.7699999809265137,0.7699999809265137,0.7699999809265137,0.7699999809265137,200
2008-02-29,0.7599999904632568,0.7599999904632568,0.75,0.7699999809265137,29300
2008-03-03,0.7300000190734863,0.7200000286102295,0.699999988079071,0.7300000190734863,24500
2008-03-04,0.7699999809265137,0.7200000286102295,0.7200000286102295,0.7699999809265137,5800
2008-03-05,0.7200000286102295,0.6499999761581421,0.5799999833106995,0.7200000286102295,51300
2008-03-06,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,1000
2008-03-07,0.6299999952316284,0.7200000286102295,0.6200000047683716,0.7200000286102295,13700
2008-03-10,0.6499999761581421,0.6700000166893005,0.6499999761581421,0.6700000166893005,8300
2008-03-11,0.6600000262260437,0.6499999761581421,0.6200000047683716,0.6600000262260437,20700
2008-03-12,0.6399999856948853,0.6299999952316284,0.6000000238418579,0.6399999856948853,27400
2008-03-13,0.6200000047683716,0.6200000047683716,0.6200000047683716,0.6200000047683716,3000
2008-03-14,0.6100000143051147,0.6299999952316284,0.6100000143051147,0.6800000071525574,10800
2008-03-17,0.6000000238418579,0.6200000047683716,0.6000000238418579,0.6200000047683716,2000
2008-03-18,0.6700000166893005,0.6800000071525574,0.6200000047683716,0.6899999976158142,24000
2008-03-19,0.6299999952316284,0.6299999952316284,0.6299999952316284,0.6299999952316284,200
2008-03-20,0.6299999952316284,0.6499999761581421,0.6299999952316284,0.6499999761581421,3400
2008-03-24,0.6600000262260437,0.5299999713897705,0.46000000834465027,0.6600000262260437,328900
2008-03-25,0.550000011920929,0.5600000023841858,0.5199999809265137,0.5899999737739563,66500
2008-03-26,0.550000011920929,0.6299999952316284,0.550000011920929,0.6299999952316284,156900
2008-03-27,0.6399999856948853,0.6399999856948853,0.6299999952316284,0.6399999856948853,25700
2008-03-28,0.6399999856948853,0.6800000071525574,0.6000000238418579,0.699999988079071,10000
2008-03-31,0.6200000047683716,0.699999988079071,0.6200000047683716,0.699999988079071,12000
