Date,ptnopen,ptnclose,ptnlow,ptnhigh,ptnvolume
2008-01-02,2.0,2.0999999046325684,2.0,2.200000047683716,23200.0
2008-01-03,2.200000047683716,2.5,2.200000047683716,2.5999999046325684,66500.0
2008-01-04,2.5,2.799999952316284,2.5,2.799999952316284,70400.0
2008-01-07,3.0,2.700000047683716,2.5999999046325684,3.0,51900.0
2008-01-08,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.799999952316284,25100.0
2008-01-09,2.5999999046325684,2.0999999046325684,2.0999999046325684,2.700000047683716,112900.0
2008-01-10,2.0999999046325684,2.4000000953674316,2.0999999046325684,2.5,36600.0
2008-01-11,2.299999952316284,2.299999952316284,2.299999952316284,2.5,33100.0
2008-01-14,2.299999952316284,2.5,2.299999952316284,2.5,12300.0
2008-01-15,2.5,2.5999999046325684,2.4000000953674316,2.700000047683716,86300.0
2008-01-16,2.5,2.799999952316284,2.5,2.799999952316284,59400.0
2008-01-17,2.9000000953674316,2.9000000953674316,2.700000047683716,2.9000000953674316,56000.0
2008-01-18,2.700000047683716,2.9000000953674316,2.700000047683716,3.0,37500.0
2008-01-22,2.9000000953674316,2.9000000953674316,2.700000047683716,3.0,46500.0
2008-01-23,2.9000000953674316,2.700000047683716,2.700000047683716,3.0,18300.0
2008-01-24,2.700000047683716,2.9000000953674316,2.700000047683716,2.9000000953674316,18700.0
2008-01-25,2.9000000953674316,2.9000000953674316,2.700000047683716,3.0,7600.0
2008-01-28,2.9000000953674316,2.799999952316284,2.700000047683716,3.0,18200.0
2008-01-29,2.799999952316284,2.9000000953674316,2.5999999046325684,2.9000000953674316,69100.0
2008-01-30,2.799999952316284,2.799999952316284,2.799999952316284,3.0,44500.0
2008-01-31,2.799999952316284,3.0,2.5999999046325684,3.0,28000.0
2008-02-01,3.0,2.5999999046325684,2.5,3.0,62700.0
2008-02-04,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.700000047683716,33800.0
2008-02-05,2.5999999046325684,2.5999999046325684,2.5,2.700000047683716,29400.0
2008-02-06,2.700000047683716,2.799999952316284,2.5999999046325684,3.0,35100.0
2008-02-07,2.700000047683716,2.700000047683716,2.700000047683716,3.0,18800.0
2008-02-08,2.9000000953674316,2.799999952316284,2.700000047683716,2.9000000953674316,35100.0
2008-02-11,2.799999952316284,2.9000000953674316,2.5999999046325684,3.0,33900.0
2008-02-12,3.0,2.9000000953674316,2.700000047683716,3.0999999046325684,19700.0
2008-02-13,2.9000000953674316,2.700000047683716,2.700000047683716,2.9000000953674316,5100.0
2008-02-14,2.700000047683716,2.700000047683716,2.700000047683716,2.799999952316284,9700.0
2008-02-15,2.799999952316284,2.9000000953674316,2.700000047683716,2.9000000953674316,21300.0
2008-02-19,2.799999952316284,2.799999952316284,2.799999952316284,3.0,17600.0
2008-02-20,2.799999952316284,2.9000000953674316,2.799999952316284,2.9000000953674316,17400.0
2008-02-21,2.9000000953674316,3.0999999046325684,2.9000000953674316,3.0999999046325684,14800.0
2008-02-22,3.0999999046325684,3.0999999046325684,3.0,3.200000047683716,14200.0
2008-02-25,3.299999952316284,3.200000047683716,3.0,3.299999952316284,27300.0
2008-02-26,3.299999952316284,4.199999809265137,3.299999952316284,4.300000190734863,84000.0
2008-02-27,4.599999904632568,4.199999809265137,3.9000000953674316,4.599999904632568,83300.0
2008-02-28,4.400000095367432,4.099999904632568,3.9000000953674316,4.400000095367432,52900.0
2008-02-29,4.0,3.799999952316284,3.799999952316284,4.199999809265137,11500.0
2008-03-03,3.9000000953674316,3.799999952316284,3.799999952316284,4.0,19000.0
2008-03-04,3.799999952316284,3.299999952316284,2.5999999046325684,3.9000000953674316,92300.0
2008-03-05,3.200000047683716,3.299999952316284,3.200000047683716,3.4000000953674316,20200.0
2008-03-06,3.299999952316284,3.0,2.9000000953674316,3.299999952316284,18600.0
2008-03-07,3.0,3.0999999046325684,2.799999952316284,3.0999999046325684,16200.0
2008-03-10,3.0,3.4000000953674316,3.0,3.5,37200.0
2008-03-11,3.5,3.4000000953674316,3.299999952316284,3.5,14000.0
2008-03-12,3.299999952316284,3.0999999046325684,3.0999999046325684,3.4000000953674316,13200.0
2008-03-13,3.0999999046325684,3.200000047683716,3.0,3.200000047683716,6200.0
2008-03-14,3.0999999046325684,3.0999999046325684,3.0,3.200000047683716,6000.0
2008-03-17,3.0999999046325684,2.799999952316284,2.700000047683716,3.200000047683716,35700.0
2008-03-18,2.700000047683716,2.9000000953674316,2.5999999046325684,3.0,42300.0
2008-03-19,3.0999999046325684,2.9000000953674316,2.700000047683716,3.0999999046325684,3500.0
2008-03-20,2.9000000953674316,2.9000000953674316,2.700000047683716,2.9000000953674316,8400.0
2008-03-24,2.700000047683716,2.700000047683716,2.700000047683716,2.9000000953674316,16700.0
2008-03-25,2.700000047683716,2.799999952316284,2.700000047683716,2.9000000953674316,24100.0
2008-03-26,2.9000000953674316,2.799999952316284,2.700000047683716,2.9000000953674316,3500.0
2008-03-27,2.700000047683716,2.799999952316284,2.5999999046325684,2.799999952316284,11200.0
2008-03-28,2.799999952316284,2.700000047683716,2.700000047683716,2.9000000953674316,19900.0
2008-03-31,2.700000047683716,2.799999952316284,2.700000047683716,2.9000000953674316,14300.0
2008-04-01,2.799999952316284,2.700000047683716,2.700000047683716,2.799999952316284,3300.0
2008-04-02,2.799999952316284,2.700000047683716,2.700000047683716,2.799999952316284,11900.0
2008-04-03,2.700000047683716,2.700000047683716,2.700000047683716,2.799999952316284,5800.0
