Date,cxoopen,cxoclose,cxolow,cxohigh,cxovolume
2008-01-02,20.65999984741211,21.56999969482422,20.440000534057617,21.739999771118164,364000
2008-01-03,21.719999313354492,22.079999923706055,21.690000534057617,22.25,434400
2008-01-04,22.0,21.059999465942383,20.920000076293945,22.219999313354492,484400
2008-01-07,21.34000015258789,21.190000534057617,21.139999389648438,21.739999771118164,272500
2008-01-08,21.270000457763672,22.100000381469727,20.950000762939453,22.110000610351562,419000
2008-01-09,22.100000381469727,23.270000457763672,21.84000015258789,23.549999237060547,431100
2008-01-10,23.290000915527344,22.459999084472656,22.450000762939453,23.389999389648438,660100
2008-01-11,22.299999237060547,21.68000030517578,21.670000076293945,22.700000762939453,173400
2008-01-14,21.8700008392334,22.219999313354492,20.549999237060547,22.84000015258789,395200
2008-01-15,21.8799991607666,21.290000915527344,21.15999984741211,22.06999969482422,403000
2008-01-16,21.360000610351562,20.40999984741211,20.290000915527344,21.360000610351562,285200
2008-01-17,20.510000228881836,19.329999923706055,18.950000762939453,20.510000228881836,365900
2008-01-18,19.3700008392334,19.06999969482422,18.75,19.420000076293945,372600
2008-01-22,18.5,19.18000030517578,17.329999923706055,19.59000015258789,280500
2008-01-23,18.780000686645508,19.09000015258789,18.010000228881836,19.280000686645508,323400
2008-01-24,19.149999618530273,19.6299991607666,18.920000076293945,20.59000015258789,207500
2008-01-25,19.989999771118164,19.549999237060547,19.450000762939453,20.280000686645508,281600
2008-01-28,19.479999542236328,19.979999542236328,19.200000762939453,20.049999237060547,197700
2008-01-29,20.1299991607666,20.110000610351562,19.489999771118164,20.530000686645508,260200
2008-01-30,20.010000228881836,20.309999465942383,19.420000076293945,21.260000228881836,333200
2008-01-31,19.950000762939453,20.170000076293945,19.600000381469727,20.530000686645508,365500
2008-02-01,20.299999237060547,21.479999542236328,20.0,22.239999771118164,402500
2008-02-04,21.459999084472656,20.829999923706055,20.579999923706055,21.65999984741211,101400
2008-02-05,20.420000076293945,19.81999969482422,19.799999237060547,20.56999969482422,80100
2008-02-06,20.040000915527344,19.889999389648438,19.6299991607666,20.6299991607666,163800
2008-02-07,19.889999389648438,20.010000228881836,19.700000762939453,20.450000762939453,249800
2008-02-08,20.0,20.09000015258789,19.600000381469727,20.350000381469727,145600
2008-02-11,19.959999084472656,19.969999313354492,19.860000610351562,20.18000030517578,190600
2008-02-12,20.020000457763672,21.219999313354492,19.56999969482422,21.649999618530273,306200
2008-02-13,21.450000762939453,22.979999542236328,21.450000762939453,23.3799991607666,621200
2008-02-14,21.899999618530273,22.290000915527344,20.65999984741211,22.530000686645508,1037500
2008-02-15,22.1200008392334,22.200000762939453,21.760000228881836,22.40999984741211,217000
