Date,shwopen,shwclose,shwlow,shwhigh,shwvolume
2008-01-02,57.59000015258789,56.54999923706055,56.13999938964844,58.189998626708984,1194200.0
2008-01-03,56.790000915527344,56.52000045776367,56.400001525878906,57.90999984741211,990200.0
2008-01-04,56.099998474121094,54.08000183105469,54.029998779296875,56.099998474121094,1394000.0
2008-01-07,54.79999923706055,55.5099983215332,54.54999923706055,55.90999984741211,1185200.0
2008-01-08,55.849998474121094,53.9900016784668,53.88999938964844,56.099998474121094,1128200.0
2008-01-09,54.099998474121094,56.5099983215332,53.380001068115234,56.70000076293945,2505400.0
2008-01-10,55.970001220703125,56.720001220703125,55.09000015258789,57.220001220703125,2118300.0
2008-01-11,56.2400016784668,55.4900016784668,55.16999816894531,56.869998931884766,1582600.0
2008-01-14,56.130001068115234,55.459999084472656,55.060001373291016,56.130001068115234,1279200.0
2008-01-15,55.27000045776367,53.470001220703125,53.43000030517578,55.27000045776367,1522500.0
2008-01-16,53.2599983215332,53.349998474121094,52.5099983215332,54.540000915527344,1577400.0
2008-01-17,53.380001068115234,51.18000030517578,50.77000045776367,54.130001068115234,2879400.0
2008-01-18,51.959999084472656,53.25,51.150001525878906,53.47999954223633,2543800.0
2008-01-22,51.2599983215332,53.970001220703125,50.61000061035156,54.5,2441400.0
2008-01-23,50.650001525878906,59.25,50.650001525878906,59.970001220703125,4223300.0
2008-01-24,58.59000015258789,57.310001373291016,56.709999084472656,60.2400016784668,2610700.0
2008-01-25,57.5099983215332,56.11000061035156,55.369998931884766,59.0,2456300.0
2008-01-28,56.25,57.38999938964844,54.720001220703125,57.880001068115234,2764100.0
2008-01-29,55.279998779296875,55.61000061035156,54.150001525878906,57.04999923706055,3495200.0
2008-01-30,55.70000076293945,56.189998626708984,55.0,57.81999969482422,1854800.0
2008-01-31,55.630001068115234,57.099998474121094,55.0,57.88999938964844,2092000.0
2008-02-01,56.810001373291016,58.209999084472656,56.650001525878906,58.41999816894531,1588300.0
2008-02-04,58.650001525878906,56.15999984741211,56.15999984741211,58.650001525878906,1120400.0
2008-02-05,55.20000076293945,55.36000061035156,54.20000076293945,56.310001373291016,2175500.0
2008-02-06,55.459999084472656,54.18000030517578,54.04999923706055,55.81999969482422,2284800.0
2008-02-07,53.61000061035156,55.5,53.61000061035156,55.959999084472656,1954200.0
2008-02-08,54.939998626708984,54.95000076293945,53.959999084472656,55.84000015258789,1662200.0
2008-02-11,54.84000015258789,54.959999084472656,53.83000183105469,55.369998931884766,1124600.0
2008-02-12,55.56999969482422,54.939998626708984,54.540000915527344,55.689998626708984,1420500.0
2008-02-13,55.400001525878906,54.68000030517578,54.40999984741211,55.5,1575800.0
2008-02-14,54.2599983215332,53.72999954223633,53.529998779296875,55.0,2073700.0
2008-02-15,53.689998626708984,53.83000183105469,52.650001525878906,53.959999084472656,2717300.0
2008-02-19,54.290000915527344,53.029998779296875,52.97999954223633,54.650001525878906,1971800.0
2008-02-20,52.45000076293945,53.189998626708984,52.45000076293945,53.47999954223633,2991300.0
