Date,lllopen,lllclose,llllow,lllhigh,lllvolume
2008-01-02,101.4547348022461,100.39851379394531,99.63995361328125,102.26129913330078,973800.0
2008-01-03,100.53294372558594,101.11865997314453,100.29289245605469,101.44512939453125,781700.0
2008-01-04,100.360107421875,100.61935424804688,100.08164978027344,101.6563720703125,963500.0
2008-01-07,101.0418472290039,100.1008529663086,98.98701477050781,101.2626953125,1085500.0
2008-01-08,100.39851379394531,99.88960266113281,99.5919418334961,101.53154754638672,1934900.0
2008-01-09,99.87039947509766,102.64537811279297,99.6207504272461,102.69338989257812,1089500.0
2008-01-10,102.07886505126953,102.5589599609375,101.4931411743164,103.96085357666016,1107400.0
2008-01-11,101.9156265258789,101.37791442871094,100.7537841796875,102.5877685546875,1403000.0
2008-01-14,101.61796569824219,103.56716918945312,101.61796569824219,103.92244720458984,847700.0
2008-01-15,102.15567779541016,102.60697174072266,101.58915710449219,103.75920867919922,917600.0
2008-01-16,102.34771728515625,101.63716888427734,101.32990264892578,102.88542938232422,1423700.0
2008-01-17,101.74279022216797,98.82378387451172,98.25726318359375,102.43413543701172,1471500.0
2008-01-18,99.63995361328125,99.31348419189453,98.81417846679688,101.66597747802734,1225300.0
2008-01-22,94.70452880859375,97.93080139160156,93.3410415649414,98.7181625366211,1300000.0
2008-01-23,93.63870239257812,100.99383544921875,93.63870239257812,101.24348449707031,1649800.0
2008-01-24,101.38751983642578,101.8484115600586,100.9458236694336,103.19269561767578,1199900.0
2008-01-25,102.6165771484375,102.70299530029297,101.8772201538086,104.02806854248047,1115000.0
2008-01-28,103.04866027832031,102.12686920166016,100.90741729736328,103.04866027832031,1128800.0
2008-01-29,102.6165771484375,103.93204498291016,102.43413543701172,104.30652618408203,926400.0
2008-01-30,104.12408447265625,103.55757141113281,102.38612365722656,105.1034927368164,1046400.0
2008-01-31,101.53154754638672,105.89085388183594,101.53154754638672,106.46697235107422,1292500.0
2008-02-01,106.58219909667969,105.39155578613281,104.19129943847656,107.42717742919922,1320600.0
2008-02-04,105.39155578613281,104.84423828125,103.96085357666016,105.62200164794922,1204800.0
2008-02-05,103.22149658203125,102.31890869140625,102.09806823730469,104.12408447265625,1609400.0
2008-02-06,102.8182144165039,101.23388671875,100.92662048339844,103.09667205810547,772500.0
2008-02-07,100.62895965576172,101.51234436035156,99.99523162841797,101.7139892578125,1122400.0
2008-02-08,100.83060455322266,101.06105041503906,100.19686889648438,101.79080200195312,1032900.0
2008-02-11,100.4945297241211,101.92523193359375,100.05284118652344,102.7798080444336,1288100.0
2008-02-12,100.82099914550781,101.70438385009766,99.07343292236328,102.12686920166016,1337800.0
2008-02-13,102.53975677490234,103.27911376953125,101.9060287475586,103.33672332763672,837800.0
2008-02-14,103.22149658203125,103.05826568603516,102.45333862304688,104.15289306640625,1176300.0
2008-02-15,103.05826568603516,101.19548034667969,100.51373291015625,103.05826568603516,1037200.0
2008-02-19,102.15567779541016,101.7139892578125,101.34911346435547,102.74140167236328,936600.0
2008-02-20,101.27229309082031,102.2997055053711,100.74418640136719,102.3669204711914,548300.0
2008-02-21,102.5589599609375,100.84980773925781,100.67697143554688,102.69338989257812,780700.0
2008-02-22,101.37791442871094,102.53975677490234,100.5233383178711,102.82781982421875,875500.0
2008-02-25,102.79901123046875,104.97866821289062,102.65498352050781,105.14189910888672,961700.0
2008-02-26,104.86344146728516,106.08289337158203,104.06647491455078,106.10209655761719,1015400.0
2008-02-27,105.47796630859375,105.25712585449219,105.16110229492188,107.1007080078125,786300.0
2008-02-28,104.70980834960938,105.94847106933594,104.70980834960938,106.29414367675781,678700.0
2008-02-29,104.98826599121094,102.05965423583984,101.66597747802734,105.42035675048828,969200.0
2008-03-03,101.73319244384766,102.96224975585938,101.54115295410156,103.02945709228516,696100.0
2008-03-04,102.21328735351562,101.81961059570312,100.18727111816406,102.70299530029297,1166900.0
2008-03-05,102.34771728515625,102.59736633300781,101.41632080078125,103.01985931396484,1070200.0
2008-03-06,102.27090454101562,101.2626953125,101.18587493896484,102.3573226928711,770900.0
2008-03-07,100.27368927001953,101.21468353271484,100.02403259277344,102.4245376586914,1195200.0
2008-03-10,101.96363830566406,99.82239532470703,99.76477813720703,101.99244689941406,1067900.0
2008-03-11,101.86761474609375,101.89642333984375,99.66876220703125,101.95403289794922,1499800.0
2008-03-12,102.31890869140625,102.8086166381836,101.7139892578125,103.28871154785156,776900.0
2008-03-13,101.59876251220703,104.99787139892578,100.83060455322266,105.15150451660156,1277100.0
2008-03-14,105.57398986816406,103.25030517578125,101.48353576660156,105.57398986816406,1012400.0
2008-03-17,102.74140167236328,103.10627746582031,101.70438385009766,103.98005676269531,1015900.0
2008-03-18,104.84423828125,105.38195037841797,103.10627746582031,105.38195037841797,930600.0
2008-03-19,106.06369018554688,103.63438415527344,103.63438415527344,106.96627807617188,1031200.0
2008-03-20,104.18170166015625,102.71259307861328,101.67557525634766,104.31613159179688,1305200.0
2008-03-24,102.91423797607422,103.56716918945312,102.91423797607422,104.11448669433594,574900.0
2008-03-25,103.70159912109375,104.1336898803711,102.8086166381836,104.4217529296875,659800.0
2008-03-26,103.52876281738281,102.95264434814453,102.27090454101562,103.61518096923828,749800.0
2008-03-27,103.39433288574219,102.3573226928711,102.34771728515625,103.90324401855469,1028400.0
2008-03-28,103.25030517578125,104.79622650146484,103.06787109375,105.38195037841797,1111500.0
2008-03-31,104.66179656982422,104.98826599121094,103.17349243164062,105.49717712402344,1015300.0
2008-04-01,105.5835952758789,107.62881469726562,105.24752044677734,107.7440414428711,976200.0
