Date,phopen,phclose,phlow,phhigh,phvolume
2008-01-02,75.12000274658203,71.27999877929688,71.19999694824219,76.02999877929688,2120300.0
2008-01-03,71.66000366210938,71.83999633789062,71.54000091552734,72.86000061035156,2001600.0
2008-01-04,71.29000091552734,70.22000122070312,70.08999633789062,72.0999984741211,2139400.0
2008-01-07,70.51000213623047,67.87999725341797,67.37000274658203,71.5,3808200.0
2008-01-08,68.08999633789062,66.01000213623047,65.94000244140625,69.97000122070312,2996100.0
2008-01-09,66.58999633789062,66.61000061035156,63.61000061035156,66.61000061035156,4069800.0
2008-01-10,64.19000244140625,65.68000030517578,63.56999969482422,66.66000366210938,3015800.0
2008-01-11,65.20999908447266,64.47000122070312,64.0,66.01000213623047,1956200.0
2008-01-14,65.12000274658203,67.30000305175781,65.12000274658203,67.54000091552734,3187700.0
2008-01-15,66.5999984741211,66.0999984741211,65.30000305175781,66.9000015258789,2502800.0
2008-01-16,65.77999877929688,65.87000274658203,64.04000091552734,67.2699966430664,3473000.0
2008-01-17,68.12000274658203,61.11000061035156,61.06999969482422,68.27999877929688,4071900.0
2008-01-18,62.560001373291016,61.7599983215332,61.2599983215332,63.97999954223633,3735300.0
2008-01-22,58.900001525878906,62.33000183105469,58.7400016784668,63.08000183105469,2876700.0
2008-01-23,60.58000183105469,62.45000076293945,58.099998474121094,62.540000915527344,3157300.0
2008-01-24,62.220001220703125,62.41999816894531,61.5099983215332,62.849998474121094,2091200.0
2008-01-25,63.75,64.02999877929688,62.619998931884766,64.54000091552734,2439900.0
2008-01-28,64.19999694824219,64.0,62.54999923706055,64.4800033569336,1443600.0
2008-01-29,64.52999877929688,64.87000274658203,63.939998626708984,65.12999725341797,1190500.0
2008-01-30,64.72000122070312,65.66000366210938,64.43000030517578,66.95999908447266,2055600.0
2008-01-31,64.9000015258789,67.61000061035156,64.22000122070312,68.0,1899600.0
2008-02-01,67.61000061035156,68.88999938964844,67.5,69.25,1619700.0
2008-02-04,69.30999755859375,67.9800033569336,67.37999725341797,69.30999755859375,1423800.0
2008-02-05,66.91000366210938,66.1500015258789,65.6500015258789,66.91000366210938,1931500.0
2008-02-06,66.61000061035156,65.69999694824219,65.5999984741211,67.18000030517578,1626300.0
2008-02-07,65.20999908447266,65.08000183105469,64.29000091552734,65.94999694824219,1563700.0
2008-02-08,64.62000274658203,64.95999908447266,64.37999725341797,65.83999633789062,1328300.0
2008-02-11,64.81999969482422,64.52999877929688,63.310001373291016,65.11000061035156,1688200.0
2008-02-12,65.05999755859375,65.16000366210938,64.54000091552734,66.0199966430664,1193200.0
2008-02-13,66.27999877929688,68.02999877929688,65.75,68.16999816894531,1947800.0
2008-02-14,67.66999816894531,66.16000366210938,65.87000274658203,68.05000305175781,1949800.0
2008-02-15,65.9800033569336,65.87000274658203,64.68000030517578,65.9800033569336,1730800.0
2008-02-19,66.80999755859375,66.16000366210938,65.83000183105469,67.8499984741211,1011900.0
2008-02-20,65.44999694824219,66.63999938964844,64.66999816894531,66.75,1220800.0
2008-02-21,66.75,64.66000366210938,64.51000213623047,67.66999816894531,1947300.0
2008-02-22,64.98999786376953,64.91000366210938,63.06999969482422,65.25,2239400.0
2008-02-25,64.83000183105469,65.86000061035156,64.55000305175781,66.16999816894531,1723200.0
2008-02-26,65.6500015258789,66.08999633789062,65.19000244140625,66.5,1213300.0
2008-02-27,65.79000091552734,67.1500015258789,65.73999786376953,67.5,2195000.0
2008-02-28,66.80000305175781,66.69000244140625,66.25,67.8499984741211,1776600.0
2008-02-29,66.0199966430664,64.62999725341797,64.36000061035156,66.22000122070312,1776300.0
2008-03-03,64.62000274658203,64.73999786376953,63.97999954223633,65.0999984741211,1215600.0
2008-03-04,64.01000213623047,64.37999725341797,63.54999923706055,64.69999694824219,1670200.0
2008-03-05,64.12000274658203,64.81999969482422,64.0,65.23999786376953,1739900.0
2008-03-06,64.37000274658203,62.79999923706055,62.7599983215332,64.62000274658203,1118400.0
2008-03-07,62.41999816894531,62.38999938964844,61.959999084472656,63.65999984741211,1974100.0
2008-03-10,62.31999969482422,60.689998626708984,60.650001525878906,62.31999969482422,2052500.0
2008-03-11,61.93000030517578,63.56999969482422,61.68000030517578,63.720001220703125,2131300.0
2008-03-12,63.83000183105469,63.38999938964844,63.27000045776367,64.44000244140625,1228500.0
2008-03-13,62.65999984741211,64.5,62.11000061035156,64.86000061035156,1212800.0
