Date,ewopen,ewclose,ewlow,ewhigh,ewvolume
2008-01-02,11.430000305175781,11.300000190734863,11.260000228881836,11.532500267028809,2975600.0
2008-01-03,11.324999809265137,11.425000190734863,11.300000190734863,11.444999694824219,1292000.0
2008-01-04,11.27750015258789,11.327500343322754,11.260000228881836,11.425000190734863,1570800.0
2008-01-07,11.34000015258789,11.332500457763672,11.302499771118164,11.444999694824219,1174000.0
2008-01-08,11.387499809265137,11.274999618530273,11.225000381469727,11.477499961853027,1911200.0
2008-01-09,11.28499984741211,11.454999923706055,11.242500305175781,11.492500305175781,2128400.0
2008-01-10,11.432499885559082,11.460000038146973,11.357500076293945,11.517499923706055,1435200.0
2008-01-11,11.3774995803833,11.467499732971191,11.354999542236328,11.52750015258789,1251200.0
2008-01-14,11.5024995803833,11.609999656677246,11.454999923706055,11.647500038146973,1079200.0
2008-01-15,11.524999618530273,11.625,11.492500305175781,11.6899995803833,1607600.0
2008-01-16,11.619999885559082,11.782500267028809,11.617500305175781,11.84000015258789,2020000.0
2008-01-17,11.837499618530273,11.767499923706055,11.6875,11.904999732971191,2034800.0
2008-01-18,11.797499656677246,11.6274995803833,11.59749984741211,11.837499618530273,1483200.0
2008-01-22,11.289999961853027,11.517499923706055,11.289999961853027,11.625,1656400.0
2008-01-23,11.260000228881836,11.557499885559082,11.260000228881836,11.577500343322754,2223200.0
2008-01-24,11.625,11.587499618530273,11.425000190734863,11.670000076293945,1586000.0
2008-01-25,11.6225004196167,11.422499656677246,11.412500381469727,11.645000457763672,1926400.0
2008-01-28,11.397500038146973,11.5649995803833,11.329999923706055,11.5649995803833,1592400.0
2008-01-29,11.649999618530273,11.744999885559082,11.59000015258789,11.744999885559082,1487600.0
2008-01-30,11.702500343322754,11.725000381469727,11.675000190734863,11.837499618530273,1380800.0
2008-01-31,11.572500228881836,11.567500114440918,11.512499809265137,11.697500228881836,1886000.0
2008-02-01,11.614999771118164,11.612500190734863,11.552499771118164,11.767499923706055,2061200.0
