Date,mlmopen,mlmclose,mlmlow,mlmhigh,mlmvolume
2008-01-02,132.5399932861328,127.13999938964844,125.83000183105469,132.5399932861328,657700.0
2008-01-03,127.55999755859375,124.45999908447266,124.0999984741211,127.55999755859375,589300.0
2008-01-04,123.04000091552734,119.37000274658203,118.68000030517578,123.29000091552734,1258300.0
2008-01-07,120.33000183105469,115.25,114.58000183105469,121.06999969482422,1087000.0
2008-01-08,115.0,110.0,109.56999969482422,116.0,1239600.0
2008-01-09,110.0,113.33000183105469,106.7699966430664,114.08000183105469,1623000.0
2008-01-10,112.94999694824219,113.68000030517578,110.5,115.75,1485600.0
2008-01-11,112.5199966430664,114.0,109.44000244140625,115.41999816894531,598200.0
2008-01-14,114.62999725341797,111.12999725341797,109.77999877929688,114.63999938964844,1137100.0
2008-01-15,109.72000122070312,108.47000122070312,106.04000091552734,110.76000213623047,1086000.0
2008-01-16,108.29000091552734,107.43000030517578,105.55000305175781,109.69000244140625,1182200.0
2008-01-17,108.75,104.30999755859375,103.97000122070312,110.30999755859375,746700.0
2008-01-18,104.91000366210938,104.41999816894531,102.16999816894531,107.18000030517578,682300.0
2008-01-22,100.41999816894531,108.1500015258789,99.0,108.48999786376953,1081700.0
2008-01-23,105.02999877929688,110.19000244140625,101.05000305175781,110.43000030517578,1647700.0
2008-01-24,110.77999877929688,110.7699966430664,108.20999908447266,116.05999755859375,1599400.0
2008-01-25,112.27999877929688,109.41000366210938,108.91999816894531,113.9000015258789,638700.0
2008-01-28,109.19000244140625,111.44999694824219,107.4800033569336,111.76000213623047,767600.0
2008-01-29,113.13999938964844,114.80000305175781,109.5199966430664,117.41999816894531,970000.0
2008-01-30,114.69999694824219,111.56999969482422,111.31999969482422,116.4000015258789,857300.0
2008-01-31,109.5,123.27999877929688,107.94999694824219,125.30000305175781,2280800.0
2008-02-01,120.83000183105469,119.77999877929688,116.9800033569336,123.0,1489300.0
2008-02-04,120.91000366210938,118.12000274658203,116.95999908447266,121.41000366210938,920400.0
2008-02-05,106.77999877929688,106.0199966430664,104.05999755859375,113.0,2794800.0
2008-02-06,106.01000213623047,106.16999816894531,105.23999786376953,110.93000030517578,1092400.0
2008-02-07,106.5,106.37999725341797,105.16999816894531,108.31999969482422,941100.0
2008-02-08,106.08999633789062,106.1500015258789,105.08000183105469,107.81999969482422,782900.0
2008-02-11,105.70999908447266,106.87000274658203,104.08000183105469,107.4000015258789,953200.0
2008-02-12,107.69999694824219,105.6500015258789,104.33000183105469,108.27999877929688,633300.0
2008-02-13,106.30999755859375,108.43000030517578,105.44000244140625,108.62999725341797,540800.0
2008-02-14,107.68000030517578,106.75,105.83000183105469,107.94000244140625,566100.0
2008-02-15,106.01000213623047,107.0199966430664,105.44000244140625,107.83000183105469,485900.0
2008-02-19,108.44000244140625,107.63999938964844,106.69000244140625,109.41999816894531,566900.0
2008-02-20,107.0,109.58999633789062,106.01000213623047,109.7699966430664,531800.0
2008-02-21,110.0199966430664,108.87999725341797,108.0,110.87000274658203,574800.0
2008-02-22,109.41000366210938,109.22000122070312,106.62999725341797,109.69999694824219,635200.0
2008-02-25,109.3499984741211,111.31999969482422,107.69999694824219,111.69999694824219,608900.0
2008-02-26,111.1500015258789,114.66999816894531,110.29000091552734,115.54000091552734,650000.0
2008-02-27,113.79000091552734,112.30999755859375,110.38999938964844,115.83999633789062,556100.0
2008-02-28,111.94000244140625,110.73999786376953,110.2300033569336,112.54000091552734,488800.0
2008-02-29,109.36000061035156,107.5999984741211,106.7699966430664,110.13999938964844,593300.0
2008-03-03,107.4000015258789,104.48999786376953,103.51000213623047,107.79000091552734,825600.0
2008-03-04,103.69000244140625,102.76000213623047,101.86000061035156,105.0999984741211,836800.0
2008-03-05,103.0,103.16999816894531,101.12000274658203,104.80000305175781,745000.0
2008-03-06,102.41000366210938,99.05000305175781,98.93000030517578,103.3499984741211,973300.0
2008-03-07,98.05999755859375,99.27999877929688,98.05999755859375,101.87999725341797,797200.0
2008-03-10,99.2300033569336,95.66999816894531,95.41999816894531,99.6500015258789,519700.0
2008-03-11,100.6500015258789,99.63999938964844,95.0199966430664,100.6500015258789,678900.0
2008-03-12,99.51000213623047,104.26000213623047,97.55999755859375,106.44000244140625,1228200.0
2008-03-13,103.19000244140625,108.80999755859375,99.01000213623047,110.01000213623047,1554600.0
2008-03-14,109.93000030517578,106.16999816894531,101.77999877929688,112.30000305175781,1376700.0
2008-03-17,103.69999694824219,106.13999938964844,100.47000122070312,107.54000091552734,1204200.0
2008-03-18,109.83000183105469,109.83000183105469,106.47000122070312,110.48999786376953,946100.0
2008-03-19,110.16000366210938,107.9000015258789,106.19999694824219,112.94999694824219,1535600.0
2008-03-20,107.79000091552734,108.68000030517578,106.2300033569336,109.68000030517578,1211100.0
2008-03-24,108.81999969482422,112.58000183105469,108.58999633789062,114.79000091552734,942800.0
2008-03-25,112.83999633789062,110.94999694824219,110.3499984741211,113.22000122070312,738500.0
2008-03-26,110.69999694824219,108.56999969482422,107.79000091552734,110.69999694824219,446300.0
2008-03-27,109.76000213623047,107.87999725341797,107.19000244140625,111.36000061035156,676400.0
2008-03-28,108.31999969482422,106.33999633789062,105.8499984741211,109.48999786376953,287800.0
2008-03-31,106.0,106.16999816894531,105.0,107.1500015258789,425200.0
2008-04-01,105.66999816894531,112.12999725341797,105.66999816894531,112.43000030517578,955800.0
2008-04-02,112.91999816894531,109.5999984741211,109.08000183105469,112.91999816894531,511300.0
2008-04-03,108.66000366210938,108.3499984741211,106.95999908447266,109.4000015258789,400500.0
