Date,ppgopen,ppgclose,ppglow,ppghigh,ppgvolume
2018-01-12,118.01000213623047,118.16999816894531,117.66999816894531,118.5999984741211,1466300.0
2018-01-16,118.55999755859375,116.63999938964844,116.16999816894531,118.98999786376953,2373800.0
2018-01-17,116.5999984741211,114.5,114.27999877929688,117.04000091552734,3795000.0
2018-01-18,115.75,118.41000366210938,115.16000366210938,122.06999969482422,3736600.0
2018-01-19,118.05000305175781,118.44000244140625,116.52999877929688,119.12999725341797,2953300.0
2018-01-22,118.26000213623047,116.77999877929688,116.36000061035156,118.66000366210938,1672600.0
2018-01-23,116.51000213623047,117.25,116.51000213623047,118.11000061035156,1731700.0
2018-01-24,117.54000091552734,118.94000244140625,117.3499984741211,119.12000274658203,1985500.0
2018-01-25,119.76000213623047,120.20999908447266,118.97000122070312,120.77999877929688,2489400.0
2018-01-26,120.5,121.47000122070312,119.62000274658203,121.5,1686800.0
2018-01-29,120.91000366210938,119.56999969482422,119.37999725341797,121.6500015258789,1332200.0
2018-01-30,119.19999694824219,118.3499984741211,117.77999877929688,119.66000366210938,1172300.0
2018-01-31,118.87000274658203,118.7300033569336,118.19999694824219,119.06999969482422,1400100.0
2018-02-01,118.16000366210938,117.62000274658203,115.56999969482422,118.7699966430664,1393900.0
2018-02-02,117.27999877929688,115.61000061035156,115.51000213623047,117.45999908447266,1659200.0
2018-02-05,115.29000091552734,111.9800033569336,111.62000274658203,117.12000274658203,2484600.0
2018-02-06,110.33000183105469,113.95999908447266,109.5999984741211,114.19999694824219,2392000.0
2018-02-07,113.86000061035156,114.12999725341797,113.4800033569336,116.73999786376953,2223300.0
2018-02-08,113.88999938964844,110.30000305175781,110.2699966430664,114.19999694824219,2099500.0
2018-02-09,111.76000213623047,112.37000274658203,108.73999786376953,113.19999694824219,1739300.0
2018-02-12,113.0,113.9800033569336,112.86000061035156,114.7300033569336,1242900.0
2018-02-13,113.44000244140625,114.55999755859375,112.5999984741211,114.81999969482422,1423800.0
2018-02-14,113.8499984741211,116.31999969482422,113.47000122070312,116.81999969482422,1283800.0
2018-02-15,116.23999786376953,116.19000244140625,114.80999755859375,116.55000305175781,1276900.0
2018-02-16,115.86000061035156,116.16000366210938,115.37000274658203,117.2300033569336,995900.0
2018-02-20,115.3499984741211,115.4000015258789,114.75,116.12000274658203,1038400.0
2018-02-21,115.4800033569336,115.62000274658203,115.31999969482422,117.7300033569336,1017400.0
2018-02-22,116.2699966430664,115.86000061035156,115.58999633789062,117.0999984741211,919700.0
2018-02-23,116.68000030517578,117.45999908447266,115.87999725341797,117.5999984741211,738500.0
2018-02-26,117.55000305175781,117.52999877929688,116.23999786376953,117.75,964900.0
2018-02-27,117.75,115.30999755859375,115.2699966430664,117.87999725341797,1090800.0
2018-02-28,113.69999694824219,112.44000244140625,112.29000091552734,114.72000122070312,2725300.0
2018-03-01,111.94999694824219,111.11000061035156,110.30000305175781,113.12999725341797,1603700.0
2018-03-02,110.2300033569336,110.25,109.58999633789062,110.88999938964844,1360200.0
2018-03-05,109.5,112.76000213623047,109.5,113.08999633789062,1997100.0
2018-03-06,113.08999633789062,115.06999969482422,112.69999694824219,116.13999938964844,1531000.0
2018-03-07,113.77999877929688,115.0199966430664,113.69999694824219,115.31999969482422,1311600.0
2018-03-08,115.41000366210938,115.4000015258789,114.83999633789062,115.63999938964844,1059800.0
2018-03-09,116.20999908447266,117.6500015258789,115.94999694824219,117.73999786376953,1412300.0
2018-03-12,117.6500015258789,116.45999908447266,115.5999984741211,118.62000274658203,1293000.0
2018-03-13,117.19999694824219,116.06999969482422,115.4800033569336,117.83000183105469,1338400.0
2018-03-14,116.4800033569336,115.04000091552734,114.68000030517578,116.75,1000500.0
2018-03-15,115.20999908447266,114.27999877929688,113.97000122070312,115.83999633789062,1127000.0
2018-03-16,114.29000091552734,114.93000030517578,113.8499984741211,115.20999908447266,2409700.0
2018-03-19,114.41999816894531,113.22000122070312,112.62000274658203,114.86000061035156,1109300.0
2018-03-20,115.0,113.8499984741211,113.69999694824219,115.58000183105469,1446900.0
2018-03-21,114.0,113.94999694824219,113.72000122070312,115.44999694824219,1233800.0
2018-03-22,113.12000274658203,111.30999755859375,111.12000274658203,113.76000213623047,1251000.0
2018-03-23,111.44000244140625,109.4800033569336,109.38999938964844,111.80000305175781,1371600.0
2018-03-26,110.62000274658203,111.93000030517578,110.01000213623047,112.0999984741211,1187400.0
2018-03-27,112.58999633789062,111.91000366210938,111.47000122070312,113.91999816894531,1530500.0
2018-03-28,112.18000030517578,109.97000122070312,109.94000244140625,112.83999633789062,2016700.0
2018-03-29,110.36000061035156,111.5999984741211,110.04000091552734,112.52999877929688,1277000.0
2018-04-02,111.55000305175781,108.26000213623047,107.04000091552734,111.58000183105469,1504700.0
2018-04-03,108.5,110.18000030517578,107.79000091552734,110.43000030517578,2203000.0
2018-04-04,108.38999938964844,110.79000091552734,107.94999694824219,110.88999938964844,1259400.0
2018-04-05,111.69999694824219,111.66999816894531,111.08999633789062,112.30000305175781,1472500.0
2018-04-06,110.5999984741211,109.38999938964844,108.4000015258789,111.86000061035156,1677800.0
2018-04-09,110.30000305175781,109.61000061035156,109.37000274658203,111.37000274658203,1270100.0
2018-04-10,110.62000274658203,110.36000061035156,109.9000015258789,111.25,1522100.0
2018-04-11,109.37999725341797,109.27999877929688,108.56999969482422,109.8499984741211,1298800.0
2018-04-12,109.75,110.04000091552734,108.62999725341797,110.43000030517578,1901900.0
2018-04-13,110.6500015258789,110.0,109.55999755859375,110.93000030517578,1185900.0
