Date,cmeopen,cmeclose,cmelow,cmehigh,cmevolume
2008-01-02,137.197998046875,134.79800415039062,134.11000061035156,137.28599548339844,2453500.0
2008-01-03,134.81399536132812,130.07000732421875,127.66999816894531,135.11399841308594,6381000.0
2008-01-04,129.17599487304688,124.30000305175781,123.7040023803711,129.17599487304688,4844000.0
2008-01-07,125.2040023803711,122.81400299072266,119.01000213623047,125.79199981689453,5763000.0
2008-01-08,123.4000015258789,119.5999984741211,118.75,124.95999908447266,5029000.0
2008-01-09,119.4020004272461,120.06800079345703,114.85600280761719,120.75,6640000.0
2008-01-10,118.5999984741211,122.33999633789062,117.67400360107422,123.59200286865234,4844500.0
2008-01-11,121.45600128173828,123.53399658203125,119.9000015258789,124.39800262451172,4440500.0
2008-01-14,124.4000015258789,124.6719970703125,122.11599731445312,124.80000305175781,2343000.0
2008-01-15,123.3499984741211,119.3499984741211,119.27799987792969,123.98600006103516,4472500.0
2008-01-16,118.19999694824219,115.35199737548828,113.41000366210938,119.13600158691406,6415000.0
2008-01-17,115.60800170898438,108.94599914550781,108.33999633789062,116.5999984741211,5913500.0
2008-01-18,109.08399963378906,111.68000030517578,109.0,112.63999938964844,6660500.0
2008-01-22,107.00599670410156,116.19999694824219,105.53600311279297,116.73799896240234,7037000.0
2008-01-23,113.802001953125,121.99800109863281,113.0,122.76200103759766,7050000.0
2008-01-24,121.5999984741211,127.02799987792969,121.50399780273438,128.52200317382812,6591500.0
2008-01-25,127.11199951171875,125.80000305175781,125.62799835205078,129.39999389648438,5282500.0
2008-01-28,128.82000732421875,125.0,121.73799896240234,130.54800415039062,8643000.0
2008-01-29,124.22200012207031,123.4000015258789,121.80400085449219,125.2959976196289,3349000.0
2008-01-30,122.30000305175781,119.6500015258789,118.7959976196289,123.7300033569336,4215500.0
2008-01-31,118.0999984741211,123.4800033569336,116.0,124.97599792480469,5260000.0
2008-02-01,124.0,122.01200103759766,120.4000015258789,124.30999755859375,3614000.0
2008-02-04,123.84200286865234,123.80000305175781,122.00199890136719,124.5999984741211,2448000.0
2008-02-05,124.3499984741211,117.76000213623047,117.75399780273438,124.9020004272461,6778500.0
2008-02-06,116.697998046875,97.05000305175781,95.03399658203125,116.7020034790039,43380500.0
2008-02-07,102.4000015258789,105.60199737548828,102.0,109.48600006103516,23129500.0
2008-02-08,105.9520034790039,103.4000015258789,102.64199829101562,106.79000091552734,7506000.0
2008-02-11,103.4000015258789,104.30000305175781,101.53600311279297,106.0,4720500.0
2008-02-12,105.80000305175781,106.05000305175781,104.74199676513672,108.73400115966797,5232500.0
2008-02-13,106.69999694824219,107.00199890136719,105.15799713134766,107.6520004272461,3367000.0
2008-02-14,107.00199890136719,106.19000244140625,105.49800109863281,108.55999755859375,3474000.0
2008-02-15,106.13200378417969,105.39399719238281,103.88800048828125,106.13200378417969,3631000.0
2008-02-19,105.72000122070312,104.0,102.91999816894531,106.62000274658203,2903500.0
2008-02-20,103.0,104.30000305175781,100.25800323486328,104.30000305175781,4942500.0
2008-02-21,104.30000305175781,103.28800201416016,102.13999938964844,105.0,3181000.0
2008-02-22,103.19999694824219,105.0199966430664,102.2020034790039,105.52799987792969,3180500.0
2008-02-25,105.05999755859375,106.19999694824219,103.55599975585938,106.89199829101562,3134000.0
2008-02-26,105.4000015258789,105.85600280761719,103.25,106.99400329589844,3267500.0
2008-02-27,104.80000305175781,105.34400177001953,104.17400360107422,106.86399841308594,2625000.0
2008-02-28,104.19999694824219,103.45999908447266,103.05599975585938,104.90399932861328,3021500.0
2008-02-29,102.58999633789062,102.66000366210938,101.07599639892578,103.35399627685547,2921000.0
2008-03-03,102.33000183105469,103.40599822998047,100.98999786376953,103.79199981689453,2935000.0
2008-03-04,102.24400329589844,100.5999984741211,99.28600311279297,102.5999984741211,5229000.0
2008-03-05,100.5999984741211,103.68800354003906,100.5999984741211,103.77799987792969,4876500.0
2008-03-06,102.97599792480469,101.08999633789062,100.91999816894531,103.59600067138672,3357000.0
2008-03-07,100.45999908447266,98.28199768066406,95.26599884033203,101.7959976196289,7628000.0
2008-03-10,97.51200103759766,92.25,92.25,98.28199768066406,6856500.0
2008-03-11,94.87000274658203,100.9000015258789,94.05000305175781,100.94999694824219,6917500.0
2008-03-12,100.04000091552734,99.68000030517578,98.65399932861328,101.58599853515625,4724500.0
2008-03-13,97.74199676513672,101.37000274658203,95.5459976196289,101.94599914550781,5916500.0
2008-03-14,102.08200073242188,97.20999908447266,95.80999755859375,102.91799926757812,6864000.0
2008-03-17,93.6780014038086,89.83999633789062,79.802001953125,94.00199890136719,19549000.0
2008-03-18,94.20600128173828,94.5999984741211,91.4000015258789,95.05000305175781,7977500.0
2008-03-19,93.70600128173828,89.9800033569336,89.02999877929688,95.28199768066406,7042000.0
2008-03-20,89.46199798583984,94.4000015258789,88.22200012207031,94.4000015258789,6606500.0
