Date,ahpiopen,ahpiclose,ahpilow,ahpihigh,ahpivolume
2008-01-02,14.5,13.039999961853027,13.020000457763672,14.899999618530273,13200.0
2008-01-03,13.279999732971191,14.15999984741211,13.199999809265137,14.65999984741211,2500.0
2008-01-04,14.680000305175781,14.020000457763672,13.619999885559082,14.739999771118164,2900.0
2008-01-07,14.100000381469727,13.720000267028809,13.619999885559082,14.479999542236328,2100.0
2008-01-08,13.65999984741211,13.680000305175781,13.600000381469727,14.520000457763672,1500.0
2008-01-09,14.300000190734863,14.199999809265137,13.859999656677246,14.5,1600.0
2008-01-10,13.699999809265137,14.5,13.699999809265137,14.84000015258789,1700.0
2008-01-11,13.899999618530273,14.399999618530273,13.899999618530273,14.5,2900.0
2008-01-14,14.0,14.5,14.0,14.5,1300.0
2008-01-15,14.5,14.0,14.0,14.5,1000.0
2008-01-16,14.079999923706055,14.0,13.65999984741211,14.300000190734863,1900.0
2008-01-17,14.0,14.039999961853027,13.920000076293945,14.539999961853027,10400.0
2008-01-18,13.619999885559082,13.65999984741211,13.619999885559082,14.479999542236328,1000.0
2008-01-22,14.100000381469727,14.039999961853027,13.600000381469727,14.34000015258789,2500.0
2008-01-23,13.600000381469727,14.479999542236328,13.600000381469727,14.479999542236328,2100.0
2008-01-24,14.5,14.460000038146973,14.460000038146973,14.5,100.0
2008-01-25,14.5,14.0,14.0,14.5,3700.0
2008-01-28,14.180000305175781,14.460000038146973,14.180000305175781,14.460000038146973,100.0
2008-01-29,14.460000038146973,14.460000038146973,14.460000038146973,14.460000038146973,0.0
2008-01-30,14.0,13.600000381469727,13.600000381469727,14.0,900.0
2008-01-31,14.460000038146973,14.4399995803833,14.0600004196167,14.479999542236328,1100.0
2008-02-01,14.479999542236328,14.479999542236328,14.420000076293945,14.479999542236328,500.0
2008-02-04,14.899999618530273,14.0,14.0,14.899999618530273,1300.0
2008-02-05,14.0,14.0,13.600000381469727,14.020000457763672,5800.0
2008-02-06,14.5600004196167,13.0,13.0,14.5600004196167,1200.0
2008-02-07,13.0,13.079999923706055,13.0,14.359999656677246,700.0
2008-02-08,13.0600004196167,13.520000457763672,13.0600004196167,13.520000457763672,200.0
2008-02-11,13.039999961853027,12.199999809265137,12.199999809265137,13.180000305175781,1100.0
2008-02-12,12.4399995803833,12.199999809265137,11.800000190734863,12.4399995803833,200.0
2008-02-13,12.0,12.0,11.800000190734863,12.0,900.0
2008-02-14,12.0,12.0,12.0,12.0,0.0
2008-02-15,12.079999923706055,12.079999923706055,12.079999923706055,12.079999923706055,100.0
2008-02-19,12.0,12.0,12.0,13.359999656677246,2500.0
2008-02-20,12.0,12.0,12.0,13.079999923706055,500.0
2008-02-21,12.0,12.0,12.0,12.0,200.0
2008-02-22,12.0,12.0,12.0,12.0,400.0
2008-02-25,12.0,12.0,12.0,12.0,700.0
2008-02-26,12.020000457763672,12.0,12.0,12.020000457763672,800.0
2008-02-27,12.0,12.0,12.0,12.0,0.0
2008-02-28,12.0,12.0600004196167,12.0,14.0,2100.0
2008-02-29,12.0,14.140000343322754,12.0,14.380000114440918,4700.0
2008-03-03,12.300000190734863,13.899999618530273,12.199999809265137,13.9399995803833,500.0
2008-03-04,13.899999618530273,13.899999618530273,13.899999618530273,13.899999618530273,0.0
2008-03-05,12.220000267028809,12.220000267028809,12.220000267028809,12.220000267028809,100.0
2008-03-06,13.0,12.640000343322754,12.239999771118164,13.020000457763672,800.0
2008-03-07,12.640000343322754,12.640000343322754,12.640000343322754,12.640000343322754,0.0
2008-03-10,12.100000381469727,13.779999732971191,12.100000381469727,13.779999732971191,1300.0
2008-03-11,13.600000381469727,12.039999961853027,12.039999961853027,13.600000381469727,1100.0
2008-03-12,12.15999984741211,13.180000305175781,12.100000381469727,13.260000228881836,7000.0
2008-03-13,13.140000343322754,13.199999809265137,13.140000343322754,13.199999809265137,600.0
2008-03-14,13.199999809265137,13.199999809265137,13.199999809265137,13.199999809265137,0.0
2008-03-17,13.100000381469727,12.800000190734863,12.800000190734863,13.100000381469727,700.0
2008-03-18,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0.0
2008-03-19,12.34000015258789,12.300000190734863,12.300000190734863,12.34000015258789,500.0
2008-03-20,12.300000190734863,12.600000381469727,12.300000190734863,12.600000381469727,800.0
2008-03-24,12.600000381469727,12.600000381469727,12.600000381469727,12.600000381469727,1500.0
2008-03-25,12.399999618530273,12.0,12.0,12.399999618530273,800.0
2008-03-26,12.020000457763672,12.0,12.0,12.020000457763672,100.0
2008-03-27,12.0,12.0,12.0,12.0,200.0
2008-03-28,12.0,12.0,12.0,12.0,10200.0
2008-03-31,12.0,12.359999656677246,12.0,12.359999656677246,1300.0
2008-04-01,12.300000190734863,12.300000190734863,12.300000190734863,12.300000190734863,7100.0
2008-04-02,12.0,12.0,12.0,12.020000457763672,2500.0
2008-04-03,12.0,12.399999618530273,12.0,12.399999618530273,1700.0
2008-04-04,12.0,12.0,12.0,12.0,3800.0
2008-04-07,12.359999656677246,12.0,12.0,12.359999656677246,400.0
2008-04-08,12.319999694824219,12.34000015258789,12.079999923706055,12.359999656677246,300.0
2008-04-09,12.300000190734863,12.119999885559082,12.0,12.380000114440918,300.0
2008-04-10,12.380000114440918,12.380000114440918,12.380000114440918,12.380000114440918,100.0
2008-04-11,12.380000114440918,12.399999618530273,12.380000114440918,12.399999618530273,100.0
2008-04-14,12.380000114440918,12.380000114440918,12.380000114440918,12.380000114440918,100.0
2008-04-15,12.380000114440918,12.399999618530273,12.380000114440918,12.399999618530273,100.0
2008-04-16,12.380000114440918,12.380000114440918,12.380000114440918,12.380000114440918,0.0
2008-04-17,12.180000305175781,12.600000381469727,12.180000305175781,12.600000381469727,100.0
2008-04-18,12.699999809265137,12.600000381469727,12.600000381469727,12.800000190734863,5300.0
2008-04-21,12.579999923706055,12.579999923706055,11.600000381469727,12.579999923706055,2800.0
2008-04-22,12.399999618530273,12.0,12.0,12.579999923706055,2000.0
2008-04-23,12.0,12.0,12.0,12.199999809265137,10200.0
2008-04-24,12.0,12.0,12.0,12.0,0.0
2008-04-25,12.0,12.0,12.0,12.0,0.0
2008-04-28,12.0,12.0,12.0,12.0,0.0
2008-04-29,12.0,12.0,12.0,12.100000381469727,2000.0
2008-04-30,12.539999961853027,12.539999961853027,12.539999961853027,12.539999961853027,900.0
2008-05-01,12.539999961853027,12.539999961853027,12.539999961853027,12.539999961853027,0.0
2008-05-02,12.539999961853027,12.399999618530273,12.239999771118164,12.539999961853027,1100.0
