Date,manopen,manclose,manlow,manhigh,manvolume
2008-01-02,56.279998779296875,55.04999923706055,52.0099983215332,56.5,1206500.0
2008-01-03,55.060001373291016,53.33000183105469,53.279998779296875,55.150001525878906,942900.0
2008-01-04,52.720001220703125,51.16999816894531,51.0,52.91999816894531,1120300.0
2008-01-07,51.36000061035156,52.06999969482422,50.959999084472656,52.279998779296875,744200.0
2008-01-08,52.45000076293945,51.099998474121094,51.099998474121094,52.7599983215332,748300.0
2008-01-09,51.04999923706055,51.75,50.369998931884766,51.84000015258789,788000.0
2008-01-10,51.45000076293945,52.02000045776367,51.08000183105469,52.52000045776367,648000.0
2008-01-11,51.619998931884766,51.599998474121094,50.95000076293945,52.2400016784668,550100.0
2008-01-14,51.689998626708984,51.209999084472656,50.970001220703125,52.130001068115234,539800.0
2008-01-15,50.75,50.22999954223633,49.060001373291016,51.959999084472656,1010300.0
2008-01-16,49.900001525878906,51.61000061035156,49.810001373291016,52.650001525878906,1094500.0
2008-01-17,51.86000061035156,49.849998474121094,49.75,51.91999816894531,648600.0
2008-01-18,50.099998474121094,48.83000183105469,48.22999954223633,50.150001525878906,1180000.0
2008-01-22,49.689998626708984,49.540000915527344,45.70000076293945,49.97999954223633,1116700.0
2008-01-23,48.41999816894531,50.060001373291016,47.77000045776367,50.470001220703125,1049100.0
2008-01-24,51.9900016784668,52.06999969482422,50.29999923706055,52.63999938964844,1656600.0
2008-01-25,52.34000015258789,51.54999923706055,51.18000030517578,53.09000015258789,789100.0
2008-01-28,51.40999984741211,53.11000061035156,50.880001068115234,53.11000061035156,833300.0
2008-01-29,53.439998626708984,54.349998474121094,53.310001373291016,54.400001525878906,1063500.0
2008-01-30,54.599998474121094,55.77000045776367,54.599998474121094,56.5,1446200.0
2008-01-31,54.599998474121094,55.79999923706055,53.68000030517578,56.81999969482422,1847000.0
2008-02-01,56.119998931884766,57.369998931884766,56.119998931884766,58.25,2137000.0
2008-02-04,57.369998931884766,56.810001373291016,56.290000915527344,57.45000076293945,1023600.0
2008-02-05,55.900001525878906,55.130001068115234,54.91999816894531,55.900001525878906,1363600.0
2008-02-06,55.560001373291016,53.2400016784668,53.209999084472656,55.560001373291016,1348700.0
2008-02-07,52.84000015258789,52.56999969482422,51.93000030517578,53.650001525878906,1060700.0
2008-02-08,52.040000915527344,53.25,51.83000183105469,53.380001068115234,731400.0
2008-02-11,53.349998474121094,53.4900016784668,52.34000015258789,53.58000183105469,861800.0
2008-02-12,53.79999923706055,53.31999969482422,52.93000030517578,54.630001068115234,1256300.0
2008-02-13,54.130001068115234,55.41999816894531,54.040000915527344,55.540000915527344,1005900.0
2008-02-14,55.720001220703125,54.68000030517578,54.560001373291016,55.720001220703125,790700.0
2008-02-15,54.13999938964844,54.349998474121094,53.63999938964844,54.68000030517578,371300.0
2008-02-19,54.40999984741211,54.81999969482422,54.2400016784668,55.310001373291016,545800.0
2008-02-20,54.61000061035156,56.63999938964844,54.470001220703125,56.68000030517578,738300.0
2008-02-21,56.86000061035156,57.09000015258789,56.86000061035156,58.439998626708984,1551900.0
2008-02-22,57.15999984741211,56.29999923706055,55.20000076293945,57.16999816894531,829700.0
2008-02-25,56.150001525878906,57.880001068115234,55.459999084472656,58.09000015258789,846100.0
2008-02-26,57.45000076293945,60.5,57.45000076293945,61.02000045776367,1175200.0
2008-02-27,60.0,60.470001220703125,59.31999969482422,60.7599983215332,621300.0
2008-02-28,59.86000061035156,58.56999969482422,57.619998931884766,59.86000061035156,1061300.0
2008-02-29,58.06999969482422,56.70000076293945,56.529998779296875,58.06999969482422,1127400.0
2008-03-03,56.59000015258789,57.970001220703125,56.400001525878906,58.290000915527344,695100.0
2008-03-04,57.4900016784668,58.16999816894531,56.81999969482422,58.279998779296875,850700.0
2008-03-05,58.2599983215332,58.63999938964844,58.02000045776367,58.880001068115234,935100.0
2008-03-06,58.439998626708984,57.900001525878906,57.66999816894531,58.900001525878906,659900.0
2008-03-07,57.0099983215332,54.959999084472656,54.5,57.349998474121094,1435900.0
2008-03-10,54.97999954223633,53.16999816894531,53.16999816894531,55.290000915527344,1000500.0
2008-03-11,54.7599983215332,55.099998474121094,53.880001068115234,55.16999816894531,847300.0
2008-03-12,55.06999969482422,54.33000183105469,54.25,55.36000061035156,512200.0
2008-03-13,53.5,54.83000183105469,52.7599983215332,55.0,723700.0
2008-03-14,55.16999816894531,55.150001525878906,53.09000015258789,56.02000045776367,1405600.0
2008-03-17,53.869998931884766,55.0,53.540000915527344,55.5099983215332,1709400.0
2008-03-18,56.25,57.58000183105469,55.5,57.75,1214600.0
2008-03-19,57.75,55.650001525878906,55.619998931884766,58.9900016784668,981700.0
2008-03-20,55.56999969482422,56.11000061035156,54.90999984741211,56.599998474121094,1125400.0
2008-03-24,56.31999969482422,59.08000183105469,56.31999969482422,59.27000045776367,909200.0
2008-03-25,59.209999084472656,58.93000030517578,57.27000045776367,59.720001220703125,688800.0
2008-03-26,58.5,57.560001373291016,57.02000045776367,58.5,726000.0
2008-03-27,57.439998626708984,56.290000915527344,56.2400016784668,58.31999969482422,466200.0
2008-03-28,56.400001525878906,56.68000030517578,55.900001525878906,57.2599983215332,389800.0
2008-03-31,56.88999938964844,56.2599983215332,55.54999923706055,56.939998626708984,539900.0
2008-04-01,56.70000076293945,59.189998626708984,56.380001068115234,59.2400016784668,627100.0
2008-04-02,59.31999969482422,59.029998779296875,58.599998474121094,60.09000015258789,636100.0
2008-04-03,58.72999954223633,59.70000076293945,58.43000030517578,59.93000030517578,642200.0
