Date,klacopen,klacclose,klaclow,klachigh,klacvolume
2008-01-02,47.90999984741211,46.540000915527344,46.06999969482422,48.349998474121094,3900400.0
2008-01-03,46.0099983215332,45.810001373291016,45.2400016784668,46.40999984741211,3691700.0
2008-01-04,45.279998779296875,43.52000045776367,43.11000061035156,45.38999938964844,5297900.0
2008-01-07,43.599998474121094,43.189998626708984,42.630001068115234,44.11000061035156,4836800.0
2008-01-08,42.900001525878906,41.88999938964844,41.849998474121094,43.630001068115234,5094200.0
2008-01-09,41.83000183105469,42.540000915527344,41.34000015258789,42.70000076293945,4893400.0
2008-01-10,42.16999816894531,42.720001220703125,41.689998626708984,43.279998779296875,4134300.0
2008-01-11,42.54999923706055,41.810001373291016,41.65999984741211,42.81999969482422,3061900.0
2008-01-14,42.2599983215332,42.810001373291016,42.11000061035156,42.90999984741211,3053900.0
2008-01-15,42.709999084472656,41.43000030517578,41.400001525878906,43.13999938964844,5521100.0
2008-01-16,41.15999984741211,43.619998931884766,40.630001068115234,44.61000061035156,7438500.0
2008-01-17,43.88999938964844,42.56999969482422,42.22999954223633,44.33000183105469,7758100.0
2008-01-18,42.61000061035156,43.72999954223633,42.56999969482422,44.400001525878906,5748300.0
2008-01-22,41.47999954223633,42.560001373291016,41.47999954223633,43.369998931884766,4715300.0
2008-01-23,41.38999938964844,42.7400016784668,40.099998474121094,43.130001068115234,6733600.0
2008-01-24,42.310001373291016,41.970001220703125,41.66999816894531,43.650001525878906,6645500.0
2008-01-25,42.43000030517578,42.16999816894531,41.599998474121094,43.29999923706055,8763000.0
2008-01-28,42.13999938964844,43.09000015258789,41.959999084472656,43.189998626708984,3505000.0
2008-01-29,43.13999938964844,42.34000015258789,41.709999084472656,43.560001373291016,4272600.0
2008-01-30,42.25,41.900001525878906,41.560001373291016,42.630001068115234,4847500.0
2008-01-31,41.13999938964844,41.779998779296875,40.349998474121094,42.2400016784668,4793500.0
2008-02-01,42.38999938964844,44.119998931884766,42.04999923706055,44.380001068115234,5001700.0
