Date,cmpopen,cmpclose,cmplow,cmphigh,cmpvolume
2008-01-02,41.0,40.439998626708984,40.18000030517578,41.04999923706055,435200.0
2008-01-03,40.599998474121094,40.0099983215332,39.849998474121094,40.689998626708984,367400.0
2008-01-04,39.560001373291016,40.04999923706055,39.36000061035156,40.400001525878906,325900.0
2008-01-07,40.34000015258789,40.029998779296875,39.54999923706055,41.25,414700.0
2008-01-08,40.029998779296875,39.310001373291016,39.209999084472656,40.869998931884766,401300.0
2008-01-09,39.4900016784668,40.13999938964844,38.20000076293945,40.150001525878906,471000.0
2008-01-10,39.849998474121094,40.91999816894531,39.36000061035156,41.290000915527344,371700.0
2008-01-11,40.68000030517578,41.369998931884766,40.36000061035156,42.08000183105469,344100.0
2008-01-14,42.02000045776367,42.779998779296875,41.869998931884766,43.84000015258789,534100.0
2008-01-15,42.13999938964844,42.13999938964844,41.91999816894531,42.93000030517578,321300.0
2008-01-16,42.099998474121094,40.720001220703125,40.2599983215332,42.099998474121094,271400.0
2008-01-17,40.779998779296875,39.310001373291016,39.130001068115234,40.779998779296875,306200.0
2008-01-18,38.75,37.11000061035156,36.5099983215332,39.650001525878906,505400.0
2008-01-22,35.560001373291016,37.58000183105469,35.290000915527344,38.0,431800.0
2008-01-23,36.7599983215332,39.70000076293945,35.58000183105469,39.84000015258789,639100.0
2008-01-24,40.0,40.189998626708984,39.119998931884766,40.38999938964844,732400.0
2008-01-25,40.959999084472656,41.5099983215332,40.959999084472656,42.439998626708984,783700.0
2008-01-28,41.5,42.36000061035156,41.40999984741211,42.900001525878906,656900.0
2008-01-29,42.65999984741211,42.59000015258789,42.11000061035156,43.220001220703125,329400.0
2008-01-30,42.4900016784668,42.130001068115234,42.0,43.880001068115234,476200.0
2008-01-31,41.529998779296875,42.439998626708984,41.0099983215332,42.959999084472656,612500.0
2008-02-01,41.81999969482422,42.06999969482422,41.63999938964844,42.5,481600.0
2008-02-04,41.880001068115234,42.33000183105469,41.650001525878906,42.529998779296875,877400.0
2008-02-05,41.650001525878906,40.0,40.0,42.119998931884766,450500.0
2008-02-06,40.45000076293945,40.599998474121094,40.25,41.619998931884766,493400.0
2008-02-07,40.560001373291016,42.7400016784668,40.52000045776367,42.810001373291016,963400.0
2008-02-08,43.02000045776367,42.65999984741211,42.34000015258789,43.43000030517578,406900.0
2008-02-11,43.5,46.0099983215332,43.5,46.59000015258789,1172100.0
2008-02-12,47.75,51.2599983215332,47.54999923706055,52.939998626708984,2379100.0
2008-02-13,50.88999938964844,53.43000030517578,50.88999938964844,53.869998931884766,1251700.0
2008-02-14,53.0099983215332,54.310001373291016,52.779998779296875,54.5,1180700.0
2008-02-15,54.02000045776367,54.720001220703125,53.099998474121094,55.68000030517578,1170300.0
2008-02-19,55.060001373291016,54.7599983215332,54.560001373291016,57.349998474121094,1495600.0
