Date,acglopen,acglclose,acgllow,acglhigh,acglvolume
2008-01-02,7.7833333015441895,7.608889102935791,7.57444429397583,7.827777862548828,3843900.0
2008-01-03,7.594444274902344,7.764444351196289,7.594444274902344,7.80222225189209,4895100.0
2008-01-04,7.706666469573975,7.7022223472595215,7.651111125946045,7.751111030578613,4593600.0
2008-01-07,7.803333282470703,7.791110992431641,7.679999828338623,7.832221984863281,4264200.0
2008-01-08,7.849999904632568,7.909999847412109,7.842222213745117,8.0,7432200.0
2008-01-09,7.8922224044799805,7.909999847412109,7.877777576446533,7.986666679382324,6842700.0
2008-01-10,7.983333110809326,8.039999961853027,7.900000095367432,8.11111068725586,8147700.0
2008-01-11,8.042222023010254,7.918889045715332,7.901111125946045,8.045555114746094,4379400.0
2008-01-14,8.0,7.897777557373047,7.801111221313477,8.0,4878900.0
2008-01-15,7.842222213745117,7.808888912200928,7.78000020980835,7.926666736602783,3275100.0
2008-01-16,7.748888969421387,7.812222003936768,7.748888969421387,7.938889026641846,3618000.0
2008-01-17,7.816666603088379,7.493333339691162,7.4877777099609375,7.889999866485596,4094100.0
2008-01-18,7.506666660308838,7.4811110496521,7.422222137451172,7.633333206176758,4278600.0
2008-01-22,7.347777843475342,7.526666641235352,7.345555782318115,7.674444675445557,4162500.0
2008-01-23,7.356666564941406,7.733333110809326,7.344444274902344,7.761111259460449,5061600.0
2008-01-24,7.733333110809326,7.67888879776001,7.637777805328369,7.800000190734863,3666600.0
2008-01-25,7.712222099304199,7.5188889503479,7.476666450500488,7.712222099304199,3391200.0
2008-01-28,7.480000019073486,7.584444522857666,7.468888759613037,7.615555763244629,3795300.0
2008-01-29,7.643333435058594,7.774444580078125,7.6177778244018555,7.803333282470703,3475800.0
2008-01-30,7.734444618225098,7.576666831970215,7.570000171661377,7.806666851043701,3946500.0
2008-01-31,7.5366668701171875,7.828888893127441,7.501111030578613,7.87666654586792,3975300.0
2008-02-01,7.796666622161865,7.820000171661377,7.696666717529297,7.881111145019531,5623200.0
2008-02-04,7.796666622161865,7.916666507720947,7.7833333015441895,7.951111316680908,2587500.0
2008-02-05,7.825555324554443,7.789999961853027,7.734444618225098,7.9066667556762695,3798900.0
2008-02-06,7.840000152587891,7.796666622161865,7.777777671813965,7.912222385406494,1993500.0
2008-02-07,7.769999980926514,7.809999942779541,7.679999828338623,7.945555686950684,3023100.0
2008-02-08,7.774444580078125,7.760000228881836,7.717777729034424,7.866666793823242,2652300.0
2008-02-11,7.732222080230713,7.545555591583252,7.516666889190674,7.782222270965576,3697200.0
2008-02-12,7.666666507720947,7.757777690887451,7.573333263397217,7.845555782318115,5445000.0
2008-02-13,7.856666564941406,7.896666526794434,7.71999979019165,7.914444446563721,4373100.0
2008-02-14,7.845555782318115,7.775555610656738,7.641110897064209,7.864444255828857,3915000.0
2008-02-15,7.72777795791626,7.868888854980469,7.673333168029785,7.898889064788818,1873800.0
2008-02-19,7.94777774810791,7.8466668128967285,7.794444561004639,7.951111316680908,2748600.0
2008-02-20,7.866666793823242,7.880000114440918,7.754444599151611,7.908888816833496,2237400.0
2008-02-21,7.82111120223999,7.7588887214660645,7.738888740539551,7.861111164093018,2565000.0
2008-02-22,7.722222328186035,7.778888702392578,7.630000114440918,7.778888702392578,2467800.0
2008-02-25,7.738888740539551,7.78000020980835,7.644444465637207,7.806666851043701,2836800.0
2008-02-26,7.784444332122803,7.897777557373047,7.77222204208374,7.941111087799072,1729800.0
2008-02-27,7.787777900695801,7.85444450378418,7.7622222900390625,7.888888835906982,2439900.0
2008-02-28,7.836666584014893,7.706666469573975,7.658888816833496,7.836666584014893,1881900.0
2008-02-29,7.6777777671813965,7.608889102935791,7.5933332443237305,7.77222204208374,3565800.0
2008-03-03,7.6177778244018555,7.496666431427002,7.415555477142334,7.643333435058594,3497400.0
2008-03-04,7.420000076293945,7.542222023010254,7.420000076293945,7.578888893127441,3051900.0
2008-03-05,7.527777671813965,7.445555686950684,7.402222156524658,7.610000133514404,2469600.0
2008-03-06,7.422222137451172,7.433333396911621,7.422222137451172,7.521111011505127,3629700.0
2008-03-07,7.710000038146973,7.57111120223999,7.505555629730225,7.75,3754800.0
2008-03-10,7.564444541931152,7.488888740539551,7.476666450500488,7.643333435058594,2239200.0
2008-03-11,7.578888893127441,7.524444580078125,7.407777786254883,7.586666584014893,3550500.0
2008-03-12,7.524444580078125,7.409999847412109,7.398889064788818,7.539999961853027,4189500.0
2008-03-13,7.380000114440918,7.440000057220459,7.361111164093018,7.47777795791626,5319900.0
2008-03-14,7.44444465637207,7.385555744171143,7.374444484710693,7.525555610656738,4957200.0
2008-03-17,7.304444313049316,7.301111221313477,7.287777900695801,7.433333396911621,6255000.0
2008-03-18,7.351110935211182,7.461111068725586,7.351110935211182,7.473333358764648,4212000.0
2008-03-19,7.461111068725586,7.337777614593506,7.333333492279053,7.489999771118164,4265100.0
2008-03-20,7.223333358764648,7.519999980926514,7.222222328186035,7.528888702392578,3304800.0
2008-03-24,7.516666889190674,7.46999979019165,7.437777996063232,7.5933332443237305,3791700.0
2008-03-25,7.503333568572998,7.566666603088379,7.472222328186035,7.699999809265137,2903400.0
2008-03-26,7.527777671813965,7.535555362701416,7.525555610656738,7.608889102935791,2511000.0
2008-03-27,7.551111221313477,7.495555400848389,7.488888740539551,7.599999904632568,2817900.0
2008-03-28,7.476666450500488,7.526666641235352,7.476666450500488,7.585555553436279,3409200.0
2008-03-31,7.528888702392578,7.630000114440918,7.528888702392578,7.684444427490234,3098700.0
