Date,avbopen,avbclose,avblow,avbhigh,avbvolume
2008-01-02,92.54000091552734,91.3499984741211,90.1500015258789,93.95999908447266,1137400.0
2008-01-03,92.76000213623047,87.83000183105469,87.33999633789062,92.76000213623047,1364800.0
2008-01-04,85.19999694824219,84.0199966430664,83.9800033569336,86.86000061035156,1363000.0
2008-01-07,84.19999694824219,86.94999694824219,82.52999877929688,87.20999908447266,1475000.0
2008-01-08,87.45999908447266,84.66999816894531,84.22000122070312,91.18000030517578,1624600.0
2008-01-09,84.83000183105469,86.5199966430664,80.75,86.93000030517578,1783500.0
2008-01-10,85.66999816894531,86.86000061035156,82.0,89.23999786376953,1698200.0
2008-01-11,85.2300033569336,87.86000061035156,84.12999725341797,89.9000015258789,1449500.0
2008-01-14,88.4000015258789,85.77999877929688,83.29000091552734,89.87999725341797,1423800.0
2008-01-15,84.0,83.55000305175781,82.69000244140625,85.80999755859375,1208100.0
2008-01-16,83.54000091552734,86.7300033569336,83.30999755859375,87.66999816894531,1456000.0
2008-01-17,86.81999969482422,85.05999755859375,84.87999725341797,88.1500015258789,1394700.0
2008-01-18,86.5,83.18000030517578,81.81999969482422,86.94999694824219,1765700.0
2008-01-22,79.86000061035156,86.37999725341797,79.16000366210938,88.11000061035156,1741800.0
2008-01-23,82.48999786376953,95.45999908447266,82.48999786376953,95.83000183105469,3919600.0
2008-01-24,96.0,92.2300033569336,91.01000213623047,96.0,1352700.0
2008-01-25,93.48999786376953,91.9000015258789,91.62000274658203,95.4000015258789,1429900.0
2008-01-28,91.12000274658203,95.5,90.83000183105469,95.5,1374900.0
2008-01-29,95.75,95.43000030517578,93.83000183105469,96.3499984741211,1075100.0
2008-01-30,94.94000244140625,92.8499984741211,91.77999877929688,97.80999755859375,1595200.0
2008-01-31,91.55999755859375,93.77999877929688,91.0199966430664,95.05000305175781,1505900.0
2008-02-01,94.33000183105469,99.19999694824219,94.0,99.98999786376953,1455800.0
2008-02-04,97.95999908447266,95.2699966430664,94.8499984741211,98.48999786376953,993800.0
2008-02-05,93.0,91.69000244140625,91.38999938964844,95.55000305175781,1155600.0
2008-02-06,92.95999908447266,91.8499984741211,91.62000274658203,94.0,1458000.0
2008-02-07,91.83999633789062,92.94000244140625,89.75,94.30000305175781,1816500.0
2008-02-08,92.16000366210938,90.54000091552734,89.30000305175781,93.76000213623047,1237800.0
2008-02-11,91.55000305175781,89.05999755859375,88.23999786376953,91.55000305175781,951900.0
2008-02-12,90.2699966430664,93.69999694824219,89.72000122070312,94.08000183105469,1645500.0
2008-02-13,94.16000366210938,95.7699966430664,93.06999969482422,95.81999969482422,1433700.0
2008-02-14,95.5999984741211,93.02999877929688,92.75,95.88999938964844,978100.0
2008-02-15,92.86000061035156,92.0999984741211,90.41000366210938,93.0,1163600.0
2008-02-19,93.93000030517578,94.41000366210938,92.5,94.5,1353600.0
2008-02-20,93.51000213623047,95.58000183105469,92.7699966430664,95.68000030517578,1214500.0
2008-02-21,95.72000122070312,92.87000274658203,92.5999984741211,96.91999816894531,1032300.0
2008-02-22,93.70999908447266,95.73999786376953,91.66999816894531,95.73999786376953,801800.0
2008-02-25,95.54000091552734,99.73999786376953,93.95999908447266,99.73999786376953,1218900.0
2008-02-26,99.0,99.0999984741211,97.5999984741211,100.80999755859375,1221600.0
2008-02-27,98.5,97.9800033569336,97.0999984741211,99.62999725341797,700900.0
2008-02-28,97.19000244140625,95.19000244140625,95.0,97.31999969482422,910200.0
2008-02-29,94.44000244140625,92.43000030517578,92.2300033569336,95.37000274658203,1045900.0
2008-03-03,92.66999816894531,92.9800033569336,90.36000061035156,93.05000305175781,1143400.0
2008-03-04,91.77999877929688,92.9800033569336,90.72000122070312,93.73999786376953,1020900.0
2008-03-05,93.05000305175781,93.66999816894531,92.26000213623047,95.06999969482422,984100.0
2008-03-06,92.8499984741211,90.75,90.5,93.30999755859375,1334800.0
2008-03-07,90.25,92.25,89.33000183105469,93.0999984741211,1179600.0
2008-03-10,92.0,88.95999908447266,88.66000366210938,92.20999908447266,1399600.0
2008-03-11,91.80000305175781,95.1500015258789,89.87000274658203,95.5999984741211,1526000.0
2008-03-12,95.01000213623047,94.86000061035156,94.11000061035156,98.0,1268100.0
2008-03-13,92.88999938964844,95.98999786376953,91.16999816894531,96.75,1237300.0
2008-03-14,95.98999786376953,94.30999755859375,91.05000305175781,96.86000061035156,1614000.0
2008-03-17,92.4000015258789,95.47000122070312,92.05999755859375,96.83000183105469,2048900.0
2008-03-18,96.56999969482422,99.80000305175781,95.8499984741211,99.80000305175781,2081100.0
2008-03-19,100.0,100.81999969482422,98.62000274658203,103.02999877929688,1828200.0
2008-03-20,101.05999755859375,104.2699966430664,100.62999725341797,104.63999938964844,1546400.0
2008-03-24,104.51000213623047,105.29000091552734,104.51000213623047,105.9800033569336,1264000.0
2008-03-25,105.25,104.44999694824219,102.47000122070312,105.5999984741211,910900.0
2008-03-26,104.12999725341797,101.11000061035156,100.4800033569336,104.3499984741211,1511800.0
2008-03-27,102.58999633789062,98.31999969482422,98.16000366210938,102.66999816894531,1482000.0
2008-03-28,97.18000030517578,95.0999984741211,95.0,97.3499984741211,1948400.0
2008-03-31,96.62999725341797,96.5199966430664,95.91000366210938,99.68000030517578,1658400.0
2008-04-01,98.4800033569336,102.23999786376953,98.4800033569336,102.62999725341797,1516500.0
2008-04-02,103.76000213623047,101.19000244140625,100.51000213623047,103.76000213623047,1219400.0
2008-04-03,100.83999633789062,104.23999786376953,100.0999984741211,104.33000183105469,1062400.0
