Date,deopen,declose,delow,dehigh,devolume
2008-01-02,94.01000213623047,90.19999694824219,89.5199966430664,94.01000213623047,5109500.0
2008-01-03,90.66999816894531,93.9000015258789,90.63999938964844,94.38999938964844,4780100.0
2008-01-04,92.9000015258789,89.9800033569336,89.9800033569336,92.9000015258789,4068700.0
2008-01-07,90.70999908447266,88.4000015258789,87.33999633789062,92.31999969482422,5491400.0
2008-01-08,88.68000030517578,88.05999755859375,87.7699966430664,91.20999908447266,4933900.0
2008-01-09,88.06999969482422,87.6500015258789,83.61000061035156,88.66999816894531,8440300.0
2008-01-10,87.16999816894531,90.23999786376953,86.25,91.2300033569336,4912100.0
2008-01-11,89.58999633789062,89.26000213623047,89.0,92.63999938964844,4912200.0
2008-01-14,90.16000366210938,94.69000244140625,90.16000366210938,94.7699966430664,6023300.0
2008-01-15,93.43000030517578,92.36000061035156,90.94000244140625,94.2699966430664,6693900.0
2008-01-16,91.76000213623047,87.86000061035156,86.3499984741211,92.75,7837400.0
2008-01-17,87.94000244140625,79.08999633789062,78.37000274658203,88.2699966430664,13420700.0
2008-01-18,79.80000305175781,76.4000015258789,75.22000122070312,81.72000122070312,10869500.0
2008-01-22,71.58000183105469,83.1500015258789,71.19999694824219,84.38999938964844,13697400.0
2008-01-23,79.0999984741211,82.94000244140625,74.0,83.0,9462500.0
2008-01-24,84.26000213623047,82.58999633789062,81.0,86.94000244140625,8533900.0
2008-01-25,83.55999755859375,82.87999725341797,81.87999725341797,86.0,5422300.0
2008-01-28,81.31999969482422,85.43000030517578,81.31999969482422,85.51000213623047,3912000.0
2008-01-29,86.55999755859375,86.73999786376953,85.77999877929688,87.95999908447266,3995800.0
2008-01-30,86.52999877929688,86.47000122070312,84.26000213623047,89.5,4763500.0
2008-01-31,85.27999877929688,87.55999755859375,83.51000213623047,88.29000091552734,5929000.0
2008-02-01,87.75,88.91000366210938,87.51000213623047,90.48999786376953,5293000.0
2008-02-04,90.27999877929688,88.19999694824219,87.51000213623047,90.27999877929688,3404200.0
2008-02-05,86.6500015258789,83.4800033569336,83.41000366210938,87.5,4421200.0
2008-02-06,84.18000030517578,83.30000305175781,82.88999938964844,86.23999786376953,3893000.0
2008-02-07,81.69999694824219,81.9800033569336,80.1500015258789,82.81999969482422,6815100.0
2008-02-08,81.69999694824219,82.45999908447266,81.0,83.02999877929688,3966800.0
2008-02-11,82.5999984741211,84.33999633789062,81.80000305175781,84.69000244140625,3616800.0
2008-02-12,85.0999984741211,86.4800033569336,85.08000183105469,87.47000122070312,5747800.0
2008-02-13,86.69999694824219,85.54000091552734,83.94000244140625,87.30999755859375,8321400.0
2008-02-14,86.63999938964844,86.33999633789062,85.26000213623047,87.79000091552734,5324100.0
2008-02-15,86.01000213623047,85.0,83.73999786376953,86.5,5518000.0
2008-02-19,85.9000015258789,83.48999786376953,82.36000061035156,86.33999633789062,6154400.0
2008-02-20,82.93000030517578,85.77999877929688,82.22000122070312,86.08000183105469,5096800.0
2008-02-21,86.4800033569336,85.87999725341797,85.5,87.58000183105469,4860600.0
2008-02-22,86.05999755859375,87.16999816894531,85.37999725341797,87.25,4071300.0
2008-02-25,87.38999938964844,88.98999786376953,87.08000183105469,89.5999984741211,5452400.0
2008-02-26,88.5999984741211,87.45999908447266,86.8499984741211,89.22000122070312,4682400.0
2008-02-27,86.69999694824219,86.23999786376953,85.70999908447266,87.76000213623047,4746800.0
2008-02-28,85.79000091552734,86.97000122070312,85.08000183105469,87.52999877929688,4087000.0
2008-02-29,86.8499984741211,85.20999908447266,84.8499984741211,87.23999786376953,5207800.0
2008-03-03,85.0,87.56999969482422,85.0,87.9000015258789,4355200.0
2008-03-04,86.93000030517578,86.69000244140625,85.0,87.94000244140625,5229300.0
2008-03-05,86.98999786376953,89.27999877929688,86.44000244140625,89.47000122070312,4912300.0
2008-03-06,89.0199966430664,87.8499984741211,87.55000305175781,89.75,4970400.0
2008-03-07,86.8499984741211,83.22000122070312,82.80999755859375,86.98999786376953,8069700.0
2008-03-10,83.45999908447266,81.25,80.66000366210938,83.73999786376953,7046600.0
2008-03-11,83.25,85.7300033569336,82.55000305175781,85.7300033569336,5293600.0
2008-03-12,86.08999633789062,83.9800033569336,83.73999786376953,86.45999908447266,4649700.0
2008-03-13,82.2699966430664,84.2300033569336,81.62999725341797,84.9800033569336,6238900.0
2008-03-14,85.01000213623047,82.87999725341797,81.11000061035156,85.23999786376953,6036200.0
2008-03-17,80.12999725341797,81.02999877929688,78.55000305175781,83.08999633789062,5077100.0
2008-03-18,83.83000183105469,83.43000030517578,80.5199966430664,83.9000015258789,6680500.0
2008-03-19,82.5999984741211,79.48999786376953,79.37000274658203,84.19999694824219,5346100.0
2008-03-20,79.01000213623047,79.2300033569336,76.55000305175781,79.94000244140625,7815200.0
2008-03-24,80.0,81.44999694824219,79.44999694824219,82.0999984741211,4030900.0
2008-03-25,82.5999984741211,82.23999786376953,80.9000015258789,83.37000274658203,4496100.0
2008-03-26,81.9800033569336,80.81999969482422,80.5,82.38999938964844,4602100.0
2008-03-27,79.98999786376953,79.1500015258789,76.58999633789062,81.26000213623047,4697000.0
2008-03-28,79.69999694824219,79.94000244140625,79.05000305175781,81.43000030517578,3068000.0
2008-03-31,80.0199966430664,80.44000244140625,79.75,81.30000305175781,3556800.0
2008-04-01,81.58999633789062,81.04000091552734,79.30000305175781,82.9800033569336,5651000.0
2008-04-02,81.18000030517578,79.81999969482422,79.30999755859375,82.08000183105469,5938500.0
2008-04-03,79.5,83.0,79.44000244140625,83.43000030517578,5679900.0
