Date,biibopen,biibclose,biiblow,biibhigh,biibvolume
2008-01-02,56.90999984741211,55.869998931884766,55.04999923706055,57.11000061035156,3427400
2008-01-03,56.0099983215332,56.29999923706055,55.400001525878906,56.54999923706055,2718100
2008-01-04,56.25,55.220001220703125,55.0099983215332,56.41999816894531,2877000
2008-01-07,56.5099983215332,59.220001220703125,55.790000915527344,59.52000045776367,5843000
2008-01-08,57.97999954223633,55.970001220703125,55.95000076293945,58.290000915527344,4465800
2008-01-09,56.119998931884766,58.400001525878906,56.099998474121094,59.16999816894531,4894800
2008-01-10,58.290000915527344,59.18000030517578,58.290000915527344,61.97999954223633,5041300
2008-01-11,59.33000183105469,59.02000045776367,58.220001220703125,59.970001220703125,2588800
2008-01-14,59.959999084472656,59.97999954223633,58.77000045776367,61.43000030517578,6044800
2008-01-15,59.11000061035156,59.310001373291016,59.060001373291016,60.470001220703125,3675600
2008-01-16,60.0,59.9900016784668,59.77000045776367,61.290000915527344,3681000
2008-01-17,61.119998931884766,61.04999923706055,60.59000015258789,62.68000030517578,4641700
2008-01-18,59.83000183105469,59.90999984741211,58.66999816894531,61.029998779296875,6622000
2008-01-22,56.91999816894531,56.709999084472656,56.650001525878906,59.16999816894531,5014700
2008-01-23,55.5099983215332,59.22999954223633,54.900001525878906,59.439998626708984,4849000
2008-01-24,59.220001220703125,58.130001068115234,57.040000915527344,59.290000915527344,3086700
2008-01-25,59.099998474121094,58.91999816894531,58.150001525878906,59.119998931884766,5387700
2008-01-28,59.0,58.130001068115234,57.470001220703125,59.349998474121094,2726900
2008-01-29,58.400001525878906,61.04999923706055,58.16999816894531,61.20000076293945,3234000
2008-01-30,61.040000915527344,60.0,59.900001525878906,61.47999954223633,2251300
2008-01-31,59.95000076293945,60.95000076293945,59.099998474121094,61.2400016784668,2412000
2008-02-01,61.130001068115234,61.7599983215332,60.400001525878906,62.849998474121094,2271700
2008-02-04,62.060001373291016,63.290000915527344,61.61000061035156,63.689998626708984,2469900
2008-02-05,61.689998626708984,60.52000045776367,60.2599983215332,62.38999938964844,3005900
2008-02-06,62.40999984741211,60.52000045776367,60.52000045776367,63.40999984741211,4836800
2008-02-07,60.06999969482422,61.58000183105469,59.529998779296875,62.88999938964844,3536400
2008-02-08,61.439998626708984,61.5,60.459999084472656,62.0099983215332,2525800
2008-02-11,61.290000915527344,60.939998626708984,60.79999923706055,62.0,3163000
2008-02-12,61.40999984741211,60.560001373291016,59.970001220703125,61.5,2304800
2008-02-13,61.189998626708984,63.2400016784668,60.59000015258789,63.2599983215332,3588800
2008-02-14,63.470001220703125,62.869998931884766,62.29999923706055,64.48999786376953,3887600
2008-02-15,62.470001220703125,62.20000076293945,61.0,62.61000061035156,2965200
2008-02-19,62.97999954223633,60.66999816894531,60.56999969482422,63.599998474121094,3681800
2008-02-20,60.4900016784668,61.2400016784668,59.66999816894531,61.52000045776367,2345800
2008-02-21,61.189998626708984,60.209999084472656,59.29999923706055,61.189998626708984,2892400
2008-02-22,60.04999923706055,60.34000015258789,59.310001373291016,61.09000015258789,2527700
2008-02-25,60.29999923706055,61.29999923706055,60.15999984741211,61.599998474121094,1990100
2008-02-26,60.65999984741211,61.529998779296875,60.65999984741211,62.38999938964844,1977600
2008-02-27,61.220001220703125,60.130001068115234,57.95000076293945,62.2599983215332,6284200
2008-02-28,60.0099983215332,60.58000183105469,59.689998626708984,61.20000076293945,1822800
2008-02-29,59.86000061035156,58.36000061035156,58.09000015258789,59.90999984741211,3135700
2008-03-03,58.02000045776367,58.84000015258789,57.900001525878906,58.970001220703125,3337800
2008-03-04,58.84000015258789,59.13999938964844,57.15999984741211,59.40999984741211,4004900
