Date,cvxopen,cvxclose,cvxlow,cvxhigh,cvxvolume
2008-01-02,93.95999908447266,93.45999908447266,92.70999908447266,94.69000244140625,9058000.0
2008-01-03,93.80000305175781,94.61000061035156,93.45999908447266,94.83999633789062,10479200.0
2008-01-04,93.87999725341797,93.3499984741211,93.19999694824219,95.20999908447266,13103800.0
2008-01-07,93.73999786376953,92.12999725341797,91.1500015258789,93.73999786376953,12892200.0
2008-01-08,92.41000366210938,90.94999694824219,90.58000183105469,93.37999725341797,10987700.0
2008-01-09,90.87999725341797,92.56999969482422,90.55000305175781,92.75,12448200.0
2008-01-10,91.5999984741211,91.9000015258789,90.13999938964844,92.0999984741211,13786500.0
2008-01-11,91.5999984741211,90.66999816894531,90.2300033569336,92.56999969482422,10575000.0
2008-01-14,91.22000122070312,90.91000366210938,90.41000366210938,91.8499984741211,9968600.0
2008-01-15,89.95999908447266,88.2699966430664,88.1500015258789,90.05000305175781,13693400.0
2008-01-16,87.69000244140625,86.25,85.20999908447266,88.37999725341797,15709400.0
2008-01-17,86.5,82.75,82.0999984741211,87.16999816894531,18910400.0
2008-01-18,82.75,83.45999908447266,80.87999725341797,84.9800033569336,18869200.0
2008-01-22,78.2300033569336,81.25,76.83999633789062,82.37000274658203,20897900.0
2008-01-23,78.76000213623047,81.44999694824219,76.4000015258789,81.4800033569336,20405300.0
2008-01-24,81.8499984741211,83.66999816894531,81.13999938964844,83.69000244140625,13949600.0
2008-01-25,84.68000030517578,81.81999969482422,81.44000244140625,85.0,14050100.0
2008-01-28,81.12999725341797,82.86000061035156,80.2300033569336,83.26000213623047,9749400.0
2008-01-29,83.20999908447266,82.5999984741211,81.9000015258789,83.72000122070312,9187700.0
2008-01-30,82.11000061035156,83.2300033569336,81.93000030517578,85.2300033569336,9415400.0
2008-01-31,82.0999984741211,83.25,81.23999786376953,84.5,12634300.0
2008-02-01,84.70999908447266,82.48999786376953,81.52999877929688,84.93000030517578,16063300.0
2008-02-04,82.51000213623047,82.0199966430664,81.01000213623047,82.9800033569336,10299100.0
2008-02-05,80.7300033569336,79.73999786376953,79.61000061035156,80.98999786376953,15682500.0
2008-02-06,80.12999725341797,77.51000213623047,77.23999786376953,80.55000305175781,15108200.0
2008-02-07,77.11000061035156,78.73999786376953,76.51000213623047,79.23999786376953,12570900.0
2008-02-08,79.29000091552734,79.26000213623047,78.38999938964844,79.4800033569336,8281700.0
2008-02-11,80.22000122070312,80.43000030517578,78.51000213623047,80.47000122070312,17626800.0
2008-02-12,80.83999633789062,81.12000274658203,80.41000366210938,82.33000183105469,12330400.0
2008-02-13,80.91999816894531,82.12000274658203,80.29000091552734,82.29000091552734,12149400.0
2008-02-14,82.9800033569336,82.83999633789062,82.5999984741211,83.58000183105469,11190400.0
2008-02-15,82.5199966430664,83.5999984741211,81.69999694824219,83.69000244140625,26988700.0
2008-02-19,84.38999938964844,84.83000183105469,84.25,85.48999786376953,12002500.0
2008-02-20,83.98999786376953,86.33999633789062,83.69999694824219,86.86000061035156,13217100.0
2008-02-21,85.56999969482422,84.77999877929688,84.33000183105469,86.51000213623047,12189400.0
2008-02-22,85.2699966430664,85.41999816894531,83.69000244140625,85.73999786376953,12154700.0
2008-02-25,85.54000091552734,87.18000030517578,85.30999755859375,87.58999633789062,11813500.0
2008-02-26,86.75,88.12000274658203,86.29000091552734,88.4000015258789,12672600.0
2008-02-27,87.43000030517578,88.22000122070312,87.43000030517578,88.94000244140625,9731900.0
2008-02-28,88.22000122070312,89.0199966430664,87.7699966430664,89.29000091552734,8990300.0
2008-02-29,88.47000122070312,86.66000366210938,85.9800033569336,88.5999984741211,12983700.0
2008-03-03,86.37999725341797,87.19999694824219,85.83999633789062,87.91999816894531,9859700.0
2008-03-04,86.66000366210938,86.7300033569336,85.05999755859375,87.69999694824219,13698300.0
2008-03-05,87.02999877929688,88.79000091552734,86.66999816894531,88.86000061035156,16220500.0
2008-03-06,88.52999877929688,87.80000305175781,87.18000030517578,89.0,14296500.0
2008-03-07,87.2300033569336,85.26000213623047,84.6500015258789,87.48999786376953,15910600.0
2008-03-10,85.55000305175781,84.7300033569336,84.3499984741211,85.97000122070312,11854100.0
2008-03-11,85.70999908447266,88.16000366210938,85.69999694824219,88.33000183105469,13477100.0
2008-03-12,87.5,86.7300033569336,86.55999755859375,88.58000183105469,10956900.0
2008-03-13,86.0,87.04000091552734,85.41000366210938,87.61000061035156,10964800.0
2008-03-14,87.51000213623047,85.33999633789062,84.08999633789062,87.63999938964844,15842000.0
2008-03-17,83.47000122070312,84.19000244140625,82.44000244140625,84.98999786376953,15926800.0
2008-03-18,85.11000061035156,86.12000274658203,84.52999877929688,86.12000274658203,13429600.0
2008-03-19,86.13999938964844,81.88999938964844,81.80000305175781,86.83999633789062,14797100.0
2008-03-20,81.27999877929688,83.20999908447266,80.87000274658203,84.06999969482422,18373200.0
2008-03-24,83.37999725341797,84.01000213623047,82.91999816894531,84.79000091552734,9971900.0
2008-03-25,84.2699966430664,84.54000091552734,83.70999908447266,84.83999633789062,12123000.0
2008-03-26,84.62000274658203,84.95999908447266,84.4800033569336,85.69000244140625,11674800.0
2008-03-27,85.31999969482422,84.4000015258789,84.2699966430664,86.94999694824219,9148200.0
2008-03-28,84.88999938964844,84.5,83.91999816894531,85.58000183105469,7522200.0
2008-03-31,84.94999694824219,85.36000061035156,84.31999969482422,85.93000030517578,10192000.0
2008-04-01,85.08000183105469,86.73999786376953,84.56999969482422,86.88999938964844,11069000.0
