Date,cokeopen,cokeclose,cokelow,cokehigh,cokevolume
2008-01-02,58.54999923706055,58.7599983215332,58.209999084472656,59.900001525878906,12700.0
2008-01-03,59.90999984741211,57.2400016784668,57.119998931884766,59.90999984741211,20100.0
2008-01-04,57.939998626708984,55.79999923706055,55.79999923706055,58.79999923706055,17000.0
2008-01-07,56.18000030517578,55.09000015258789,55.09000015258789,57.0,22800.0
2008-01-08,55.5,54.90999984741211,54.90999984741211,57.529998779296875,16100.0
2008-01-09,54.81999969482422,57.22999954223633,54.81999969482422,57.22999954223633,15100.0
2008-01-10,56.459999084472656,59.4900016784668,56.459999084472656,59.4900016784668,16900.0
2008-01-11,59.0,56.650001525878906,56.06999969482422,59.9900016784668,11500.0
2008-01-14,57.0,55.59000015258789,55.0,57.0,17600.0
2008-01-15,54.95000076293945,55.5,54.95000076293945,56.34000015258789,10300.0
2008-01-16,55.459999084472656,55.720001220703125,55.0099983215332,56.939998626708984,18500.0
2008-01-17,56.689998626708984,55.029998779296875,55.029998779296875,57.310001373291016,13300.0
2008-01-18,55.0,56.2400016784668,55.0,56.4900016784668,23500.0
2008-01-22,55.0,57.81999969482422,55.0,58.630001068115234,22500.0
2008-01-23,57.5,60.91999816894531,55.18000030517578,61.0,22000.0
2008-01-24,60.900001525878906,60.83000183105469,58.400001525878906,62.0,24400.0
2008-01-25,61.72999954223633,60.0099983215332,59.959999084472656,61.790000915527344,20500.0
2008-01-28,60.0,61.72999954223633,59.0099983215332,61.72999954223633,14100.0
2008-01-29,62.0,61.79999923706055,60.27000045776367,62.0,17500.0
2008-01-30,61.47999954223633,60.08000183105469,60.0,61.86000061035156,13600.0
2008-01-31,60.0,60.060001373291016,60.0,61.400001525878906,19300.0
2008-02-01,60.4900016784668,61.0,60.0,61.970001220703125,14800.0
2008-02-04,60.95000076293945,61.70000076293945,60.560001373291016,61.90999984741211,9600.0
2008-02-05,60.58000183105469,60.599998474121094,59.369998931884766,61.95000076293945,22200.0
2008-02-06,60.970001220703125,60.18000030517578,59.040000915527344,60.9900016784668,9000.0
2008-02-07,59.7400016784668,59.34000015258789,58.81999969482422,60.4900016784668,8900.0
2008-02-08,60.45000076293945,59.20000076293945,57.029998779296875,60.45000076293945,15300.0
2008-02-11,58.720001220703125,58.79999923706055,57.5099983215332,59.5099983215332,9800.0
2008-02-12,59.2400016784668,58.880001068115234,58.68000030517578,59.90999984741211,24700.0
2008-02-13,59.70000076293945,61.310001373291016,59.560001373291016,61.310001373291016,12400.0
2008-02-14,61.40999984741211,59.150001525878906,58.689998626708984,61.40999984741211,11100.0
2008-02-15,58.83000183105469,57.869998931884766,57.47999954223633,59.54999923706055,15200.0
2008-02-19,59.0,57.720001220703125,57.720001220703125,59.88999938964844,14500.0
2008-02-20,57.400001525878906,58.599998474121094,57.0,58.599998474121094,6600.0
2008-02-21,59.0,56.88999938964844,56.88999938964844,59.0,18000.0
2008-02-22,57.380001068115234,56.22999954223633,55.16999816894531,57.380001068115234,23600.0
2008-02-25,55.709999084472656,58.11000061035156,55.25,58.11000061035156,11000.0
2008-02-26,57.95000076293945,58.08000183105469,57.790000915527344,59.959999084472656,24100.0
2008-02-27,57.18000030517578,56.5,56.22999954223633,58.0,12500.0
2008-02-28,55.880001068115234,55.529998779296875,55.5,57.79999923706055,24200.0
2008-02-29,55.5,54.689998626708984,54.380001068115234,56.68000030517578,25600.0
2008-03-03,54.84000015258789,59.58000183105469,54.779998779296875,59.599998474121094,78700.0
2008-03-04,59.06999969482422,60.11000061035156,58.540000915527344,60.81999969482422,162800.0
2008-03-05,60.279998779296875,59.2400016784668,58.7400016784668,60.279998779296875,23000.0
2008-03-06,59.029998779296875,57.0,57.0,59.029998779296875,24300.0
2008-03-07,56.52000045776367,57.060001373291016,56.279998779296875,58.470001220703125,14600.0
2008-03-10,57.380001068115234,56.47999954223633,55.650001525878906,58.45000076293945,19800.0
2008-03-11,58.150001525878906,58.939998626708984,57.150001525878906,58.97999954223633,21700.0
2008-03-12,59.02000045776367,59.54999923706055,57.75,60.81999969482422,24100.0
2008-03-13,59.849998474121094,58.22999954223633,58.060001373291016,59.849998474121094,14000.0
2008-03-14,58.099998474121094,56.68000030517578,56.20000076293945,59.02000045776367,14600.0
2008-03-17,56.20000076293945,58.400001525878906,56.20000076293945,58.88999938964844,13800.0
2008-03-18,57.689998626708984,60.0,57.470001220703125,60.0,26400.0
2008-03-19,59.52000045776367,57.93000030517578,57.93000030517578,60.0,18800.0
2008-03-20,59.220001220703125,62.0,57.75,62.0,102200.0
2008-03-24,61.63999938964844,61.59000015258789,60.47999954223633,62.20000076293945,32000.0
2008-03-25,61.349998474121094,62.0,60.36000061035156,62.0,17000.0
2008-03-26,60.77000045776367,60.86000061035156,60.38999938964844,61.36000061035156,18100.0
2008-03-27,61.4900016784668,60.529998779296875,60.52000045776367,61.560001373291016,9300.0
2008-03-28,60.0,60.459999084472656,59.720001220703125,61.400001525878906,10300.0
2008-03-31,60.68000030517578,61.619998931884766,59.75,62.130001068115234,25300.0
2008-04-01,60.720001220703125,61.0,60.4900016784668,61.4900016784668,41800.0
2008-04-02,60.5,60.47999954223633,60.04999923706055,61.0,9800.0
2008-04-03,60.04999923706055,59.31999969482422,58.06999969482422,60.9900016784668,25200.0
2008-04-04,59.61000061035156,58.77000045776367,58.5099983215332,60.04999923706055,13800.0
2008-04-07,58.95000076293945,58.47999954223633,57.529998779296875,59.5,16000.0
2008-04-08,57.70000076293945,58.38999938964844,57.70000076293945,58.5,11000.0
