Date,nephopen,nephclose,nephlow,nephhigh,nephvolume
2008-01-02,10.0,9.600000381469727,9.0,10.0,3700
2008-01-03,9.199999809265137,8.0,8.0,9.600000381469727,3200
2008-01-04,8.800000190734863,8.0,6.599999904632568,8.800000190734863,4500
2008-01-07,8.0,6.800000190734863,6.800000190734863,8.399999618530273,2000
2008-01-08,7.400000095367432,6.800000190734863,6.599999904632568,7.599999904632568,800
2008-01-09,8.0,7.199999809265137,6.599999904632568,8.0,900
2008-01-10,7.400000095367432,7.400000095367432,7.400000095367432,8.0,600
2008-01-11,7.400000095367432,9.800000190734863,7.400000095367432,9.800000190734863,800
2008-01-14,11.399999618530273,11.600000381469727,11.399999618530273,15.199999809265137,2300
2008-01-15,11.600000381469727,14.0,11.600000381469727,14.0,900
2008-01-16,14.800000190734863,17.0,14.199999809265137,17.0,800
2008-01-17,17.0,16.399999618530273,16.0,17.200000762939453,400
2008-01-18,17.0,17.399999618530273,17.0,17.399999618530273,300
2008-01-22,17.200000762939453,16.399999618530273,16.399999618530273,17.200000762939453,200
2008-01-23,14.800000190734863,14.0,13.0,14.800000190734863,800
2008-01-24,14.0,14.399999618530273,14.0,14.399999618530273,122500
2008-01-25,14.0,14.0,14.0,14.800000190734863,100
2008-01-28,13.800000190734863,15.0,13.0,15.0,100
2008-01-29,15.0,15.0,15.0,15.0,0
2008-01-30,15.0,15.199999809265137,15.0,15.199999809265137,0
2008-01-31,15.600000381469727,28.0,15.0,32.0,300
2008-02-01,25.200000762939453,21.799999237060547,19.799999237060547,28.0,1700
2008-02-04,22.0,17.600000381469727,17.600000381469727,22.0,62700
2008-02-05,18.0,17.399999618530273,17.399999618530273,18.0,200
2008-02-06,17.0,18.399999618530273,17.0,18.399999618530273,600
2008-02-07,18.0,17.799999237060547,17.799999237060547,18.0,0
2008-02-08,17.799999237060547,17.799999237060547,17.799999237060547,17.799999237060547,0
2008-02-11,17.799999237060547,17.799999237060547,16.0,17.799999237060547,200
2008-02-12,18.399999618530273,18.799999237060547,18.399999618530273,18.799999237060547,100
2008-02-13,18.0,19.0,17.799999237060547,19.0,200
2008-02-14,18.600000381469727,18.600000381469727,18.600000381469727,18.600000381469727,0
2008-02-15,17.799999237060547,18.799999237060547,17.799999237060547,18.799999237060547,0
2008-02-19,18.399999618530273,18.799999237060547,18.399999618530273,19.0,300
2008-02-20,18.799999237060547,18.799999237060547,18.799999237060547,18.799999237060547,0
2008-02-21,18.0,18.0,18.0,18.0,0
2008-02-22,18.600000381469727,18.600000381469727,18.600000381469727,18.600000381469727,0
2008-02-25,18.600000381469727,18.600000381469727,17.600000381469727,18.600000381469727,200
2008-02-26,18.600000381469727,18.600000381469727,18.600000381469727,18.600000381469727,0
2008-02-27,17.200000762939453,19.0,16.600000381469727,22.0,700
2008-02-28,21.0,18.0,18.0,21.600000381469727,500
2008-02-29,19.0,20.0,18.600000381469727,20.0,400
2008-03-03,19.0,17.200000762939453,16.799999237060547,21.600000381469727,1400
2008-03-04,19.799999237060547,18.399999618530273,18.399999618530273,20.200000762939453,600
2008-03-05,18.799999237060547,17.600000381469727,17.600000381469727,19.0,500
2008-03-06,17.600000381469727,18.0,17.600000381469727,18.399999618530273,300
2008-03-07,17.799999237060547,18.0,17.200000762939453,18.0,0
2008-03-10,18.200000762939453,17.200000762939453,17.200000762939453,18.200000762939453,100
2008-03-11,18.0,17.799999237060547,17.799999237060547,18.0,0
2008-03-12,18.0,17.799999237060547,17.799999237060547,19.200000762939453,100
2008-03-13,17.600000381469727,17.200000762939453,16.399999618530273,17.600000381469727,800
2008-03-14,17.0,16.200000762939453,16.200000762939453,17.0,0
2008-03-17,17.200000762939453,16.200000762939453,16.0,17.200000762939453,200
2008-03-18,14.399999618530273,15.800000190734863,14.399999618530273,16.0,300
2008-03-19,14.199999809265137,17.600000381469727,13.600000381469727,17.799999237060547,200
2008-03-20,15.600000381469727,17.200000762939453,14.600000381469727,17.200000762939453,0
2008-03-24,16.0,17.600000381469727,16.0,19.0,500
2008-03-25,17.200000762939453,14.800000190734863,14.800000190734863,18.0,1100
2008-03-26,16.799999237060547,16.799999237060547,16.200000762939453,17.0,400
2008-03-27,15.800000190734863,14.800000190734863,14.800000190734863,16.0,500
2008-03-28,15.199999809265137,14.600000381469727,12.600000381469727,15.199999809265137,700
2008-03-31,14.0,17.0,12.199999809265137,17.0,1700
2008-04-01,16.0,15.0,13.0,16.799999237060547,800
2008-04-02,14.199999809265137,14.0,13.199999809265137,14.800000190734863,1000
2008-04-03,14.0,14.600000381469727,14.0,14.600000381469727,500
2008-04-04,15.0,15.0,14.199999809265137,15.0,600
2008-04-07,14.600000381469727,13.0,12.0,14.600000381469727,1600
2008-04-08,13.0,13.0,13.0,13.0,100
2008-04-09,12.600000381469727,13.399999618530273,12.600000381469727,13.399999618530273,300
2008-04-10,13.199999809265137,13.0,12.600000381469727,13.199999809265137,600
2008-04-11,12.0,12.0,10.800000190734863,12.0,1800
2008-04-14,11.800000190734863,10.600000381469727,10.600000381469727,11.800000190734863,1200
2008-04-15,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0
2008-04-16,11.800000190734863,11.199999809265137,10.800000190734863,11.800000190734863,1000
2008-04-17,11.600000381469727,11.800000190734863,11.600000381469727,12.0,700
2008-04-18,12.199999809265137,11.0,11.0,12.199999809265137,300
2008-04-21,12.0,12.199999809265137,11.399999618530273,13.0,1000
2008-04-22,12.0,11.800000190734863,11.600000381469727,12.0,200
