Date,fdxopen,fdxclose,fdxlow,fdxhigh,fdxvolume
2008-01-02,88.56999969482422,86.16000366210938,85.05999755859375,88.56999969482422,6514400.0
2008-01-03,86.62000274658203,87.30999755859375,86.31999969482422,87.69000244140625,2623000.0
2008-01-04,86.75,84.0999984741211,83.18000030517578,86.76000213623047,4317400.0
2008-01-07,84.79000091552734,83.48999786376953,82.6500015258789,85.33000183105469,3991900.0
2008-01-08,84.06999969482422,82.77999877929688,82.66000366210938,84.69999694824219,4566100.0
2008-01-09,82.58999633789062,82.77999877929688,81.16999816894531,82.91000366210938,3818100.0
2008-01-10,82.01000213623047,85.0199966430664,82.01000213623047,85.86000061035156,4717200.0
2008-01-11,84.41999816894531,84.04000091552734,83.44000244140625,84.76000213623047,3546800.0
2008-01-14,84.88999938964844,84.63999938964844,83.91999816894531,85.38999938964844,1889700.0
2008-01-15,83.76000213623047,83.2699966430664,83.22000122070312,84.4000015258789,3182500.0
2008-01-16,82.7300033569336,84.41000366210938,82.31999969482422,85.12000274658203,4747700.0
2008-01-17,84.4800033569336,82.77999877929688,82.54000091552734,85.33999633789062,3386400.0
2008-01-18,83.19000244140625,84.01000213623047,82.31999969482422,84.44999694824219,3553900.0
2008-01-22,80.94999694824219,84.16999816894531,80.0,84.7300033569336,4534700.0
2008-01-23,81.55999755859375,88.98999786376953,81.04000091552734,89.51000213623047,7978800.0
2008-01-24,89.61000061035156,88.51000213623047,86.9000015258789,89.88999938964844,4091800.0
2008-01-25,89.18000030517578,89.95999908447266,88.93000030517578,91.44999694824219,5212300.0
2008-01-28,90.01000213623047,91.94999694824219,89.01000213623047,92.0199966430664,3518200.0
2008-01-29,92.33999633789062,92.83000183105469,92.08000183105469,93.83999633789062,3317900.0
2008-01-30,91.69999694824219,92.04000091552734,91.58999633789062,93.48999786376953,4069700.0
2008-01-31,90.75,93.31999969482422,90.16000366210938,94.30000305175781,2965000.0
2008-02-01,93.69000244140625,93.41999816894531,91.9000015258789,93.9000015258789,2749200.0
2008-02-04,93.44999694824219,91.75,91.5,94.12999725341797,1932500.0
2008-02-05,91.1500015258789,89.0,88.8499984741211,91.1500015258789,3149000.0
2008-02-06,89.62000274658203,89.56999969482422,88.66000366210938,91.58000183105469,1952600.0
2008-02-07,89.48999786376953,90.16000366210938,89.16999816894531,90.87999725341797,2505200.0
2008-02-08,89.51000213623047,88.0,87.62999725341797,90.22000122070312,2450900.0
2008-02-11,87.80000305175781,88.44999694824219,86.44000244140625,89.0,1762700.0
2008-02-12,88.81999969482422,88.0999984741211,87.55999755859375,89.63999938964844,1971000.0
2008-02-13,90.5,89.18000030517578,87.6500015258789,90.5,1880700.0
2008-02-14,89.02999877929688,88.01000213623047,87.97000122070312,89.98999786376953,1928300.0
2008-02-15,87.51000213623047,87.91999816894531,86.94999694824219,88.44999694824219,2091500.0
2008-02-19,88.75,89.25,88.05999755859375,89.93000030517578,3426800.0
2008-02-20,88.6500015258789,89.94000244140625,88.29000091552734,90.45999908447266,2354200.0
2008-02-21,89.98999786376953,89.31999969482422,88.95999908447266,90.68000030517578,2227900.0
2008-02-22,89.83999633789062,89.08999633789062,87.13999938964844,89.83999633789062,2204500.0
2008-02-25,89.06999969482422,89.72000122070312,87.88999938964844,89.94999694824219,2074200.0
2008-02-26,89.45999908447266,90.97000122070312,89.33000183105469,91.69000244140625,1989300.0
2008-02-27,90.25,90.83000183105469,89.91000366210938,91.30000305175781,1666800.0
2008-02-28,90.18000030517578,89.19000244140625,89.05999755859375,90.4800033569336,2049000.0
2008-02-29,88.5999984741211,88.12999725341797,88.0199966430664,89.79000091552734,2791100.0
2008-03-03,88.0,89.22000122070312,87.61000061035156,89.37999725341797,2314000.0
2008-03-04,88.22000122070312,90.30999755859375,87.61000061035156,90.55000305175781,3327600.0
2008-03-05,90.4000015258789,90.3499984741211,89.4000015258789,92.0999984741211,3255600.0
2008-03-06,90.08000183105469,88.8499984741211,88.4800033569336,90.1500015258789,2350200.0
2008-03-07,88.31999969482422,86.69999694824219,86.26000213623047,88.55000305175781,2982300.0
2008-03-10,86.94999694824219,84.97000122070312,84.9000015258789,87.79000091552734,2773100.0
2008-03-11,86.70999908447266,88.16000366210938,85.41000366210938,88.16000366210938,2592800.0
2008-03-12,87.41000366210938,87.05999755859375,85.8499984741211,88.91000366210938,2693600.0
2008-03-13,85.83000183105469,87.06999969482422,85.69999694824219,87.72000122070312,4627400.0
2008-03-14,87.54000091552734,84.80000305175781,83.58999633789062,87.81999969482422,4271100.0
2008-03-17,82.94999694824219,82.55000305175781,82.5,84.4000015258789,4669800.0
2008-03-18,83.94999694824219,86.91999816894531,83.44999694824219,86.91999816894531,3438200.0
2008-03-19,87.77999877929688,86.2300033569336,86.2300033569336,88.98999786376953,2967500.0
2008-03-20,84.0199966430664,87.0199966430664,83.80000305175781,87.02999877929688,4250100.0
2008-03-24,87.19999694824219,90.7699966430664,87.05000305175781,91.98999786376953,3333700.0
2008-03-25,91.0,91.44999694824219,89.5,91.93000030517578,2526200.0
2008-03-26,91.0,91.25,90.25,91.66999816894531,1969100.0
2008-03-27,91.27999877929688,91.72000122070312,90.54000091552734,92.41999816894531,3101100.0
2008-03-28,91.55000305175781,91.2699966430664,90.8499984741211,92.55999755859375,1971000.0
2008-03-31,91.05999755859375,92.66999816894531,90.56999969482422,93.13999938964844,2480900.0
2008-04-01,93.9000015258789,97.70999908447266,93.88999938964844,97.72000122070312,6178800.0
2008-04-02,97.70999908447266,97.33000183105469,96.81999969482422,99.0,2924500.0
