Date,uhsopen,uhsclose,uhslow,uhshigh,uhsvolume
2008-04-15,28.475000381469727,27.989999771118164,27.90999984741211,28.524999618530273,1310800.0
2008-04-16,28.170000076293945,28.475000381469727,27.889999389648438,28.579999923706055,966400.0
2008-04-17,28.475000381469727,28.2549991607666,27.9950008392334,28.5,638000.0
2008-04-18,28.5049991607666,28.239999771118164,28.204999923706055,30.0,664000.0
2008-04-21,28.045000076293945,28.479999542236328,28.045000076293945,28.55500030517578,1652600.0
2008-04-22,28.239999771118164,27.924999237060547,27.889999389648438,28.420000076293945,1493200.0
2008-04-23,27.979999542236328,28.540000915527344,27.80500030517578,28.770000457763672,1432400.0
2008-04-24,28.485000610351562,28.760000228881836,28.110000610351562,28.96500015258789,916800.0
2008-04-25,31.315000534057617,31.190000534057617,30.684999465942383,31.75,3913600.0
2008-04-28,31.100000381469727,31.450000762939453,30.655000686645508,31.565000534057617,1442600.0
2008-04-29,30.940000534057617,31.190000534057617,30.03499984741211,31.329999923706055,2466400.0
2008-04-30,31.19499969482422,31.31999969482422,30.94499969482422,31.4950008392334,2306200.0
2008-05-01,31.020000457763672,30.774999618530273,30.6299991607666,31.424999237060547,1505400.0
2008-05-02,30.924999237060547,30.530000686645508,30.424999237060547,31.065000534057617,1749400.0
2008-05-05,30.5,31.440000534057617,30.5,31.725000381469727,1833400.0
2008-05-06,31.270000457763672,31.049999237060547,30.875,31.739999771118164,998400.0
2008-05-07,31.125,30.905000686645508,30.850000381469727,31.44499969482422,1498000.0
2008-05-08,31.0,31.0,30.94499969482422,31.325000762939453,900000.0
2008-05-09,30.8700008392334,31.5,30.674999237060547,31.6299991607666,728400.0
2008-05-12,31.614999771118164,31.565000534057617,31.309999465942383,31.639999389648438,722000.0
2008-05-13,31.6200008392334,31.399999618530273,31.174999237060547,31.6200008392334,659200.0
2008-05-14,31.415000915527344,30.905000686645508,30.825000762939453,31.610000610351562,1544200.0
2008-05-15,31.020000457763672,31.395000457763672,30.579999923706055,31.459999084472656,861000.0
2008-05-16,31.700000762939453,31.239999771118164,31.084999084472656,31.700000762939453,426800.0
2008-05-19,31.3799991607666,31.809999465942383,31.3799991607666,32.005001068115234,938200.0
2008-05-20,31.854999542236328,31.655000686645508,31.53499984741211,32.095001220703125,757600.0
2008-05-21,31.850000381469727,31.700000762939453,31.655000686645508,32.709999084472656,1653800.0
2008-05-22,31.59000015258789,31.96500015258789,31.385000228881836,32.1349983215332,789600.0
2008-05-23,31.700000762939453,31.625,31.43000030517578,32.20000076293945,644200.0
2008-05-27,31.575000762939453,31.94499969482422,31.575000762939453,32.435001373291016,894600.0
2008-05-28,32.154998779296875,31.93000030517578,31.524999618530273,32.255001068115234,534400.0
2008-05-29,32.154998779296875,32.439998626708984,31.905000686645508,32.55500030517578,924000.0
2008-05-30,32.54999923706055,32.5,32.2400016784668,32.935001373291016,892600.0
2008-06-02,32.505001068115234,31.864999771118164,31.280000686645508,32.505001068115234,1552800.0
2008-06-03,31.735000610351562,32.125,31.665000915527344,32.150001525878906,1963600.0
2008-06-04,31.940000534057617,31.84000015258789,31.549999237060547,32.06999969482422,1129800.0
2008-06-05,32.040000915527344,32.125,31.875,32.42499923706055,1075600.0
2008-06-06,31.950000762939453,31.344999313354492,31.235000610351562,31.959999084472656,934000.0
2008-06-09,31.2450008392334,31.584999084472656,30.959999084472656,31.760000228881836,1487800.0
2008-06-10,31.44499969482422,31.485000610351562,31.09000015258789,31.75,1283800.0
2008-06-11,31.424999237060547,30.219999313354492,30.084999084472656,31.424999237060547,1554600.0
2008-06-12,30.354999542236328,30.895000457763672,30.2450008392334,31.25,1173600.0
2008-06-13,30.094999313354492,30.834999084472656,30.014999389648438,30.84000015258789,1123000.0
