Date,cohropen,cohrclose,cohrlow,cohrhigh,cohrvolume
2008-01-31,24.649999618530273,26.0,24.399999618530273,26.270000457763672,363600.0
2008-02-01,26.0,26.25,25.700000762939453,26.299999237060547,161200.0
2008-02-04,26.200000762939453,26.350000381469727,25.200000762939453,26.350000381469727,52500.0
2008-02-05,26.0,26.100000381469727,26.0,26.350000381469727,48600.0
2008-02-06,26.100000381469727,26.149999618530273,25.799999237060547,27.100000381469727,276200.0
2008-02-07,26.100000381469727,26.270000457763672,26.049999237060547,26.450000762939453,129600.0
2008-02-08,26.25,26.450000762939453,26.049999237060547,26.450000762939453,86700.0
2008-02-11,26.399999618530273,26.549999237060547,26.350000381469727,26.75,166300.0
2008-02-12,26.5,26.399999618530273,26.399999618530273,26.649999618530273,132400.0
2008-02-13,26.75,28.68000030517578,26.75,29.049999237060547,510300.0
2008-02-14,28.440000534057617,28.75,28.1299991607666,28.979999542236328,277200.0
2008-02-15,28.450000762939453,28.600000381469727,28.15999984741211,28.799999237060547,237100.0
2008-02-19,28.780000686645508,28.290000915527344,28.079999923706055,28.780000686645508,218400.0
2008-02-20,28.290000915527344,28.670000076293945,28.149999618530273,28.809999465942383,167900.0
2008-02-21,28.329999923706055,28.600000381469727,28.329999923706055,28.729999542236328,286700.0
2008-02-22,28.75,28.719999313354492,28.219999313354492,28.75,146500.0
2008-02-25,28.5,28.43000030517578,28.079999923706055,28.729999542236328,122400.0
2008-02-26,28.25,28.829999923706055,28.25,28.889999389648438,150400.0
2008-02-27,28.489999771118164,28.649999618530273,28.489999771118164,28.860000610351562,167600.0
2008-02-28,28.5,28.540000915527344,28.479999542236328,28.649999618530273,146100.0
2008-02-29,28.459999084472656,28.440000534057617,28.350000381469727,28.68000030517578,480800.0
2008-03-03,28.219999313354492,28.420000076293945,28.219999313354492,28.559999465942383,336000.0
2008-03-04,28.299999237060547,28.459999084472656,28.219999313354492,28.549999237060547,410900.0
