Date,txmdopen,txmdclose,txmdlow,txmdhigh,txmdvolume
2017-10-05,5.150000095367432,5.079999923706055,5.03000020980835,5.239999771118164,3185000
2017-10-06,5.039999961853027,5.0,4.96999979019165,5.119999885559082,2797800
2017-10-09,5.25,5.03000020980835,4.960000038146973,5.349999904632568,2291300
2017-10-10,5.070000171661377,4.880000114440918,4.71999979019165,5.099999904632568,5458600
2017-10-11,4.880000114440918,4.820000171661377,4.809999942779541,4.949999809265137,2035100
2017-10-12,4.809999942779541,4.679999828338623,4.590000152587891,4.900000095367432,3008200
2017-10-13,4.670000076293945,4.579999923706055,4.539999961853027,4.789999961853027,2067200
2017-10-16,4.659999847412109,4.849999904632568,4.650000095367432,4.869999885559082,2536500
2017-10-17,4.820000171661377,4.860000133514404,4.800000190734863,4.940000057220459,1610200
2017-10-18,4.860000133514404,4.800000190734863,4.75,4.920000076293945,1810600
2017-10-19,4.78000020980835,4.849999904632568,4.679999828338623,4.869999885559082,2015700
2017-10-20,4.869999885559082,5.099999904632568,4.829999923706055,5.239999771118164,4369500
2017-10-23,5.130000114440918,4.940000057220459,4.909999847412109,5.130000114440918,2061800
2017-10-24,4.920000076293945,5.0,4.889999866485596,5.119999885559082,2823800
2017-10-25,4.980000019073486,4.929999828338623,4.900000095367432,5.050000190734863,1669300
2017-10-26,4.909999847412109,4.570000171661377,4.5,4.929999828338623,3317300
2017-10-27,4.579999923706055,4.800000190734863,4.570000171661377,4.820000171661377,1628100
2017-10-30,4.789999961853027,4.880000114440918,4.760000228881836,4.909999847412109,1347800
2017-10-31,4.889999866485596,4.71999979019165,4.659999847412109,4.929999828338623,1689700
2017-11-01,4.739999771118164,4.619999885559082,4.480000019073486,4.78000020980835,2515800
2017-11-02,4.699999809265137,4.610000133514404,4.429999828338623,4.710000038146973,3760000
2017-11-03,4.639999866485596,4.360000133514404,4.340000152587891,4.789999961853027,4828300
2017-11-06,6.03000020980835,5.739999771118164,5.730000019073486,6.849999904632568,31629000
2017-11-07,6.0,5.570000171661377,5.300000190734863,6.090000152587891,5988600
2017-11-08,5.599999904632568,5.460000038146973,5.25,5.619999885559082,4428200
2017-11-09,5.409999847412109,5.610000133514404,5.300000190734863,5.679999828338623,2674400
2017-11-10,5.639999866485596,5.670000076293945,5.46999979019165,5.730000019073486,2029000
2017-11-13,5.670000076293945,5.900000095367432,5.619999885559082,5.940000057220459,3067300
2017-11-14,5.940000057220459,5.869999885559082,5.760000228881836,6.079999923706055,4050100
2017-11-15,5.920000076293945,5.96999979019165,5.610000133514404,5.980000019073486,2174100
2017-11-16,5.989999771118164,5.900000095367432,5.880000114440918,6.170000076293945,4514700
2017-11-17,5.920000076293945,5.849999904632568,5.75,6.010000228881836,2672900
2017-11-20,5.840000152587891,5.900000095367432,5.769999980926514,5.96999979019165,2055900
2017-11-21,5.929999828338623,5.989999771118164,5.809999942779541,6.059999942779541,4127000
2017-11-22,6.0,6.050000190734863,5.940000057220459,6.099999904632568,1945700
2017-11-24,6.079999923706055,5.989999771118164,5.920000076293945,6.079999923706055,943000
2017-11-27,6.03000020980835,5.989999771118164,5.949999809265137,6.110000133514404,2959900
2017-11-28,6.0,6.019999980926514,5.949999809265137,6.039999961853027,1577800
2017-11-29,5.980000019073486,6.070000171661377,5.96999979019165,6.090000152587891,2100300
2017-11-30,6.150000095367432,6.300000190734863,6.070000171661377,6.409999847412109,5398900
2017-12-01,6.300000190734863,6.199999809265137,5.809999942779541,6.349999904632568,3573500
2017-12-04,6.21999979019165,6.039999961853027,6.03000020980835,6.369999885559082,2217800
2017-12-05,6.010000228881836,5.880000114440918,5.840000152587891,6.150000095367432,2143800
2017-12-06,5.869999885559082,5.800000190734863,5.690000057220459,5.96999979019165,2023700
2017-12-07,5.820000171661377,6.079999923706055,5.800000190734863,6.099999904632568,2250100
2017-12-08,6.119999885559082,6.260000228881836,6.059999942779541,6.289999961853027,2152900
2017-12-11,6.329999923706055,6.420000076293945,6.300000190734863,6.449999809265137,2934800
2017-12-12,6.480000019073486,6.800000190734863,6.460000038146973,6.96999979019165,5635200
2017-12-13,6.849999904632568,6.690000057220459,6.639999866485596,6.860000133514404,2807700
2017-12-14,6.690000057220459,6.480000019073486,6.440000057220459,6.739999771118164,2823900
2017-12-15,6.53000020980835,6.619999885559082,6.389999866485596,6.670000076293945,6558700
2017-12-18,6.619999885559082,6.590000152587891,6.519999980926514,6.71999979019165,2917900
2017-12-19,6.590000152587891,6.170000076293945,6.079999923706055,6.610000133514404,3319800
2017-12-20,5.679999828338623,6.059999942779541,5.659999847412109,6.150000095367432,6272800
2017-12-21,6.019999980926514,5.960000038146973,5.940000057220459,6.099999904632568,2303600
2017-12-22,5.920000076293945,5.840000152587891,5.820000171661377,5.960000038146973,1743900
2017-12-26,5.849999904632568,5.869999885559082,5.840000152587891,6.0,1294500
2017-12-27,5.880000114440918,5.860000133514404,5.809999942779541,5.920000076293945,1204700
2017-12-28,5.880000114440918,5.929999828338623,5.849999904632568,6.019999980926514,1700300
2017-12-29,6.03000020980835,6.039999961853027,5.929999828338623,6.170000076293945,3727800
2018-01-02,6.070000171661377,6.269999980926514,6.070000171661377,6.28000020980835,2048200
2018-01-03,6.28000020980835,6.329999923706055,6.230000019073486,6.400000095367432,1914100
2018-01-04,6.369999885559082,6.429999828338623,6.309999942779541,6.550000190734863,1637100
2018-01-05,6.46999979019165,6.420000076293945,6.340000152587891,6.480000019073486,1635300
2018-01-08,6.440000057220459,6.400000095367432,6.369999885559082,6.539999961853027,1668900
