Date,nwyopen,nwyclose,nwylow,nwyhigh,nwyvolume
2008-01-02,6.389999866485596,6.019999980926514,6.0,6.420000076293945,512000
2008-01-03,6.019999980926514,6.039999961853027,5.949999809265137,6.110000133514404,380600
2008-01-04,5.96999979019165,5.590000152587891,5.510000228881836,5.96999979019165,704600
2008-01-07,5.699999809265137,5.579999923706055,5.5,5.699999809265137,604300
2008-01-08,5.570000171661377,5.380000114440918,5.309999942779541,5.650000095367432,515600
2008-01-09,5.369999885559082,5.28000020980835,5.119999885559082,5.400000095367432,480400
2008-01-10,5.210000038146973,5.28000020980835,5.159999847412109,5.349999904632568,645700
2008-01-11,5.28000020980835,5.179999828338623,5.130000114440918,5.409999847412109,613900
2008-01-14,5.239999771118164,5.019999980926514,5.019999980926514,5.25,269600
2008-01-15,4.550000190734863,3.869999885559082,3.6500000953674316,4.610000133514404,2934600
2008-01-16,3.880000114440918,4.059999942779541,3.8299999237060547,4.110000133514404,1328900
2008-01-17,4.070000171661377,4.0,3.9200000762939453,4.239999771118164,518200
2008-01-18,4.0,3.950000047683716,3.9200000762939453,4.110000133514404,445400
2008-01-22,3.8499999046325684,4.239999771118164,3.7200000286102295,4.260000228881836,993700
2008-01-23,4.03000020980835,4.440000057220459,3.990000009536743,4.510000228881836,1936900
2008-01-24,4.46999979019165,4.630000114440918,4.409999847412109,4.690000057220459,791500
2008-01-25,4.739999771118164,4.480000019073486,4.360000133514404,4.78000020980835,850400
2008-01-28,4.590000152587891,4.949999809265137,4.480000019073486,5.019999980926514,1103900
2008-01-29,5.010000228881836,5.150000095367432,4.880000114440918,5.239999771118164,808900
2008-01-30,5.110000133514404,5.119999885559082,5.039999961853027,5.329999923706055,547600
2008-01-31,4.980000019073486,5.559999942779541,4.980000019073486,5.670000076293945,769300
2008-02-01,5.519999980926514,5.690000057220459,5.389999866485596,5.699999809265137,428200
2008-02-04,5.659999847412109,5.489999771118164,5.329999923706055,5.679999828338623,421800
2008-02-05,5.389999866485596,5.679999828338623,5.369999885559082,5.699999809265137,650900
2008-02-06,5.690000057220459,5.420000076293945,5.360000133514404,5.730000019073486,582900
2008-02-07,5.400000095367432,5.690000057220459,5.400000095367432,5.840000152587891,312400
2008-02-08,5.659999847412109,5.300000190734863,5.230000019073486,5.659999847412109,409700
2008-02-11,5.349999904632568,5.269999980926514,5.139999866485596,5.400000095367432,583900
2008-02-12,5.309999942779541,5.380000114440918,5.21999979019165,5.449999809265137,273000
2008-02-13,5.449999809265137,5.46999979019165,5.320000171661377,5.5,308300
2008-02-14,5.489999771118164,5.269999980926514,5.25,5.489999771118164,166900
2008-02-15,5.25,5.269999980926514,5.190000057220459,5.320000171661377,316900
2008-02-19,5.329999923706055,5.159999847412109,5.079999923706055,5.360000133514404,296800
2008-02-20,5.139999866485596,5.340000152587891,5.110000133514404,5.420000076293945,268300
2008-02-21,5.369999885559082,5.320000171661377,5.269999980926514,5.420000076293945,331500
2008-02-22,5.400000095367432,5.559999942779541,5.329999923706055,5.579999923706055,309200
2008-02-25,5.599999904632568,5.579999923706055,5.480000019073486,5.670000076293945,819600
2008-02-26,5.539999961853027,6.0,5.46999979019165,6.070000171661377,654600
2008-02-27,5.900000095367432,6.210000038146973,5.849999904632568,6.25,268100
2008-02-28,6.150000095367432,5.920000076293945,5.699999809265137,6.150000095367432,465300
2008-02-29,5.840000152587891,5.800000190734863,5.760000228881836,6.090000152587891,387000
2008-03-03,5.820000171661377,5.860000133514404,5.559999942779541,5.860000133514404,280900
2008-03-04,5.78000020980835,5.880000114440918,5.650000095367432,5.929999828338623,352700
2008-03-05,5.880000114440918,5.889999866485596,5.809999942779541,6.019999980926514,203100
2008-03-06,5.869999885559082,5.329999923706055,5.269999980926514,5.869999885559082,426000
2008-03-07,5.329999923706055,4.75,4.75,5.449999809265137,611700
2008-03-10,4.789999961853027,4.570000171661377,4.5,4.949999809265137,367400
2008-03-11,4.679999828338623,5.0,4.639999866485596,5.03000020980835,292800
2008-03-12,5.03000020980835,4.960000038146973,4.800000190734863,5.21999979019165,298600
2008-03-13,4.78000020980835,4.880000114440918,4.650000095367432,5.0,337500
2008-03-14,4.909999847412109,4.769999980926514,4.650000095367432,5.010000228881836,211200
2008-03-17,4.639999866485596,4.5,4.5,4.760000228881836,374100
2008-03-18,4.619999885559082,4.5,4.5,4.699999809265137,594400
2008-03-19,4.590000152587891,4.739999771118164,4.489999771118164,4.809999942779541,366000
2008-03-20,4.980000019073486,5.71999979019165,4.980000019073486,5.800000190734863,882700
2008-03-24,5.610000133514404,6.309999942779541,5.610000133514404,6.309999942779541,679100
2008-03-25,6.300000190734863,6.010000228881836,5.889999866485596,6.300000190734863,547200
2008-03-26,5.96999979019165,5.940000057220459,5.78000020980835,6.070000171661377,242000
2008-03-27,5.960000038146973,5.75,5.75,6.110000133514404,431700
2008-03-28,5.679999828338623,5.480000019073486,5.460000038146973,5.769999980926514,297200
2008-03-31,5.480000019073486,5.739999771118164,5.429999828338623,5.949999809265137,530500
2008-04-01,5.690000057220459,6.099999904632568,5.690000057220459,6.150000095367432,547400
