Date,driopen,driclose,drilow,drihigh,drivolume
2008-01-02,25.020261764526367,23.82243537902832,23.697288513183594,25.020261764526367,3358000.0
2008-01-03,23.91182518005371,23.33972930908203,22.991107940673828,24.010154724121094,4232800.0
2008-01-04,23.09837532043457,22.874900817871094,22.553096771240234,23.295034408569336,3246400.0
2008-01-07,22.883840560913086,21.85585594177246,21.560867309570312,22.883840560913086,4785800.0
2008-01-08,21.85585594177246,21.13179588317871,21.087100982666016,22.0078182220459,3852300.0
2008-01-09,21.194368362426758,20.45243263244629,19.80882453918457,21.194368362426758,5456400.0
2008-01-10,20.264713287353516,20.96195411682129,20.255773544311523,21.176490783691406,3840900.0
2008-01-11,20.61333465576172,19.835641860961914,19.80882453918457,20.890443801879883,3324500.0
2008-01-14,19.933969497680664,19.48702049255371,19.200971603393555,20.0501766204834,4109600.0
2008-01-15,19.08476448059082,19.138399124145508,18.959619522094727,19.513837814331055,3170400.0
2008-01-16,19.120521545410156,18.76296043395996,18.67357063293457,19.39763069152832,4844500.0
2008-01-17,18.789777755737305,18.81659507751465,18.67357063293457,19.209911346435547,4060600.0
2008-01-18,18.98643684387207,19.835641860961914,18.98643684387207,20.157445907592773,4911800.0
2008-01-22,18.771900177001953,20.443492889404297,18.771900177001953,20.747419357299805,5268800.0
2008-01-23,19.80882453918457,23.24139976501465,19.379751205444336,23.446996688842773,8873200.0
2008-01-24,23.196704864501953,24.546493530273438,23.07155990600586,24.662700653076172,8547800.0
2008-01-25,24.743152618408203,23.429119110107422,23.143070220947266,25.163284301757812,4787200.0
2008-01-28,23.312911987304688,24.55543327331543,22.803388595581055,24.62694549560547,5194700.0
2008-01-29,24.761030197143555,24.269384384155273,24.126361846923828,24.939809799194336,4353900.0
2008-01-30,24.358774185180664,23.920764923095703,23.83137321472168,24.88617515563965,3647400.0
2008-01-31,23.697288513183594,25.324186325073242,23.152009963989258,25.726442337036133,3552100.0
2008-02-01,25.55660057067871,25.780075073242188,24.48392105102539,25.896282196044922,3150600.0
2008-02-04,25.976734161376953,24.698457717895508,24.618005752563477,25.976734161376953,2179600.0
2008-02-05,24.30514144897461,24.010154724121094,23.90288543701172,24.8236026763916,2242800.0
2008-02-06,24.126361846923828,23.607898712158203,23.536386489868164,24.251506805419922,2799900.0
2008-02-07,23.429119110107422,24.036970138549805,23.429119110107422,24.251506805419922,2464900.0
2008-02-08,23.9654598236084,24.010154724121094,23.697288513183594,24.537555694580078,1855200.0
2008-02-11,25.86052703857422,25.932039260864258,25.476150512695312,26.307477951049805,6896600.0
2008-02-12,26.37005043029785,27.129865646362305,26.146575927734375,28.15785026550293,5653700.0
2008-02-13,27.067291259765625,27.9969482421875,27.067291259765625,28.363447189331055,4620700.0
2008-02-14,27.773473739624023,27.129865646362305,27.040475845336914,28.15785026550293,2838500.0
2008-02-15,26.960023880004883,27.299705505371094,26.647159576416016,27.398035049438477,2256700.0
2008-02-19,27.800289154052734,27.27288818359375,27.067291259765625,27.97907066345215,1550500.0
2008-02-20,27.10304832458496,28.256179809570312,26.897451400756836,28.381324768066406,2533900.0
2008-02-21,28.32769012451172,27.782411575317383,27.684083938598633,28.604799270629883,1616100.0
2008-02-22,27.952253341674805,28.050582885742188,27.371217727661133,28.148910522460938,1284800.0
2008-02-25,27.970130920410156,28.783580780029297,27.49636459350586,28.792518615722656,1733900.0
2008-02-26,28.756763458251953,29.695358276367188,28.65843391418457,29.97246742248535,3039700.0
