Date,uriopen,uriclose,urilow,urihigh,urivolume
2008-01-02,18.329999923706055,17.770000457763672,17.709999084472656,18.920000076293945,2409400
2008-01-03,18.34000015258789,18.260000228881836,18.010000228881836,18.649999618530273,2512300
2008-01-04,18.049999237060547,17.34000015258789,17.280000686645508,18.110000610351562,2237900
2008-01-07,17.450000762939453,16.420000076293945,16.260000228881836,17.68000030517578,2204600
2008-01-08,16.510000228881836,15.699999809265137,15.640000343322754,16.690000534057617,2727000
2008-01-09,15.869999885559082,15.539999961853027,15.119999885559082,15.869999885559082,2052800
2008-01-10,15.460000038146973,16.56999969482422,15.4399995803833,16.75,2857100
2008-01-11,17.959999084472656,17.200000762939453,16.790000915527344,18.06999969482422,4523200
2008-01-14,17.280000686645508,17.59000015258789,16.829999923706055,17.760000228881836,1892900
2008-01-15,17.43000030517578,17.1200008392334,16.8700008392334,17.780000686645508,1974500
2008-01-16,17.020000457763672,17.049999237060547,16.579999923706055,17.350000381469727,1642900
2008-01-17,17.09000015258789,16.030000686645508,15.8100004196167,17.110000610351562,2002400
2008-01-18,16.149999618530273,16.020000457763672,15.699999809265137,16.600000381469727,1654400
2008-01-22,15.350000381469727,15.899999618530273,14.829999923706055,16.299999237060547,1539900
2008-01-23,15.600000381469727,16.639999389648438,15.600000381469727,16.75,1698600
2008-01-24,16.670000076293945,17.149999618530273,16.149999618530273,17.149999618530273,1341800
2008-01-25,17.209999084472656,16.860000610351562,16.530000686645508,17.450000762939453,1633100
2008-01-28,16.81999969482422,17.350000381469727,16.43000030517578,17.350000381469727,961300
2008-01-29,17.399999618530273,17.25,16.920000076293945,17.450000762939453,756900
2008-01-30,17.040000915527344,17.420000076293945,17.010000228881836,17.950000762939453,1395400
2008-01-31,17.799999237060547,18.229999542236328,17.329999923706055,18.5,1490000
2008-02-01,18.389999389648438,19.049999237060547,18.149999618530273,19.239999771118164,1471000
2008-02-04,18.940000534057617,18.350000381469727,18.350000381469727,19.0,898200
2008-02-05,18.219999313354492,18.260000228881836,18.059999465942383,19.040000915527344,1533200
2008-02-06,18.329999923706055,17.899999618530273,17.600000381469727,18.3799991607666,899200
2008-02-07,17.649999618530273,17.90999984741211,17.43000030517578,18.1299991607666,1151000
2008-02-08,17.799999237060547,18.18000030517578,17.670000076293945,18.350000381469727,693200
2008-02-11,18.170000076293945,18.299999237060547,17.700000762939453,18.450000762939453,764400
2008-02-12,18.43000030517578,18.309999465942383,18.149999618530273,18.719999313354492,898700
2008-02-13,18.489999771118164,18.610000610351562,18.299999237060547,18.670000076293945,707400
2008-02-14,18.649999618530273,18.809999465942383,18.450000762939453,19.100000381469727,1233800
2008-02-15,18.670000076293945,18.84000015258789,18.530000686645508,18.989999771118164,621300
2008-02-19,18.899999618530273,19.049999237060547,18.809999465942383,19.170000076293945,1004600
2008-02-20,18.8799991607666,18.950000762939453,18.75,19.219999313354492,1258900
2008-02-21,19.030000686645508,18.860000610351562,18.799999237060547,19.290000915527344,1344900
2008-02-22,18.90999984741211,18.8799991607666,18.440000534057617,18.950000762939453,715700
2008-02-25,18.860000610351562,19.270000457763672,18.780000686645508,19.290000915527344,894600
2008-02-26,19.239999771118164,19.399999618530273,19.100000381469727,19.6200008392334,510600
2008-02-27,19.309999465942383,19.360000610351562,19.219999313354492,19.739999771118164,677000
2008-02-28,19.15999984741211,18.969999313354492,18.549999237060547,19.229999542236328,1083300
2008-02-29,20.010000228881836,20.100000381469727,19.360000610351562,20.5,3417700
2008-03-03,20.1299991607666,19.649999618530273,19.399999618530273,20.170000076293945,1361400
2008-03-04,19.43000030517578,19.59000015258789,19.049999237060547,19.75,1409500
2008-03-05,19.979999542236328,19.170000076293945,19.010000228881836,19.979999542236328,695500
2008-03-06,19.0,18.700000762939453,18.600000381469727,19.290000915527344,929800
2008-03-07,18.649999618530273,18.899999618530273,18.579999923706055,19.229999542236328,940900
2008-03-10,18.889999389648438,18.579999923706055,18.399999618530273,19.110000610351562,929700
2008-03-11,18.989999771118164,18.889999389648438,18.420000076293945,19.1299991607666,802100
2008-03-12,18.889999389648438,18.93000030517578,18.700000762939453,19.239999771118164,595800
2008-03-13,18.56999969482422,19.200000762939453,18.43000030517578,19.3799991607666,782300
2008-03-14,19.399999618530273,18.3700008392334,18.040000915527344,19.43000030517578,1303500
2008-03-17,17.989999771118164,17.709999084472656,17.450000762939453,18.190000534057617,1389700
2008-03-18,17.329999923706055,17.610000610351562,17.200000762939453,17.8799991607666,1890100
2008-03-19,17.639999389648438,17.610000610351562,17.600000381469727,17.979999542236328,1168900
2008-03-20,17.59000015258789,18.239999771118164,17.450000762939453,18.360000610351562,1002700
2008-03-24,18.239999771118164,18.959999084472656,18.239999771118164,19.209999084472656,674600
2008-03-25,18.969999313354492,19.520000457763672,18.969999313354492,19.6200008392334,1361900
2008-03-26,19.479999542236328,19.010000228881836,18.649999618530273,19.700000762939453,1229300
2008-03-27,18.969999313354492,18.520000457763672,18.459999084472656,19.170000076293945,801100
2008-03-28,18.56999969482422,18.40999984741211,18.260000228881836,18.860000610351562,523200
2008-03-31,18.510000228881836,18.84000015258789,18.34000015258789,19.06999969482422,863100
2008-04-01,19.030000686645508,18.84000015258789,18.84000015258789,19.40999984741211,1140900
2008-04-02,18.950000762939453,19.350000381469727,18.84000015258789,19.56999969482422,662700
2008-04-03,19.260000228881836,19.459999084472656,19.110000610351562,19.65999984741211,986300
2008-04-04,19.360000610351562,19.0,18.899999618530273,19.799999237060547,746500
2008-04-07,19.31999969482422,19.489999771118164,19.040000915527344,19.610000610351562,626600
