Date,aehropen,aehrclose,aehrlow,aehrhigh,aehrvolume
2008-01-02,6.130000114440918,6.090000152587891,6.059999942779541,6.130000114440918,500
2008-01-03,5.960000038146973,5.920000076293945,5.800000190734863,6.099999904632568,3000
2008-01-04,5.900000095367432,5.820000171661377,5.699999809265137,6.099999904632568,20500
2008-01-07,6.0,5.599999904632568,5.5,6.099999904632568,26700
2008-01-08,6.489999771118164,6.699999809265137,6.449999809265137,7.090000152587891,107100
2008-01-09,6.829999923706055,6.400000095367432,6.150000095367432,6.829999923706055,47200
2008-01-10,6.300000190734863,6.880000114440918,6.21999979019165,6.949999809265137,20400
2008-01-11,6.949999809265137,6.75,6.570000171661377,6.989999771118164,10600
2008-01-14,6.889999866485596,7.090000152587891,6.630000114440918,7.099999904632568,32100
2008-01-15,7.099999904632568,7.039999961853027,7.019999980926514,7.150000095367432,12800
2008-01-16,7.110000133514404,7.150000095367432,7.0,7.289999961853027,62000
2008-01-17,7.199999809265137,6.989999771118164,6.849999904632568,7.25,6500
2008-01-18,6.929999828338623,6.949999809265137,6.440000057220459,6.949999809265137,26400
2008-01-22,6.900000095367432,6.900000095367432,6.309999942779541,6.900000095367432,42800
2008-01-23,6.699999809265137,6.599999904632568,6.429999828338623,6.900000095367432,18000
2008-01-24,6.840000152587891,6.360000133514404,6.309999942779541,6.840000152587891,21200
2008-01-25,6.539999961853027,6.539999961853027,6.320000171661377,6.75,5800
2008-01-28,6.539999961853027,7.239999771118164,6.380000114440918,7.239999771118164,29100
2008-01-29,7.150000095367432,7.0,6.760000228881836,7.179999828338623,25100
2008-01-30,6.730000019073486,6.809999942779541,6.489999771118164,7.0,13000
2008-01-31,6.980000019073486,6.699999809265137,6.5,6.980000019073486,55400
2008-02-01,6.820000171661377,6.900000095367432,6.550000190734863,6.900000095367432,63300
2008-02-04,6.800000190734863,6.849999904632568,6.78000020980835,7.119999885559082,20000
2008-02-05,6.75,6.760000228881836,6.659999847412109,7.210000038146973,16100
2008-02-06,7.070000171661377,6.840000152587891,6.840000152587891,7.070000171661377,6400
2008-02-07,6.849999904632568,6.610000133514404,6.610000133514404,7.239999771118164,8000
2008-02-08,7.110000133514404,6.869999885559082,6.650000095367432,7.130000114440918,2300
2008-02-11,6.769999980926514,6.920000076293945,6.769999980926514,6.96999979019165,4000
2008-02-12,7.0,7.0,7.0,7.150000095367432,14000
2008-02-13,7.130000114440918,7.25,7.130000114440918,7.28000020980835,7400
2008-02-14,7.25,7.300000190734863,7.25,7.349999904632568,5400
2008-02-15,7.409999847412109,7.5,7.300000190734863,7.5,17900
2008-02-19,7.550000190734863,6.989999771118164,6.900000095367432,7.550000190734863,18700
2008-02-20,6.940000057220459,7.03000020980835,6.940000057220459,7.070000171661377,6400
2008-02-21,6.96999979019165,7.119999885559082,6.96999979019165,7.25,6300
2008-02-22,7.119999885559082,7.269999980926514,7.119999885559082,7.489999771118164,1700
2008-02-25,7.110000133514404,7.25,7.110000133514404,7.489999771118164,7800
2008-02-26,7.199999809265137,7.75,7.199999809265137,7.75,29600
2008-02-27,7.75,7.889999866485596,7.75,8.260000228881836,189800
2008-02-28,8.039999961853027,7.900000095367432,7.900000095367432,8.15999984741211,16400
2008-02-29,7.889999866485596,7.300000190734863,7.289999961853027,7.889999866485596,14800
2008-03-03,7.079999923706055,7.159999847412109,7.0,7.389999866485596,23100
2008-03-04,7.170000076293945,6.449999809265137,6.360000133514404,7.190000057220459,64200
2008-03-05,6.659999847412109,6.510000228881836,6.510000228881836,6.739999771118164,9500
2008-03-06,6.5,6.579999923706055,6.480000019073486,6.739999771118164,8600
2008-03-07,6.400000095367432,6.610000133514404,6.070000171661377,6.71999979019165,31300
2008-03-10,6.519999980926514,6.050000190734863,6.019999980926514,6.519999980926514,16100
2008-03-11,6.150000095367432,6.5,6.139999866485596,6.510000228881836,16300
2008-03-12,6.550000190734863,6.25,6.25,6.550000190734863,9900
2008-03-13,6.199999809265137,6.440000057220459,6.019999980926514,6.550000190734863,23500
2008-03-14,6.449999809265137,6.53000020980835,6.199999809265137,6.539999961853027,6500
2008-03-17,6.21999979019165,6.449999809265137,6.050000190734863,6.5,12600
