Date,osisopen,osisclose,osislow,osishigh,osisvolume
2008-01-02,26.3700008392334,25.6200008392334,25.31999969482422,26.3700008392334,83900
2008-01-03,25.719999313354492,25.190000534057617,25.190000534057617,25.719999313354492,101600
2008-01-04,25.100000381469727,25.170000076293945,24.989999771118164,25.450000762939453,89700
2008-01-07,25.239999771118164,25.290000915527344,24.93000030517578,25.530000686645508,117200
2008-01-08,25.1299991607666,24.719999313354492,24.649999618530273,25.309999465942383,117700
2008-01-09,24.610000610351562,25.0,24.079999923706055,25.0,65200
2008-01-10,24.65999984741211,24.93000030517578,24.420000076293945,25.420000076293945,56100
2008-01-11,24.68000030517578,23.56999969482422,23.520000457763672,25.059999465942383,133700
2008-01-14,23.780000686645508,24.110000610351562,23.469999313354492,24.260000228881836,183700
2008-01-15,23.81999969482422,23.59000015258789,23.559999465942383,24.0,71900
2008-01-16,23.43000030517578,24.18000030517578,23.329999923706055,25.0,102800
2008-01-17,24.219999313354492,23.450000762939453,23.40999984741211,24.43000030517578,45500
2008-01-18,23.40999984741211,22.920000076293945,22.68000030517578,23.899999618530273,126100
2008-01-22,22.0,22.459999084472656,21.649999618530273,22.899999618530273,98200
2008-01-23,21.610000610351562,22.6200008392334,21.309999465942383,22.799999237060547,115900
2008-01-24,22.700000762939453,22.950000762939453,22.190000534057617,23.010000228881836,117400
2008-01-25,23.309999465942383,22.559999465942383,22.43000030517578,23.309999465942383,62800
2008-01-28,22.469999313354492,22.549999237060547,22.049999237060547,22.920000076293945,74200
2008-01-29,22.639999389648438,22.719999313354492,21.81999969482422,22.81999969482422,97400
2008-01-30,22.510000228881836,22.280000686645508,21.899999618530273,22.6200008392334,85800
2008-01-31,22.110000610351562,23.329999923706055,21.8700008392334,23.489999771118164,117800
2008-02-01,23.469999313354492,23.799999237060547,23.030000686645508,23.979999542236328,119000
2008-02-04,23.59000015258789,24.1299991607666,23.280000686645508,24.25,89400
2008-02-05,25.520000457763672,25.329999923706055,24.31999969482422,26.510000228881836,252000
2008-02-06,25.40999984741211,22.989999771118164,22.899999618530273,25.459999084472656,344300
2008-02-07,22.90999984741211,24.030000686645508,22.709999084472656,24.290000915527344,170200
2008-02-08,23.920000076293945,23.18000030517578,23.049999237060547,24.09000015258789,102000
2008-02-11,23.239999771118164,23.1200008392334,23.010000228881836,23.6200008392334,98100
2008-02-12,23.190000534057617,22.90999984741211,22.760000228881836,23.399999618530273,103400
2008-02-13,22.8799991607666,23.0,22.81999969482422,23.25,91800
2008-02-14,23.010000228881836,21.989999771118164,21.790000915527344,23.010000228881836,183900
2008-02-15,21.829999923706055,22.229999542236328,21.559999465942383,22.239999771118164,132300
2008-02-19,22.479999542236328,22.0,21.93000030517578,22.90999984741211,88100
2008-02-20,21.799999237060547,22.350000381469727,21.799999237060547,22.440000534057617,83500
2008-02-21,22.260000228881836,21.670000076293945,21.399999618530273,22.459999084472656,186100
2008-02-22,21.639999389648438,21.489999771118164,21.350000381469727,21.719999313354492,217800
2008-02-25,21.639999389648438,21.959999084472656,21.309999465942383,22.260000228881836,218800
2008-02-26,21.920000076293945,22.280000686645508,21.450000762939453,22.5,83600
2008-02-27,22.110000610351562,21.940000534057617,21.709999084472656,22.440000534057617,45700
2008-02-28,21.790000915527344,21.399999618530273,21.200000762939453,21.790000915527344,60000
2008-02-29,21.299999237060547,21.149999618530273,21.100000381469727,21.489999771118164,88400
2008-03-03,21.1200008392334,21.06999969482422,20.700000762939453,21.25,78600
2008-03-04,20.809999465942383,21.15999984741211,20.700000762939453,21.239999771118164,82800
2008-03-05,21.25,21.209999084472656,20.799999237060547,21.3799991607666,63800
2008-03-06,21.18000030517578,20.700000762939453,20.700000762939453,21.3700008392334,68100
2008-03-07,20.5,20.829999923706055,20.459999084472656,21.110000610351562,92000
2008-03-10,20.860000610351562,20.610000610351562,20.600000381469727,21.1299991607666,73700
2008-03-11,21.18000030517578,21.270000457763672,21.0,21.450000762939453,132000
2008-03-12,21.31999969482422,21.6299991607666,21.290000915527344,21.729999542236328,96300
2008-03-13,21.520000457763672,22.309999465942383,21.149999618530273,22.450000762939453,139200
2008-03-14,22.459999084472656,22.1299991607666,21.75,22.489999771118164,120300
2008-03-17,21.5,21.780000686645508,21.09000015258789,22.209999084472656,69700
2008-03-18,21.790000915527344,22.399999618530273,21.6299991607666,22.5,126700
2008-03-19,22.520000457763672,21.979999542236328,21.850000381469727,22.649999618530273,100800
2008-03-20,22.200000762939453,22.420000076293945,21.950000762939453,22.6299991607666,306600
2008-03-24,22.420000076293945,22.649999618530273,22.139999389648438,22.649999618530273,111400
2008-03-25,22.639999389648438,22.350000381469727,21.959999084472656,22.670000076293945,137100
2008-03-26,22.170000076293945,22.1299991607666,22.040000915527344,22.239999771118164,89400
2008-03-27,22.209999084472656,23.479999542236328,22.209999084472656,23.559999465942383,304300
2008-03-28,23.440000534057617,22.989999771118164,22.8799991607666,23.56999969482422,86700
2008-03-31,23.1299991607666,23.020000457763672,22.75,23.280000686645508,127500
2008-04-01,23.530000686645508,23.600000381469727,23.459999084472656,23.84000015258789,119200
2008-04-02,23.540000915527344,23.760000228881836,22.709999084472656,23.780000686645508,130400
2008-04-03,23.75,23.989999771118164,23.709999084472656,23.989999771118164,75800
2008-04-04,24.0,24.3799991607666,23.979999542236328,24.6200008392334,136200
2008-04-07,24.5,23.950000762939453,23.899999618530273,24.5,60500
2008-04-08,23.719999313354492,23.84000015258789,23.719999313354492,24.229999542236328,53900
2008-04-09,23.920000076293945,23.860000610351562,23.600000381469727,24.25,149500
2008-04-10,23.809999465942383,23.700000762939453,23.459999084472656,24.049999237060547,85300
2008-04-11,23.489999771118164,23.010000228881836,22.959999084472656,23.739999771118164,63600
2008-04-14,22.959999084472656,22.309999465942383,22.299999237060547,23.010000228881836,85200
2008-04-15,22.420000076293945,22.280000686645508,22.1299991607666,22.639999389648438,68200
2008-04-16,22.5,23.200000762939453,22.3700008392334,23.229999542236328,122800
2008-04-17,23.030000686645508,22.6299991607666,22.6200008392334,23.15999984741211,70500
2008-04-18,23.040000915527344,23.18000030517578,22.760000228881836,23.200000762939453,75200
2008-04-21,23.200000762939453,23.469999313354492,23.010000228881836,23.649999618530273,82200
2008-04-22,23.309999465942383,23.219999313354492,23.09000015258789,23.479999542236328,95800
2008-04-23,23.270000457763672,23.530000686645508,23.09000015258789,23.690000534057617,82800
2008-04-24,23.489999771118164,24.06999969482422,23.3700008392334,24.350000381469727,123900
2008-04-25,23.81999969482422,23.84000015258789,23.530000686645508,24.1200008392334,46300
2008-04-28,23.770000457763672,23.829999923706055,23.709999084472656,24.059999465942383,45600
2008-04-29,23.860000610351562,23.790000915527344,23.450000762939453,23.989999771118164,107700
2008-04-30,23.719999313354492,24.450000762939453,23.469999313354492,24.610000610351562,202200
2008-05-01,24.700000762939453,24.3799991607666,24.219999313354492,24.799999237060547,124100
2008-05-02,24.6200008392334,23.90999984741211,23.90999984741211,24.6200008392334,122000
2008-05-05,23.799999237060547,23.739999771118164,23.350000381469727,23.90999984741211,141900
2008-05-06,23.549999237060547,23.510000228881836,23.3799991607666,23.809999465942383,151900
2008-05-07,23.579999923706055,23.540000915527344,23.350000381469727,23.950000762939453,85700
2008-05-08,23.520000457763672,23.450000762939453,23.399999618530273,23.81999969482422,60000
2008-05-09,23.389999389648438,23.559999465942383,23.3799991607666,23.579999923706055,58200
