Date,abcdopen,abcdclose,abcdlow,abcdhigh,abcdvolume
2009-12-09,4.0,3.6500000953674316,3.6500000953674316,4.0,3000
2009-12-10,15.0,4.090000152587891,3.700000047683716,15.0,3700
2009-12-11,4.909999847412109,4.800000190734863,4.300000190734863,4.909999847412109,8300
2009-12-14,4.75,4.760000228881836,4.739999771118164,4.760000228881836,4400
2009-12-15,3.7799999713897705,4.510000228881836,3.740000009536743,4.510000228881836,500
2009-12-16,3.940000057220459,4.75,3.940000057220459,4.75,2900
2009-12-17,4.739999771118164,4.900000095367432,3.9700000286102295,4.900000095367432,10300
2009-12-18,4.900000095367432,6.0,4.900000095367432,14.800000190734863,324600
2009-12-21,5.900000095367432,5.760000228881836,5.320000171661377,5.989999771118164,12300
2009-12-22,5.559999942779541,5.5,5.5,5.869999885559082,18200
2009-12-23,4.119999885559082,4.400000095367432,3.950000047683716,4.739999771118164,340100
2009-12-24,4.400000095367432,4.070000171661377,3.809999942779541,4.400000095367432,38300
2009-12-28,4.139999866485596,3.930000066757202,3.6700000762939453,4.329999923706055,176800
2009-12-29,3.859999895095825,3.8499999046325684,3.700000047683716,4.0,66200
2009-12-30,3.9700000286102295,3.799999952316284,3.619999885559082,3.9700000286102295,76200
2009-12-31,3.8499999046325684,3.9200000762939453,3.700000047683716,4.210000038146973,58000
2010-01-04,4.190000057220459,4.099999904632568,4.010000228881836,4.199999809265137,26300
2010-01-05,4.079999923706055,4.010000228881836,4.010000228881836,4.099999904632568,23400
2010-01-06,4.03000020980835,4.0,3.9600000381469727,4.039999961853027,33700
2010-01-07,4.050000190734863,3.990000009536743,3.930000066757202,4.050000190734863,150300
2010-01-08,3.9800000190734863,3.950000047683716,3.9200000762939453,3.9800000190734863,18200
2010-01-11,3.9800000190734863,3.950000047683716,3.950000047683716,3.990000009536743,66100
2010-01-12,3.990000009536743,4.0,3.6700000762939453,4.0,23700
2010-01-13,3.990000009536743,3.950000047683716,3.9100000858306885,4.059999942779541,51400
2010-01-14,3.950000047683716,4.0,3.930000066757202,4.019999980926514,100700
2010-01-15,3.950000047683716,4.019999980926514,3.950000047683716,4.050000190734863,9800
2010-01-19,4.059999942779541,4.059999942779541,3.9000000953674316,4.090000152587891,49300
2010-01-20,4.059999942779541,4.03000020980835,3.990000009536743,4.099999904632568,19300
2010-01-21,4.03000020980835,4.050000190734863,4.0,4.050000190734863,3500
2010-01-22,4.0,4.0,4.0,4.03000020980835,7800
2010-01-25,4.0,4.010000228881836,4.0,4.050000190734863,5500
2010-01-26,3.990000009536743,3.9200000762939453,3.9200000762939453,4.0,22600
2010-01-27,3.859999895095825,3.890000104904175,3.859999895095825,3.9000000953674316,900
2010-01-28,3.950000047683716,4.03000020980835,3.950000047683716,4.03000020980835,1000
2010-01-29,3.869999885559082,3.940000057220459,3.869999885559082,4.0,37100
2010-02-01,4.0,3.799999952316284,3.7699999809265137,4.0,18700
2010-02-02,3.7699999809265137,3.7699999809265137,3.75,3.8299999237060547,17900
2010-02-03,3.75,3.6700000762939453,3.609999895095825,3.75,24500
2010-02-04,3.559999942779541,3.7200000286102295,3.549999952316284,3.7899999618530273,36000
2010-02-05,3.549999952316284,3.619999885559082,3.509999990463257,3.630000114440918,11200
2010-02-08,3.6600000858306885,3.6600000858306885,3.619999885559082,3.7100000381469727,10500
2010-02-09,3.6500000953674316,3.569999933242798,3.549999952316284,3.6500000953674316,31800
2010-02-10,3.75,3.559999942779541,3.5,3.75,17800
2010-02-11,3.7899999618530273,3.5999999046325684,3.509999990463257,3.7899999618530273,8900
2010-02-12,3.509999990463257,3.680000066757202,3.4100000858306885,3.75,17000
2010-02-16,3.740000009536743,3.7300000190734863,3.7300000190734863,3.75,12600
2010-02-17,3.7300000190734863,3.799999952316284,3.7200000286102295,3.799999952316284,72400
2010-02-18,3.75,3.75,3.75,3.799999952316284,5100
2010-02-19,3.759999990463257,3.7799999713897705,3.75,3.799999952316284,15100
2010-02-22,3.75,3.75,3.75,3.7899999618530273,7700
2010-02-23,3.75,3.75,3.75,3.75,0
2010-02-24,3.75,3.75,3.75,3.75,0
2010-02-25,3.680000066757202,3.740000009536743,3.680000066757202,3.740000009536743,1800
2010-02-26,3.75,3.700000047683716,3.700000047683716,3.75,20000
2010-03-01,3.700000047683716,3.7100000381469727,3.700000047683716,3.7799999713897705,23800
2010-03-02,3.75,3.7300000190734863,3.7300000190734863,3.759999990463257,14000
2010-03-03,3.759999990463257,3.609999895095825,3.5199999809265137,3.759999990463257,50300
2010-03-04,3.6500000953674316,3.5999999046325684,3.549999952316284,3.690000057220459,500900
2010-03-05,3.5999999046325684,3.5999999046325684,3.5799999237060547,3.619999885559082,398000
2010-03-08,3.5999999046325684,3.559999942779541,3.559999942779541,3.6700000762939453,11000
2010-03-09,3.549999952316284,3.559999942779541,3.549999952316284,3.5799999237060547,17000
2010-03-10,3.5799999237060547,3.640000104904175,3.549999952316284,3.75,80900
2010-03-11,3.6500000953674316,3.640000104904175,3.5999999046325684,3.7699999809265137,539800
2010-03-12,3.75,3.6700000762939453,3.6700000762939453,3.7799999713897705,131300
2010-03-15,3.6700000762939453,3.700000047683716,3.6700000762939453,3.700000047683716,15500
2010-03-16,3.7200000286102295,3.940000057220459,3.7200000286102295,3.9800000190734863,23600
2010-03-17,3.9100000858306885,3.880000114440918,3.8499999046325684,3.940000057220459,13300
2010-03-18,3.930000066757202,3.9000000953674316,3.8499999046325684,3.940000057220459,19000
2010-03-19,3.9200000762939453,3.9200000762939453,3.8499999046325684,3.9600000381469727,22700
