Date,gwropen,gwrclose,gwrlow,gwrhigh,gwrvolume
2008-01-02,24.18000030517578,23.549999237060547,23.399999618530273,24.56999969482422,380000
2008-01-03,23.65999984741211,23.309999465942383,23.260000228881836,23.860000610351562,185200
2008-01-04,23.059999465942383,21.959999084472656,21.959999084472656,23.059999465942383,324700
2008-01-07,22.139999389648438,23.520000457763672,22.1299991607666,23.920000076293945,379900
2008-01-08,23.68000030517578,22.459999084472656,22.450000762939453,23.81999969482422,283700
2008-01-09,22.75,24.3799991607666,22.75,24.459999084472656,448700
2008-01-10,24.059999465942383,24.1299991607666,23.940000534057617,24.489999771118164,590700
2008-01-11,23.950000762939453,23.920000076293945,23.899999618530273,24.3700008392334,341600
2008-01-14,24.079999923706055,24.360000610351562,23.93000030517578,24.489999771118164,222100
2008-01-15,24.350000381469727,24.25,24.219999313354492,24.770000457763672,286400
2008-01-16,24.139999389648438,24.780000686645508,24.139999389648438,25.299999237060547,263700
2008-01-17,24.770000457763672,24.25,24.09000015258789,24.979999542236328,241900
2008-01-18,24.389999389648438,24.09000015258789,23.950000762939453,24.5,364900
2008-01-22,23.0,23.8799991607666,23.0,24.6200008392334,355600
2008-01-23,24.0,25.040000915527344,23.850000381469727,25.43000030517578,578400
2008-01-24,25.280000686645508,25.989999771118164,25.280000686645508,26.469999313354492,406500
2008-01-25,26.0,25.399999618530273,24.989999771118164,26.350000381469727,276400
2008-01-28,25.399999618530273,26.010000228881836,24.899999618530273,26.1299991607666,158700
2008-01-29,26.200000762939453,25.860000610351562,25.729999542236328,26.5,295300
2008-01-30,25.719999313354492,25.559999465942383,25.489999771118164,26.309999465942383,343900
2008-01-31,25.350000381469727,27.309999465942383,25.229999542236328,27.549999237060547,362100
2008-02-01,27.399999618530273,27.860000610351562,27.309999465942383,28.229999542236328,213300
2008-02-04,27.84000015258789,27.229999542236328,26.940000534057617,27.84000015258789,182600
2008-02-05,26.690000534057617,26.399999618530273,26.360000610351562,27.059999465942383,152800
2008-02-06,26.290000915527344,26.18000030517578,26.170000076293945,27.309999465942383,177600
2008-02-07,26.1299991607666,26.93000030517578,25.889999389648438,27.25,221300
2008-02-08,26.920000076293945,27.110000610351562,26.6200008392334,27.6200008392334,156700
2008-02-11,27.0,27.209999084472656,26.469999313354492,27.3799991607666,204200
2008-02-12,27.329999923706055,27.1200008392334,26.950000762939453,27.75,154300
2008-02-13,27.600000381469727,29.68000030517578,27.600000381469727,30.1200008392334,688100
2008-02-14,30.15999984741211,30.75,30.15999984741211,32.16999816894531,728500
2008-02-15,30.59000015258789,30.93000030517578,30.31999969482422,31.049999237060547,481600
2008-02-19,31.280000686645508,31.93000030517578,30.860000610351562,31.969999313354492,612300
2008-02-20,31.770000457763672,31.899999618530273,31.329999923706055,31.940000534057617,431700
2008-02-21,32.0,30.65999984741211,30.6299991607666,32.25,307800
2008-02-22,30.649999618530273,31.440000534057617,29.770000457763672,31.549999237060547,318700
2008-02-25,31.540000915527344,31.940000534057617,30.770000457763672,32.040000915527344,284100
2008-02-26,31.799999237060547,32.70000076293945,31.639999389648438,33.619998931884766,670500
2008-02-27,32.439998626708984,32.470001220703125,32.15999984741211,33.220001220703125,327900
2008-02-28,32.27000045776367,32.22999954223633,31.670000076293945,32.630001068115234,279600
2008-02-29,31.799999237060547,31.0,30.790000915527344,31.799999237060547,316800
2008-03-03,31.440000534057617,30.5,29.8700008392334,31.440000534057617,389700
2008-03-04,30.229999542236328,30.760000228881836,29.850000381469727,30.889999389648438,330400
2008-03-05,30.559999465942383,32.02000045776367,30.559999465942383,32.15999984741211,418700
2008-03-06,31.549999237060547,31.1299991607666,30.920000076293945,31.969999313354492,418700
2008-03-07,31.010000228881836,30.969999313354492,30.68000030517578,31.799999237060547,467400
2008-03-10,31.139999389648438,30.360000610351562,30.260000228881836,31.239999771118164,322100
2008-03-11,31.280000686645508,32.75,30.81999969482422,32.75,604100
2008-03-12,32.5,32.18000030517578,32.08000183105469,32.939998626708984,459600
2008-03-13,31.739999771118164,33.560001373291016,31.479999542236328,33.70000076293945,556100
2008-03-14,33.779998779296875,32.56999969482422,31.950000762939453,33.810001373291016,449300
2008-03-17,31.6299991607666,31.90999984741211,31.229999542236328,32.5,491800
2008-03-18,32.0,34.540000915527344,31.989999771118164,34.72999954223633,590700
2008-03-19,34.13999938964844,33.290000915527344,33.25,34.5,486800
2008-03-20,33.41999816894531,34.58000183105469,32.4900016784668,34.7400016784668,895600
2008-03-24,34.630001068115234,35.90999984741211,34.47999954223633,35.970001220703125,560700
2008-03-25,35.93000030517578,35.61000061035156,35.34000015258789,36.13999938964844,411400
2008-03-26,35.220001220703125,35.040000915527344,34.689998626708984,35.560001373291016,258900
2008-03-27,35.36000061035156,34.72999954223633,34.5,35.72999954223633,361600
2008-03-28,34.79999923706055,34.560001373291016,34.31999969482422,35.040000915527344,275300
2008-03-31,34.099998474121094,34.400001525878906,33.779998779296875,34.66999816894531,359900
2008-04-01,35.20000076293945,35.0099983215332,34.41999816894531,35.20000076293945,406400
2008-04-02,35.06999969482422,34.81999969482422,34.599998474121094,35.18000030517578,298300
2008-04-03,34.439998626708984,34.790000915527344,34.439998626708984,34.97999954223633,352200
2008-04-04,34.97999954223633,35.43000030517578,34.7599983215332,36.0,308700
2008-04-07,35.619998931884766,35.18000030517578,34.88999938964844,35.939998626708984,208100
2008-04-08,34.84000015258789,35.02000045776367,34.630001068115234,35.5099983215332,201800
2008-04-09,35.33000183105469,33.880001068115234,33.709999084472656,35.41999816894531,224000
