Date,atroopen,atroclose,atrolow,atrohigh,atrovolume
2008-01-02,15.651141166687012,15.414002418518066,15.02865219116211,15.73636245727539,176200.0
2008-01-03,15.465876579284668,15.514045715332031,15.202800750732422,15.877163887023926,108200.0
2008-01-04,15.08423137664795,14.839682579040527,14.82115650177002,15.40659236907959,120600.0
2008-01-07,14.802629470825195,13.609526634216309,13.261229515075684,14.802629470825195,376600.0
2008-01-08,13.598410606384277,14.420985221862793,12.968511581420898,14.772987365722656,180000.0
2008-01-09,14.391343116760254,14.076393127441406,13.15748119354248,14.621070861816406,295500.0
2008-01-10,13.779970169067383,14.080098152160645,13.779970169067383,14.42839527130127,128500.0
2008-01-11,13.850370407104492,13.842960357666016,13.842960357666016,14.958251953125,144400.0
2008-01-14,13.750328063964844,14.146793365478516,13.750328063964844,14.584017753601074,92600.0
2008-01-15,13.946707725524902,13.64657974243164,13.261229515075684,14.37281608581543,73600.0
2008-01-16,13.409440994262695,13.231587409973145,12.78695297241211,13.653989791870117,211000.0
2008-01-17,13.231587409973145,13.253819465637207,13.038911819458008,13.52430534362793,177700.0
2008-01-18,13.439083099365234,13.616937637329102,12.709141731262207,13.713274955749512,149300.0
2008-01-22,12.731372833251953,11.908799171447754,11.734650611877441,12.783246994018555,240900.0
2008-01-23,11.579028129577637,12.668383598327637,11.386353492736816,13.450199127197266,252600.0
2008-01-24,12.783246994018555,13.257524490356445,12.783246994018555,13.624347686767578,110400.0
2008-01-25,13.55024242401123,12.90922737121582,12.85364818572998,13.765149116516113,86800.0
2008-01-28,13.168597221374512,12.86846923828125,12.264507293701172,13.176008224487305,120200.0
2008-01-29,12.879585266113281,12.801774024963379,12.53128719329834,12.879585266113281,29200.0
2008-01-30,12.520172119140625,11.756882667541504,11.671660423278809,12.94998550415039,87600.0
2008-01-31,11.567912101745605,12.1459379196167,11.393763542175293,12.36454963684082,160600.0
2008-02-01,12.346023559570312,12.30897045135498,11.553091049194336,12.597982406616211,124000.0
2008-02-04,12.360844612121582,12.46088695526123,11.986610412597656,12.472002983093262,105400.0
2008-02-05,12.346023559570312,12.286738395690918,12.231159210205078,12.523877143859863,48500.0
2008-02-06,12.294149398803711,11.886567115783691,11.675365447998047,12.457181930541992,246300.0
2008-02-07,11.693892478942871,11.593849182128906,11.519743919372559,12.160758972167969,62800.0
2008-02-08,11.553091049194336,11.078814506530762,11.023235321044922,11.771703720092773,145100.0
2008-02-11,11.08251953125,10.749043464660645,10.745338439941406,11.186267852783203,196200.0
2008-02-12,10.941719055175781,11.486395835876465,10.941719055175781,11.630902290344238,209100.0
2008-02-13,11.627197265625,12.075536727905273,11.393763542175293,12.075536727905273,181800.0
2008-02-14,10.389630317687988,8.236857414245605,7.973782062530518,10.40074634552002,2164500.0
2008-02-15,8.436943054199219,8.299847602844238,8.007129669189453,8.499933242797852,376300.0
2008-02-19,8.266499519348145,7.86262321472168,7.79222297668457,8.266499519348145,394100.0
2008-02-20,7.803339004516602,7.4365153312683105,7.41057825088501,7.803339004516602,363200.0
2008-02-21,7.469862937927246,7.080807209014893,7.010406970977783,7.555084228515625,433900.0
2008-02-22,7.080807209014893,7.7292327880859375,7.077102184295654,7.75146484375,210600.0
