Date,xomopen,xomclose,xomlow,xomhigh,xomvolume
2008-01-02,94.1500015258789,93.51000213623047,92.77999877929688,94.55000305175781,23351900.0
2008-01-03,93.86000061035156,93.83000183105469,93.51000213623047,94.73999786376953,19160600.0
2008-01-04,93.23999786376953,92.08000183105469,91.87999725341797,94.36000061035156,24730900.0
2008-01-07,92.5,91.22000122070312,90.25,93.1500015258789,28937500.0
2008-01-08,91.86000061035156,90.05000305175781,89.68000030517578,92.05000305175781,21764500.0
2008-01-09,90.11000061035156,91.55999755859375,89.5,91.7300033569336,26198800.0
2008-01-10,90.75,91.66000366210938,90.06999969482422,92.16000366210938,27285300.0
2008-01-11,91.01000213623047,90.30000305175781,90.0,91.86000061035156,22727200.0
2008-01-14,90.83999633789062,90.83000183105469,90.08000183105469,91.25,20425900.0
2008-01-15,89.88999938964844,89.0199966430664,88.48999786376953,89.88999938964844,26486000.0
2008-01-16,88.44999694824219,86.52999877929688,85.91000366210938,89.3499984741211,35965400.0
2008-01-17,87.47000122070312,83.91000366210938,83.48999786376953,87.91000366210938,34096500.0
2008-01-18,84.0,85.08000183105469,82.80000305175781,86.47000122070312,43830600.0
2008-01-22,80.0,82.44999694824219,79.5,83.9800033569336,49613500.0
2008-01-23,80.01000213623047,83.44999694824219,77.55000305175781,83.48999786376953,47420700.0
2008-01-24,84.29000091552734,86.0,83.02999877929688,86.06999969482422,31180900.0
2008-01-25,86.69999694824219,83.94000244140625,83.5999984741211,86.98999786376953,28236100.0
2008-01-28,83.5,85.12999725341797,82.54000091552734,85.33999633789062,23688800.0
2008-01-29,85.22000122070312,85.08000183105469,84.44999694824219,86.36000061035156,22488400.0
2008-01-30,84.54000091552734,85.27999877929688,84.3499984741211,87.47000122070312,24131900.0
2008-01-31,84.22000122070312,85.69999694824219,83.0999984741211,86.4000015258789,32970800.0
2008-02-01,87.69999694824219,85.94999694824219,84.8499984741211,87.86000061035156,28440200.0
2008-02-04,86.04000091552734,85.44000244140625,84.8499984741211,86.29000091552734,18836700.0
2008-02-05,84.11000061035156,82.11000061035156,82.0999984741211,84.22000122070312,30599700.0
2008-02-06,82.69000244140625,81.44000244140625,81.08999633789062,83.06999969482422,29215900.0
2008-02-07,80.97000122070312,81.88999938964844,80.36000061035156,82.51000213623047,26611800.0
2008-02-08,82.0,81.70999908447266,80.95999908447266,82.4000015258789,24176500.0
2008-02-11,81.8499984741211,83.22000122070312,81.04000091552734,83.30000305175781,22697000.0
2008-02-12,83.5999984741211,84.37999725341797,83.30000305175781,85.08000183105469,25150600.0
2008-02-13,84.70999908447266,85.48999786376953,84.5,85.69999694824219,21546600.0
2008-02-14,85.6500015258789,85.55000305175781,85.31999969482422,86.69999694824219,21826800.0
2008-02-15,85.19000244140625,85.37000274658203,84.38999938964844,85.5999984741211,23966100.0
2008-02-19,86.5199966430664,87.01000213623047,86.5199966430664,87.97000122070312,22600400.0
2008-02-20,86.30999755859375,88.0999984741211,86.16999816894531,88.5999984741211,24723800.0
2008-02-21,87.70999908447266,86.91999816894531,86.18000030517578,88.0,30107300.0
2008-02-22,87.45999908447266,87.16999816894531,86.02999877929688,87.79000091552734,23487200.0
2008-02-25,87.16999816894531,89.12999725341797,87.06999969482422,89.37000274658203,23876300.0
2008-02-26,88.75,89.88999938964844,88.4000015258789,90.0,21329600.0
2008-02-27,89.4000015258789,89.38999938964844,89.12000274658203,90.16999816894531,20323100.0
2008-02-28,89.12000274658203,89.37999725341797,88.8499984741211,90.0,24999200.0
2008-02-29,88.7699966430664,87.01000213623047,86.25,89.29000091552734,26540200.0
2008-03-03,86.83000183105469,87.75,86.58000183105469,88.41000366210938,23192300.0
2008-03-04,87.47000122070312,86.69000244140625,85.5,87.98999786376953,30372200.0
2008-03-05,86.80000305175781,87.19000244140625,86.05000305175781,87.62000274658203,30835400.0
2008-03-06,86.93000030517578,84.51000213623047,84.44000244140625,87.06999969482422,28977000.0
2008-03-07,83.91000366210938,82.48999786376953,81.97000122070312,84.05999755859375,30749200.0
2008-03-10,82.75,82.45999908447266,82.0,83.5,32432800.0
2008-03-11,83.95999908447266,86.68000030517578,83.55000305175781,86.68000030517578,34835400.0
2008-03-12,86.61000061035156,85.97000122070312,85.68000030517578,87.2300033569336,26617900.0
2008-03-13,85.33000183105469,87.05000305175781,84.9000015258789,87.5,29347400.0
2008-03-14,87.73999786376953,85.91000366210938,84.79000091552734,87.86000061035156,35741200.0
2008-03-17,83.87999725341797,85.79000091552734,83.54000091552734,86.75,39028700.0
2008-03-18,86.61000061035156,88.47000122070312,86.12000274658203,88.47000122070312,33333800.0
2008-03-19,87.80999755859375,84.43000030517578,84.3499984741211,88.5,35073600.0
2008-03-20,84.18000030517578,85.0,82.75,85.41000366210938,44962400.0
2008-03-24,85.16999816894531,85.94999694824219,85.04000091552734,86.94999694824219,22339200.0
2008-03-25,86.26000213623047,85.19999694824219,84.33000183105469,86.37999725341797,27080200.0
2008-03-26,85.2300033569336,86.26000213623047,84.91000366210938,87.0,23024000.0
2008-03-27,86.81999969482422,86.19999694824219,86.06999969482422,87.5,21760300.0
2008-03-28,86.05000305175781,85.22000122070312,85.0,87.08000183105469,21672600.0
2008-03-31,85.69000244140625,84.58000183105469,84.58000183105469,86.37999725341797,36842400.0
2008-04-01,84.80000305175781,87.0199966430664,84.26000213623047,87.04000091552734,23961500.0
2008-04-02,86.8499984741211,88.5199966430664,86.69000244140625,89.12000274658203,23236000.0
2008-04-03,88.0,88.2300033569336,87.9000015258789,89.37999725341797,20083800.0
