Date,psxopen,psxclose,psxlow,psxhigh,psxvolume
2012-04-12,33.25,34.0,32.0,34.209999084472656,654700.0
2012-04-13,34.0,37.0,33.90999984741211,37.45000076293945,1685000.0
2012-04-16,37.0,36.54999923706055,35.9900016784668,37.0,550200.0
2012-04-17,36.400001525878906,36.0,36.0,36.75,179600.0
2012-04-18,36.0,36.0,34.5,36.439998626708984,207100.0
2012-04-19,36.0,36.0,35.79999923706055,37.220001220703125,598100.0
2012-04-20,36.099998474121094,36.31999969482422,36.099998474121094,37.0,149700.0
2012-04-23,36.2400016784668,35.68000030517578,35.41999816894531,36.2400016784668,95700.0
2012-04-24,36.0,34.75,34.68000030517578,36.0,124500.0
2012-04-25,34.79999923706055,34.75,34.5,35.5,266200.0
2012-04-26,34.61000061035156,34.95000076293945,34.439998626708984,34.9900016784668,183900.0
2012-04-27,35.25,34.11000061035156,33.970001220703125,35.25,536000.0
2012-04-30,34.34000015258789,34.04999923706055,34.0,34.900001525878906,4105700.0
2012-05-01,33.7400016784668,32.7599983215332,32.58000183105469,34.099998474121094,6878600.0
2012-05-02,32.599998474121094,32.0,31.6299991607666,32.66999816894531,11287600.0
2012-05-03,31.93000030517578,31.389999389648438,31.049999237060547,31.979999542236328,11800000.0
2012-05-04,30.850000381469727,30.15999984741211,30.1200008392334,31.09000015258789,10881000.0
2012-05-07,30.100000381469727,29.350000381469727,29.25,30.549999237060547,12257200.0
2012-05-08,29.09000015258789,30.100000381469727,28.75,30.40999984741211,14601300.0
2012-05-09,29.809999465942383,32.4900016784668,29.729999542236328,32.88999938964844,13990000.0
2012-05-10,33.04999923706055,32.47999954223633,31.520000457763672,33.349998474121094,8862000.0
2012-05-11,31.729999542236328,31.829999923706055,31.399999618530273,32.150001525878906,4460100.0
2012-05-14,31.190000534057617,31.31999969482422,30.770000457763672,31.579999923706055,6398200.0
2012-05-15,31.350000381469727,31.670000076293945,31.059999465942383,32.31999969482422,6362800.0
2012-05-16,31.459999084472656,32.099998474121094,31.25,32.38999938964844,6118600.0
2012-05-17,31.889999389648438,31.260000228881836,31.200000762939453,32.0,5850500.0
2012-05-18,31.43000030517578,31.3799991607666,30.989999771118164,31.690000534057617,7940800.0
2012-05-21,31.229999542236328,32.189998626708984,30.950000762939453,32.34000015258789,5480100.0
2012-05-22,31.8799991607666,31.6299991607666,31.329999923706055,32.27000045776367,5415000.0
2012-05-23,31.350000381469727,31.40999984741211,30.8799991607666,31.489999771118164,5268900.0
2012-05-24,31.420000076293945,31.1299991607666,30.75,31.440000534057617,4210400.0
2012-05-25,31.010000228881836,31.299999237060547,30.829999923706055,31.40999984741211,3217900.0
2012-05-29,31.280000686645508,31.010000228881836,30.860000610351562,31.719999313354492,3979600.0
2012-05-30,30.790000915527344,30.440000534057617,30.18000030517578,30.829999923706055,6000600.0
2012-05-31,30.260000228881836,30.030000686645508,29.719999313354492,30.350000381469727,8098000.0
2012-06-01,29.5,29.920000076293945,29.3799991607666,30.170000076293945,5701700.0
2012-06-04,29.299999237060547,29.530000686645508,29.25,30.190000534057617,4844900.0
2012-06-05,29.3700008392334,29.899999618530273,29.31999969482422,30.100000381469727,4046500.0
2012-06-06,30.030000686645508,31.530000686645508,29.81999969482422,32.0,8609400.0
2012-06-07,32.06999969482422,31.829999923706055,31.739999771118164,32.75,7694300.0
