Date,tgloopen,tgloclose,tglolow,tglohigh,tglovolume
2008-01-02,0.00800000037997961,0.006000000052154064,0.004999999888241291,0.00800000037997961,80450.0
2008-01-03,0.00800000037997961,0.007000000216066837,0.006000000052154064,0.00800000037997961,93500.0
2008-01-04,0.007000000216066837,0.00800000037997961,0.007000000216066837,0.00800000037997961,1320.0
2008-01-07,0.00800000037997961,0.00800000037997961,0.00800000037997961,0.008500000461935997,125700.0
2008-01-08,0.008500000461935997,0.00800000037997961,0.00800000037997961,0.008500000461935997,50250.0
2008-01-09,0.008500000461935997,0.008500000461935997,0.008500000461935997,0.008500000461935997,22726.0
2008-01-10,0.00800000037997961,0.008999999612569809,0.00800000037997961,0.008999999612569809,60000.0
2008-01-11,0.007000000216066837,0.007000000216066837,0.007000000216066837,0.007000000216066837,0.0
2008-01-14,0.008999999612569809,0.010999999940395355,0.007000000216066837,0.010999999940395355,422415.0
2008-01-15,0.010999999940395355,0.009999999776482582,0.009999999776482582,0.013000000268220901,375100.0
2008-01-16,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.013000000268220901,191200.0
2008-01-17,0.008999999612569809,0.009999999776482582,0.008999999612569809,0.009999999776482582,8344.0
2008-01-18,0.00800000037997961,0.013000000268220901,0.00800000037997961,0.013000000268220901,111707.0
2008-01-22,0.013000000268220901,0.00800000037997961,0.00800000037997961,0.013000000268220901,8700.0
2008-01-23,0.00800000037997961,0.00800000037997961,0.00800000037997961,0.00800000037997961,0.0
2008-01-24,0.009999999776482582,0.017000000923871994,0.009999999776482582,0.019999999552965164,390147.0
2008-01-25,0.019999999552965164,0.014000000432133675,0.014000000432133675,0.019999999552965164,47900.0
2008-01-28,0.014000000432133675,0.019999999552965164,0.013100000098347664,0.019999999552965164,37300.0
2008-01-29,0.019999999552965164,0.029999999329447746,0.019999999552965164,0.029999999329447746,263900.0
2008-01-30,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.029999999329447746,39200.0
2008-01-31,0.020999999716877937,0.020999999716877937,0.020999999716877937,0.020999999716877937,0.0
2008-02-01,0.02500000037252903,0.026000000536441803,0.019999999552965164,0.026000000536441803,40000.0
2008-02-04,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.02800000086426735,93485.0
2008-02-05,0.020999999716877937,0.020999999716877937,0.020999999716877937,0.020999999716877937,100.0
2008-02-06,0.02800000086426735,0.02800000086426735,0.02500000037252903,0.02800000086426735,5200.0
2008-02-07,0.02500000037252903,0.02199999988079071,0.019999999552965164,0.02800000086426735,32031.0
2008-02-08,0.02199999988079071,0.019999999552965164,0.019999999552965164,0.02199999988079071,50000.0
2008-02-11,0.02500000037252903,0.019999999552965164,0.013000000268220901,0.02500000037252903,276800.0
2008-02-12,0.014999999664723873,0.014999999664723873,0.014999999664723873,0.014999999664723873,35017.0
2008-02-13,0.019999999552965164,0.010999999940395355,0.010999999940395355,0.019999999552965164,186500.0
2008-02-14,0.017000000923871994,0.027000000700354576,0.017000000923871994,0.027000000700354576,302350.0
2008-02-15,0.014999999664723873,0.01899999938905239,0.010999999940395355,0.02500000037252903,265999.0
2008-02-19,0.02199999988079071,0.01600000075995922,0.01600000075995922,0.02199999988079071,3288.0
2008-02-20,0.02199999988079071,0.019999999552965164,0.01549999974668026,0.02199999988079071,116000.0
2008-02-21,0.02199999988079071,0.023000000044703484,0.019999999552965164,0.023000000044703484,119100.0
2008-02-22,0.020999999716877937,0.020999999716877937,0.020999999716877937,0.02500000037252903,100.0
2008-02-25,0.020999999716877937,0.020999999716877937,0.020999999716877937,0.02500000037252903,7800.0
2008-02-26,0.020999999716877937,0.020999999716877937,0.020999999716877937,0.020999999716877937,10000.0
2008-02-27,0.019999999552965164,0.020999999716877937,0.019999999552965164,0.0210999995470047,54662.0
2008-02-28,0.020999999716877937,0.0210999995470047,0.020999999716877937,0.0210999995470047,2500.0
2008-03-03,0.02500000037252903,0.02500000037252903,0.02500000037252903,0.02500000037252903,70000.0
2008-03-04,0.020999999716877937,0.02500000037252903,0.020999999716877937,0.02500000037252903,51000.0
2008-03-05,0.023000000044703484,0.023000000044703484,0.02199999988079071,0.023000000044703484,15700.0
2008-03-06,0.023000000044703484,0.02500000037252903,0.023000000044703484,0.02500000037252903,60960.0
2008-03-07,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,259600.0
2008-03-10,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,31300.0
2008-03-11,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,300.0
2008-03-12,0.014999999664723873,0.01600000075995922,0.014999999664723873,0.01600000075995922,6254.0
2008-03-13,0.01600000075995922,0.01600000075995922,0.01600000075995922,0.01600000075995922,140.0
2008-03-14,0.01600000075995922,0.01600000075995922,0.01600000075995922,0.01600000075995922,0.0
2008-03-17,0.014999999664723873,0.01600000075995922,0.014999999664723873,0.01600000075995922,50900.0
2008-03-18,0.01600000075995922,0.01600000075995922,0.01600000075995922,0.01600000075995922,3378.0
2008-03-19,0.014999999664723873,0.01600000075995922,0.014999999664723873,0.01600000075995922,900.0
2008-03-20,0.014999999664723873,0.014999999664723873,0.014999999664723873,0.014999999664723873,300.0
2008-03-24,0.014999999664723873,0.01600000075995922,0.014999999664723873,0.019999999552965164,6200.0
2008-03-25,0.019999999552965164,0.029999999329447746,0.019999999552965164,0.029999999329447746,104200.0
2008-03-26,0.029999999329447746,0.029999999329447746,0.019999999552965164,0.029999999329447746,76100.0
