Date,bspmopen,bspmclose,bspmlow,bspmhigh,bspmvolume
2009-12-29,81.9000015258789,92.4000015258789,79.80000305175781,92.4000015258789,27800.0
2009-12-30,91.9800033569336,93.44999694824219,87.77999877929688,98.69999694824219,9400.0
2009-12-31,94.5,93.44999694824219,89.66999816894531,94.5,4200.0
2010-01-04,98.91000366210938,94.5,90.30000305175781,98.91000366210938,15300.0
2010-01-05,99.75,91.7699966430664,91.3499984741211,99.75,9800.0
2010-01-06,93.02999877929688,89.25,87.1500015258789,93.02999877929688,18100.0
2010-01-07,87.56999969482422,89.04000091552734,86.30999755859375,90.30000305175781,13700.0
2010-01-08,88.83000183105469,87.98999786376953,86.30999755859375,90.30000305175781,8300.0
2010-01-11,87.56999969482422,93.66000366210938,86.5199966430664,96.38999938964844,15200.0
2010-01-12,93.23999786376953,91.9800033569336,87.98999786376953,93.23999786376953,30500.0
2010-01-13,91.55999755859375,89.25,87.56999969482422,91.55999755859375,25900.0
2010-01-14,88.83000183105469,92.19000244140625,87.77999877929688,92.19000244140625,17400.0
2010-01-15,92.19000244140625,94.08000183105469,87.56999969482422,95.55000305175781,8300.0
2010-01-19,94.29000091552734,96.5999984741211,87.77999877929688,98.69999694824219,15500.0
2010-01-20,96.5999984741211,92.61000061035156,90.30000305175781,96.5999984741211,5900.0
2010-01-21,92.4000015258789,87.1500015258789,86.30999755859375,94.08000183105469,9400.0
2010-01-22,87.1500015258789,81.9000015258789,77.69999694824219,87.1500015258789,13000.0
2010-01-25,82.94999694824219,79.80000305175781,77.06999969482422,82.94999694824219,9300.0
2010-01-26,78.75,77.69999694824219,73.5,79.80000305175781,8500.0
2010-01-27,73.91999816894531,74.55000305175781,68.25,75.18000030517578,19100.0
2010-01-28,74.55000305175781,71.4000015258789,68.45999908447266,77.69999694824219,12500.0
2010-01-29,70.3499984741211,69.30000305175781,68.25,75.18000030517578,8000.0
2010-02-01,69.72000122070312,75.5999984741211,69.30000305175781,75.5999984741211,7200.0
2010-02-02,75.5999984741211,80.8499984741211,74.12999725341797,80.8499984741211,10800.0
2010-02-03,82.52999877929688,79.80000305175781,77.91000366210938,82.52999877929688,6100.0
2010-02-04,78.54000091552734,73.5,71.4000015258789,78.54000091552734,7400.0
2010-02-05,72.02999877929688,72.44999694824219,65.94000244140625,73.5,11500.0
2010-02-08,72.23999786376953,71.4000015258789,70.3499984741211,74.55000305175781,1700.0
2010-02-09,70.3499984741211,73.5,70.3499984741211,75.18000030517578,3100.0
2010-02-10,73.5,79.37999725341797,73.5,79.80000305175781,1900.0
2010-02-11,78.75,82.94999694824219,77.48999786376953,82.94999694824219,2700.0
2010-02-12,83.58000183105469,80.8499984741211,77.69999694824219,83.58000183105469,1800.0
2010-02-16,81.9000015258789,82.31999969482422,75.18000030517578,83.58000183105469,1700.0
2010-02-17,82.31999969482422,81.4800033569336,78.33000183105469,82.31999969482422,900.0
2010-02-18,81.4800033569336,83.79000091552734,80.43000030517578,83.79000091552734,2600.0
2010-02-19,82.94999694824219,81.9000015258789,80.22000122070312,82.94999694824219,1200.0
2010-02-22,81.9000015258789,81.05999755859375,79.80000305175781,81.9000015258789,2900.0
2010-02-23,81.2699966430664,82.31999969482422,79.80000305175781,82.94999694824219,3300.0
2010-02-24,81.9000015258789,84.0,77.91000366210938,84.0,4400.0
2010-02-25,84.0,81.9000015258789,79.80000305175781,86.0999984741211,4500.0
2010-02-26,81.05999755859375,74.76000213623047,74.55000305175781,81.05999755859375,10600.0
2010-03-01,75.5999984741211,71.4000015258789,69.93000030517578,75.5999984741211,9800.0
2010-03-02,69.93000030517578,70.7699966430664,69.93000030517578,71.61000061035156,8600.0
2010-03-03,74.33999633789062,72.66000366210938,70.9800033569336,76.2300033569336,7000.0
2010-03-04,73.5,73.5,72.23999786376953,73.5,1100.0
2010-03-05,74.12999725341797,73.29000091552734,69.51000213623047,74.12999725341797,4500.0
2010-03-08,73.29000091552734,72.87000274658203,72.44999694824219,75.38999938964844,5400.0
2010-03-09,73.5,73.70999908447266,72.87000274658203,74.76000213623047,3900.0
2010-03-10,74.33999633789062,78.75,74.12999725341797,78.75,5600.0
2010-03-11,79.80000305175781,84.0,78.95999908447266,84.0,8500.0
2010-03-12,83.16000366210938,85.05000305175781,81.9000015258789,85.05000305175781,4900.0
2010-03-15,86.0999984741211,84.83999633789062,84.0,89.25,8600.0
2010-03-16,85.26000213623047,85.47000122070312,81.9000015258789,85.47000122070312,4900.0
2010-03-17,85.05000305175781,84.83999633789062,81.9000015258789,86.7300033569336,4800.0
2010-03-18,85.05000305175781,85.05000305175781,81.69000244140625,85.05000305175781,2300.0
2010-03-19,85.05000305175781,85.05000305175781,83.37000274658203,86.94000244140625,2800.0
2010-03-22,84.62999725341797,83.58000183105469,81.69000244140625,84.62999725341797,1900.0
2010-03-23,83.16000366210938,83.58000183105469,78.75,83.79000091552734,3400.0
2010-03-24,82.94999694824219,81.9000015258789,80.01000213623047,82.94999694824219,1100.0
2010-03-25,80.8499984741211,81.4800033569336,80.22000122070312,81.4800033569336,800.0
2010-03-26,81.9000015258789,81.4800033569336,79.37999725341797,83.37000274658203,3900.0
2010-03-29,81.69000244140625,82.94999694824219,81.4800033569336,86.0999984741211,8600.0
2010-03-30,84.0,85.05000305175781,82.94999694824219,85.68000030517578,9900.0
2010-03-31,94.29000091552734,87.56999969482422,86.0999984741211,94.29000091552734,15400.0
2010-04-01,87.56999969482422,80.8499984741211,77.06999969482422,89.04000091552734,27000.0
