Date,ultaopen,ultaclose,ultalow,ultahigh,ultavolume
2008-01-02,17.0,16.549999237060547,16.229999542236328,17.100000381469727,213100.0
2008-01-03,16.239999771118164,15.5,15.050000190734863,16.860000610351562,296500.0
2008-01-04,15.75,14.489999771118164,14.489999771118164,15.75,334400.0
2008-01-07,14.5600004196167,12.520000457763672,11.829999923706055,14.75,993300.0
2008-01-08,12.800000190734863,13.550000190734863,12.350000381469727,13.75,704000.0
2008-01-09,13.489999771118164,14.5,13.390000343322754,14.5,1019800.0
2008-01-10,14.350000381469727,16.06999969482422,14.350000381469727,16.260000228881836,1232700.0
2008-01-11,15.699999809265137,15.800000190734863,15.210000038146973,16.0,417800.0
2008-01-14,15.770000457763672,16.049999237060547,15.579999923706055,16.40999984741211,237900.0
2008-01-15,15.649999618530273,15.609999656677246,15.579999923706055,16.059999465942383,291600.0
2008-01-16,15.600000381469727,15.90999984741211,15.59000015258789,16.329999923706055,297100.0
2008-01-17,15.829999923706055,14.760000228881836,14.390000343322754,15.920000076293945,188900.0
2008-01-18,14.65999984741211,12.5,12.0,14.739999771118164,951100.0
2008-01-22,12.0,12.579999923706055,11.779999732971191,12.859999656677246,1503700.0
2008-01-23,12.279999732971191,14.25,12.270000457763672,14.5,391700.0
2008-01-24,14.300000190734863,14.300000190734863,13.989999771118164,14.550000190734863,579400.0
2008-01-25,14.529999732971191,15.1899995803833,14.25,15.680000305175781,340200.0
2008-01-28,15.109999656677246,15.5,14.829999923706055,15.760000228881836,212400.0
2008-01-29,15.5,16.350000381469727,15.140000343322754,16.600000381469727,233900.0
2008-01-30,16.110000610351562,15.550000190734863,15.489999771118164,16.530000686645508,330100.0
2008-01-31,15.399999618530273,15.239999771118164,15.210000038146973,15.770000457763672,281700.0
2008-02-01,15.550000190734863,14.75,14.100000381469727,15.680000305175781,375000.0
2008-02-04,14.630000114440918,14.029999732971191,13.880000114440918,14.880000114440918,189300.0
2008-02-05,13.710000038146973,14.0,13.6899995803833,14.1899995803833,166000.0
2008-02-06,14.039999961853027,14.199999809265137,14.0,14.75,92200.0
2008-02-07,14.149999618530273,15.920000076293945,13.930000305175781,16.25,243500.0
2008-02-08,15.75,15.550000190734863,15.119999885559082,15.779999732971191,395700.0
2008-02-11,15.550000190734863,15.09000015258789,14.789999961853027,15.600000381469727,125200.0
2008-02-12,15.140000343322754,14.90999984741211,14.800000190734863,15.859999656677246,123600.0
2008-02-13,15.020000457763672,14.930000305175781,14.5,15.079999923706055,147500.0
2008-02-14,14.989999771118164,14.789999961853027,14.329999923706055,15.09000015258789,174500.0
2008-02-15,14.739999771118164,14.789999961853027,14.4399995803833,14.789999961853027,67100.0
2008-02-19,15.050000190734863,14.779999732971191,14.75,16.040000915527344,119400.0
2008-02-20,14.739999771118164,14.920000076293945,14.399999618530273,15.0,72300.0
2008-02-21,15.0600004196167,14.779999732971191,14.760000228881836,15.529999732971191,123600.0
2008-02-22,14.789999961853027,14.0,13.489999771118164,14.880000114440918,155300.0
2008-02-25,14.279999732971191,14.149999618530273,13.899999618530273,14.300000190734863,275300.0
2008-02-26,14.079999923706055,15.170000076293945,14.079999923706055,15.479999542236328,141400.0
2008-02-27,14.960000038146973,14.819999694824219,14.640000343322754,14.960000038146973,106500.0
2008-02-28,15.039999961853027,14.619999885559082,14.579999923706055,15.050000190734863,192500.0
2008-02-29,14.5,14.010000228881836,13.789999961853027,14.680000305175781,155900.0
2008-03-03,14.25,14.75,14.25,15.100000381469727,269600.0
2008-03-04,14.569999694824219,14.319999694824219,14.029999732971191,14.9399995803833,65800.0
2008-03-05,14.420000076293945,14.4399995803833,14.079999923706055,14.789999961853027,110300.0
2008-03-06,14.34000015258789,14.300000190734863,14.0,14.449999809265137,121400.0
2008-03-07,14.09000015258789,13.479999542236328,13.420000076293945,14.3100004196167,118000.0
2008-03-10,13.5,12.6899995803833,12.5,13.65999984741211,228700.0
2008-03-11,13.039999961853027,12.819999694824219,12.729999542236328,13.350000381469727,137900.0
2008-03-12,12.859999656677246,12.220000267028809,12.140000343322754,13.149999618530273,176800.0
2008-03-13,12.0,10.489999771118164,10.4399995803833,12.0,271200.0
2008-03-14,10.800000190734863,10.699999809265137,10.079999923706055,11.0,691500.0
2008-03-17,10.149999618530273,11.279999732971191,10.140000343322754,11.510000228881836,175300.0
2008-03-18,11.699999809265137,11.800000190734863,11.0,11.930000305175781,255000.0
2008-03-19,12.0,11.5,11.460000038146973,12.260000228881836,240100.0
2008-03-20,10.710000038146973,12.779999732971191,10.350000381469727,13.350000381469727,745900.0
2008-03-24,13.029999732971191,13.989999771118164,12.510000228881836,14.960000038146973,205600.0
2008-03-25,13.880000114440918,15.020000457763672,13.880000114440918,17.1200008392334,390100.0
2008-03-26,14.890000343322754,14.649999618530273,14.289999961853027,14.890000343322754,131500.0
2008-03-27,14.729999542236328,14.470000267028809,13.899999618530273,14.729999542236328,113700.0
2008-03-28,14.399999618530273,14.020000457763672,14.020000457763672,14.65999984741211,147100.0
2008-03-31,14.15999984741211,14.039999961853027,13.630000114440918,14.460000038146973,163600.0
2008-04-01,14.0,14.319999694824219,14.0,14.84000015258789,266200.0
2008-04-02,14.350000381469727,13.979999542236328,13.979999542236328,14.479999542236328,142900.0
2008-04-03,13.8100004196167,14.069999694824219,13.8100004196167,14.149999618530273,100800.0
2008-04-04,14.109999656677246,13.819999694824219,13.5,14.109999656677246,133300.0
2008-04-07,13.890000343322754,13.520000457763672,13.489999771118164,14.029999732971191,95000.0
2008-04-08,13.319999694824219,14.180000305175781,13.319999694824219,14.899999618530273,194600.0
