Date,acrxopen,acrxclose,acrxlow,acrxhigh,acrxvolume
2011-02-11,5.0,4.550000190734863,4.510000228881836,5.090000152587891,1899700
2011-02-14,4.53000020980835,4.380000114440918,4.349999904632568,4.730000019073486,66300
2011-02-15,4.5,4.309999942779541,4.079999923706055,4.5,37400
2011-02-16,4.369999885559082,4.239999771118164,4.150000095367432,4.369999885559082,9500
2011-02-17,4.139999866485596,3.8499999046325684,3.8499999046325684,4.21999979019165,60000
2011-02-18,3.809999942779541,3.6500000953674316,3.6500000953674316,3.9700000286102295,110800
2011-02-22,3.700000047683716,3.859999895095825,3.700000047683716,4.090000152587891,51600
2011-02-23,4.0,3.9600000381469727,3.75,4.269999980926514,34900
2011-02-24,4.0,3.75,3.6500000953674316,4.0,32700
2011-02-25,3.619999885559082,3.5899999141693115,3.559999942779541,3.75,9600
2011-02-28,3.940000057220459,3.619999885559082,3.5999999046325684,3.940000057220459,37700
2011-03-01,3.690000057220459,3.5899999141693115,3.559999942779541,3.700000047683716,76400
2011-03-02,3.569999933242798,3.450000047683716,3.450000047683716,3.680000066757202,25100
2011-03-03,3.4600000381469727,3.4000000953674316,3.25,3.4600000381469727,51900
2011-03-04,3.3499999046325684,3.299999952316284,3.25,3.4200000762939453,41900
2011-03-07,3.359999895095825,3.0899999141693115,3.0899999141693115,3.359999895095825,35500
2011-03-08,3.130000114440918,3.109999895095825,2.990000009536743,3.240000009536743,34100
2011-03-09,3.119999885559082,3.5,3.119999885559082,3.859999895095825,115900
2011-03-10,3.4600000381469727,3.25,3.25,3.630000114440918,36100
2011-03-11,3.490000009536743,3.1700000762939453,3.059999942779541,3.490000009536743,3500
2011-03-14,3.190000057220459,3.299999952316284,3.190000057220459,3.299999952316284,1000
2011-03-15,3.359999895095825,3.490000009536743,3.299999952316284,3.5399999618530273,13200
2011-03-16,3.549999952316284,3.509999990463257,3.240000009536743,3.700000047683716,17000
2011-03-17,3.359999895095825,3.430000066757202,3.3499999046325684,3.430000066757202,4900
2011-03-18,3.4200000762939453,3.119999885559082,3.119999885559082,3.4200000762939453,15600
2011-03-21,3.2799999713897705,3.5899999141693115,3.1600000858306885,3.5999999046325684,48700
2011-03-22,3.6500000953674316,3.390000104904175,3.390000104904175,3.6500000953674316,4500
2011-03-23,3.559999942779541,3.3299999237060547,2.9700000286102295,3.559999942779541,68400
2011-03-24,3.4200000762939453,3.369999885559082,3.369999885559082,3.490000009536743,5400
2011-03-25,3.359999895095825,3.4700000286102295,3.359999895095825,3.4700000286102295,14300
2011-03-28,3.569999933242798,3.5799999237060547,3.5,3.5799999237060547,3300
2011-03-29,3.6500000953674316,3.5399999618530273,3.440000057220459,3.6500000953674316,20400
2011-03-30,3.5899999141693115,3.4200000762939453,3.4100000858306885,3.640000104904175,15900
2011-03-31,3.4200000762939453,3.430000066757202,3.3299999237060547,3.5899999141693115,14400
2011-04-01,3.5,3.380000114440918,3.380000114440918,3.509999990463257,5300
2011-04-04,3.3499999046325684,3.3499999046325684,3.119999885559082,3.450000047683716,25900
2011-04-05,3.2300000190734863,3.25,3.2200000286102295,3.2899999618530273,5000
2011-04-06,3.299999952316284,3.380000114440918,3.299999952316284,3.380000114440918,7500
2011-04-07,3.4100000858306885,3.299999952316284,3.299999952316284,3.4100000858306885,8200
2011-04-08,3.299999952316284,3.2200000286102295,3.2200000286102295,3.299999952316284,2700
2011-04-11,3.2899999618530273,3.25,3.2100000381469727,3.299999952316284,11000
2011-04-12,3.25,3.25,3.2300000190734863,3.299999952316284,4200
2011-04-13,3.2899999618530273,3.25,3.25,3.299999952316284,2900
2011-04-14,3.25,3.119999885559082,3.0999999046325684,3.25,6700
2011-04-15,3.2100000381469727,3.1500000953674316,3.1500000953674316,3.2100000381469727,1800
2011-04-18,3.2100000381469727,3.140000104904175,3.0299999713897705,3.2100000381469727,16300
2011-04-19,3.25,3.0199999809265137,3.0199999809265137,3.25,4900
2011-04-20,3.0,3.059999942779541,2.9000000953674316,3.180000066757202,9500
2011-04-21,3.2699999809265137,3.119999885559082,3.119999885559082,3.2799999713897705,2000
