Date,lglopen,lglclose,lgllow,lglhigh,lglvolume
2018-01-16,5.739999771118164,5.699999809265137,5.699999809265137,5.739999771118164,900
2018-01-17,5.699999809265137,5.71999979019165,5.699999809265137,5.739999771118164,700
2018-01-18,5.739999771118164,5.71999979019165,5.71999979019165,5.739999771118164,4700
2018-01-19,5.699999809265137,5.800000190734863,5.699999809265137,5.800000190734863,8900
2018-01-22,5.78000020980835,5.78000020980835,5.78000020980835,5.78000020980835,100
2018-01-23,5.699999809265137,5.699999809265137,5.699999809265137,5.730000019073486,2400
2018-01-24,5.699999809265137,5.730000019073486,5.699999809265137,5.769999980926514,2000
2018-01-25,5.730000019073486,5.730000019073486,5.730000019073486,5.730000019073486,0
2018-01-26,5.78000020980835,5.820000171661377,5.78000020980835,5.849999904632568,4600
2018-01-29,5.860000133514404,5.710000038146973,5.699999809265137,5.860000133514404,11900
2018-01-30,5.690000057220459,5.710000038146973,5.690000057220459,5.71999979019165,2700
2018-01-31,5.769999980926514,5.769999980926514,5.769999980926514,5.769999980926514,100
2018-02-01,5.769999980926514,5.769999980926514,5.769999980926514,5.769999980926514,0
2018-02-02,5.690000057220459,5.670000076293945,5.670000076293945,5.690000057220459,1300
2018-02-05,5.639999866485596,5.570000171661377,5.570000171661377,5.639999866485596,17100
2018-02-06,5.570000171661377,5.579999923706055,5.570000171661377,5.579999923706055,2400
2018-02-07,5.610000133514404,5.610000133514404,5.610000133514404,5.610000133514404,900
2018-02-08,5.619999885559082,5.599999904632568,5.599999904632568,5.619999885559082,2100
2018-02-09,5.599999904632568,5.539999961853027,5.53000020980835,5.599999904632568,4800
2018-02-12,5.570000171661377,5.579999923706055,5.53000020980835,5.579999923706055,3900
2018-02-13,5.539999961853027,5.53000020980835,5.510000228881836,5.579999923706055,5700
2018-02-14,5.539999961853027,5.539999961853027,5.519999980926514,5.539999961853027,5300
2018-02-15,5.53000020980835,5.550000190734863,5.53000020980835,5.670000076293945,31200
2018-02-16,5.519999980926514,5.510000228881836,5.510000228881836,5.53000020980835,4000
2018-02-20,5.510000228881836,5.440000057220459,5.400000095367432,5.510000228881836,18400
2018-02-21,5.440000057220459,5.440000057220459,5.440000057220459,5.460000038146973,3300
2018-02-22,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,100
2018-02-23,5.440000057220459,5.460000038146973,5.440000057220459,5.460000038146973,4200
2018-02-26,5.460000038146973,5.400000095367432,5.400000095367432,5.480000019073486,26900
2018-02-27,5.389999866485596,5.400000095367432,5.380000114440918,5.400000095367432,6300
2018-02-28,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,1200
2018-03-01,5.360000133514404,5.329999923706055,5.28000020980835,5.400000095367432,33800
2018-03-02,5.289999961853027,5.46999979019165,5.289999961853027,5.46999979019165,3600
2018-03-05,5.389999866485596,5.480000019073486,5.389999866485596,5.480000019073486,1400
2018-03-06,5.480000019073486,5.340000152587891,5.340000152587891,5.489999771118164,800
2018-03-07,5.46999979019165,5.320000171661377,5.320000171661377,5.489999771118164,1200
2018-03-08,5.389999866485596,5.389999866485596,5.389999866485596,5.389999866485596,200
2018-03-09,5.320000171661377,5.369999885559082,5.320000171661377,5.400000095367432,400
2018-03-12,5.340000152587891,5.289999961853027,5.289999961853027,5.340000152587891,1700
2018-03-13,5.300000190734863,5.309999942779541,5.289999961853027,5.349999904632568,4400
2018-03-14,5.340000152587891,5.309999942779541,5.309999942779541,5.340000152587891,700
2018-03-15,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,1000
2018-03-16,5.300000190734863,5.340000152587891,5.300000190734863,5.349999904632568,4200
2018-03-19,5.329999923706055,5.239999771118164,5.239999771118164,5.349999904632568,700
2018-03-20,5.239999771118164,5.239999771118164,5.239999771118164,5.239999771118164,400
2018-03-21,5.239999771118164,5.380000114440918,5.239999771118164,5.380000114440918,5100
2018-03-22,5.400000095367432,5.5,5.400000095367432,5.5,4900
2018-03-23,5.409999847412109,5.5,5.409999847412109,5.5,3900
2018-03-26,5.429999828338623,5.480000019073486,5.369999885559082,5.5,1900
2018-03-27,5.460000038146973,5.639999866485596,5.460000038146973,5.670000076293945,6200
2018-03-28,5.619999885559082,5.579999923706055,5.489999771118164,5.619999885559082,6700
2018-03-29,5.579999923706055,5.590000152587891,5.579999923706055,5.650000095367432,1000
2018-04-02,5.440000057220459,5.440000057220459,5.440000057220459,5.599999904632568,2400
2018-04-03,5.440000057220459,5.409999847412109,5.400000095367432,5.489999771118164,1300
2018-04-04,5.400000095367432,5.440000057220459,5.400000095367432,5.449999809265137,4700
2018-04-05,5.440000057220459,5.5,5.409999847412109,5.5,3200
2018-04-06,5.539999961853027,5.539999961853027,5.539999961853027,5.539999961853027,800
2018-04-09,5.550000190734863,5.329999923706055,5.329999923706055,5.559999942779541,2100
2018-04-10,5.400000095367432,5.349999904632568,5.349999904632568,5.400000095367432,3500
2018-04-11,5.400000095367432,5.369999885559082,5.360000133514404,5.489999771118164,6600
2018-04-12,5.519999980926514,5.53000020980835,5.519999980926514,5.53000020980835,200
2018-04-13,5.5,5.510000228881836,5.5,5.53000020980835,8400
2018-04-16,5.539999961853027,5.539999961853027,5.480000019073486,5.550000190734863,1600
2018-04-17,5.53000020980835,5.53000020980835,5.53000020980835,5.53000020980835,200
2018-04-18,5.53000020980835,5.5,5.5,5.53000020980835,1100
2018-04-19,5.5,5.480000019073486,5.480000019073486,5.5,600
2018-04-20,5.449999809265137,5.449999809265137,5.449999809265137,5.449999809265137,900
2018-04-23,5.400000095367432,5.449999809265137,5.400000095367432,5.449999809265137,1800
2018-04-24,5.400000095367432,5.400000095367432,5.400000095367432,5.409999847412109,1200
2018-04-25,5.449999809265137,5.449999809265137,5.449999809265137,5.449999809265137,3300
2018-04-26,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,13500
2018-04-27,5.539999961853027,5.449999809265137,5.449999809265137,5.539999961853027,300
2018-04-30,5.449999809265137,5.449999809265137,5.449999809265137,5.449999809265137,0
2018-05-01,5.340000152587891,5.340000152587891,5.309999942779541,5.519999980926514,28600
2018-05-02,5.309999942779541,5.289999961853027,5.28000020980835,5.320000171661377,3600
2018-05-03,5.289999961853027,5.289999961853027,5.289999961853027,5.289999961853027,0
2018-05-04,5.289999961853027,5.289999961853027,5.289999961853027,5.289999961853027,500
2018-05-07,5.289999961853027,5.289999961853027,5.289999961853027,5.289999961853027,600
2018-05-08,5.269999980926514,5.300000190734863,5.260000228881836,5.300000190734863,1800
2018-05-09,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,0
2018-05-10,5.25,5.320000171661377,5.230000019073486,5.320000171661377,1900
2018-05-11,5.449999809265137,5.449999809265137,5.420000076293945,5.489999771118164,10400
2018-05-14,5.550000190734863,5.409999847412109,5.360000133514404,5.550000190734863,1800
2018-05-15,5.360000133514404,5.360000133514404,5.349999904632568,5.46999979019165,1900
2018-05-16,5.360000133514404,5.380000114440918,5.349999904632568,5.539999961853027,5100
2018-05-17,5.380000114440918,5.380000114440918,5.380000114440918,5.380000114440918,0
2018-05-18,5.380000114440918,5.539999961853027,5.380000114440918,5.559999942779541,2600
2018-05-21,5.550000190734863,5.449999809265137,5.449999809265137,5.590000152587891,4200
2018-05-22,5.389999866485596,5.429999828338623,5.389999866485596,5.46999979019165,16400
2018-05-23,5.409999847412109,5.489999771118164,5.349999904632568,5.5,11000
2018-05-24,5.360000133514404,5.440000057220459,5.349999904632568,5.480000019073486,8900
2018-05-25,5.340000152587891,5.380000114440918,5.309999942779541,5.429999828338623,6400
2018-05-29,5.409999847412109,5.409999847412109,5.409999847412109,5.420000076293945,700
2018-05-30,5.389999866485596,5.349999904632568,5.340000152587891,5.409999847412109,12900
2018-05-31,5.349999904632568,5.349999904632568,5.320000171661377,5.349999904632568,21400
2018-06-01,5.349999904632568,5.349999904632568,5.309999942779541,5.349999904632568,6000
2018-06-04,5.349999904632568,5.349999904632568,5.320000171661377,5.349999904632568,12700
2018-06-05,5.349999904632568,5.400000095367432,5.329999923706055,5.440000057220459,8400
2018-06-06,5.400000095367432,5.329999923706055,5.329999923706055,5.400000095367432,2100
2018-06-07,5.389999866485596,5.400000095367432,5.389999866485596,5.400000095367432,1200
2018-06-08,5.400000095367432,5.340000152587891,5.340000152587891,5.400000095367432,3400
2018-06-11,5.360000133514404,5.28000020980835,5.28000020980835,5.360000133514404,6600
2018-06-12,5.320000171661377,5.300000190734863,5.300000190734863,5.329999923706055,5900
2018-06-13,5.320000171661377,5.21999979019165,5.21999979019165,5.329999923706055,16800
2018-06-14,5.230000019073486,5.230000019073486,5.230000019073486,5.289999961853027,5300
