Date,ssntopen,ssntclose,ssntlow,ssnthigh,ssntvolume
2015-01-02,0.23000000417232513,0.23999999463558197,0.23000000417232513,0.23999999463558197,1600.0
2015-01-05,0.2800000011920929,0.2199999988079071,0.2199999988079071,0.2800000011920929,11300.0
2015-01-06,0.2800000011920929,0.25,0.25,0.2800000011920929,8300.0
2015-01-07,0.2800000011920929,0.27000001072883606,0.20000000298023224,0.2800000011920929,29100.0
2015-01-08,0.20000000298023224,0.27000001072883606,0.20000000298023224,0.27000001072883606,1300.0
2015-01-09,0.27000001072883606,0.25999999046325684,0.20999999344348907,0.27000001072883606,2900.0
2015-01-12,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1300.0
2015-01-13,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,500.0
2015-01-14,0.20000000298023224,0.20999999344348907,0.20000000298023224,0.23999999463558197,18700.0
2015-01-15,0.20000000298023224,0.20999999344348907,0.20000000298023224,0.23999999463558197,30000.0
2015-01-16,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,1000.0
2015-01-20,0.2199999988079071,0.23000000417232513,0.2199999988079071,0.23999999463558197,30800.0
2015-01-21,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.18000000715255737,14300.0
2015-01-22,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,13900.0
2015-01-23,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0
2015-01-26,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,1300.0
2015-01-27,0.15000000596046448,0.20000000298023224,0.15000000596046448,0.20000000298023224,10100.0
2015-01-28,0.23000000417232513,0.20000000298023224,0.20000000298023224,0.25,7200.0
2015-01-29,0.20000000298023224,0.20000000298023224,0.10000000149011612,0.20999999344348907,55900.0
2015-01-30,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,25000.0
2015-02-02,0.20000000298023224,0.20000000298023224,0.10999999940395355,0.20999999344348907,30000.0
2015-02-03,0.10000000149011612,0.1899999976158142,0.10000000149011612,0.20000000298023224,65300.0
2015-02-04,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.0
2015-02-05,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.0
2015-02-06,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.0
2015-02-09,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.0
2015-02-10,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.0
2015-02-11,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.0
2015-02-12,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.0
2015-02-13,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.0
2015-02-17,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.0
2015-02-18,5.5,5.5,5.5,5.5,400.0
2015-02-20,5.5,5.5,4.25,5.5,800.0
2015-02-23,5.0,5.449999809265137,5.0,5.449999809265137,600.0
2015-02-24,5.0,4.460000038146973,3.6500000953674316,5.0,1100.0
2015-02-25,4.460000038146973,4.460000038146973,4.460000038146973,4.460000038146973,0.0
2015-02-26,4.460000038146973,4.460000038146973,4.460000038146973,4.460000038146973,0.0
2015-02-27,4.460000038146973,4.460000038146973,4.460000038146973,4.460000038146973,0.0
2015-03-02,3.6500000953674316,5.349999904632568,3.6500000953674316,5.349999904632568,400.0
2015-03-03,6.0,6.0,6.0,6.0,300.0
2015-03-04,5.699999809265137,3.799999952316284,3.799999952316284,5.699999809265137,400.0
2015-03-05,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,800.0
2015-03-06,4.510000228881836,4.099999904632568,4.0,4.510000228881836,1200.0
2015-03-09,4.099999904632568,4.050000190734863,4.050000190734863,4.099999904632568,800.0
2015-03-10,4.099999904632568,4.0,4.0,4.199999809265137,1100.0
2015-03-12,3.799999952316284,3.799999952316284,3.799999952316284,4.0,5000.0
2015-03-13,3.9000000953674316,3.799999952316284,3.799999952316284,3.9000000953674316,1500.0
2015-03-16,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,400.0
2015-03-17,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,0.0
2015-03-18,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,0.0
2015-03-20,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,0.0
2015-03-23,3.799999952316284,3.5299999713897705,3.4100000858306885,3.799999952316284,1100.0
2015-03-24,3.4200000762939453,3.4200000762939453,3.4200000762939453,3.4200000762939453,600.0
2015-03-25,3.4200000762939453,3.259999990463257,3.259999990463257,3.5,3900.0
2015-03-26,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,200.0
2015-03-27,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,0.0
2015-03-30,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,0.0
2015-03-31,3.119999885559082,3.2899999618530273,3.0999999046325684,3.2899999618530273,1500.0
2015-04-01,3.2899999618530273,3.240000009536743,3.200000047683716,3.450000047683716,2800.0
2015-04-02,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,200.0
2015-04-06,3.259999990463257,3.259999990463257,3.259999990463257,3.259999990463257,1000.0
2015-04-07,3.5,3.1500000953674316,3.1500000953674316,3.5,1500.0
