Date,cmiopen,cmiclose,cmilow,cmihigh,cmivolume
2008-01-02,63.7400016784668,61.779998779296875,60.869998931884766,64.16500091552734,2840400.0
2008-01-03,62.220001220703125,62.880001068115234,62.08000183105469,64.05999755859375,1712400.0
2008-01-04,62.459999084472656,59.18000030517578,58.97999954223633,62.810001373291016,2543400.0
2008-01-07,59.650001525878906,57.369998931884766,56.810001373291016,59.650001525878906,2816900.0
2008-01-08,58.439998626708984,54.58000183105469,54.2599983215332,58.5,4246400.0
2008-01-09,54.34000015258789,51.97999954223633,49.869998931884766,54.34000015258789,6871100.0
2008-01-10,51.5,52.68000030517578,49.18000030517578,53.61000061035156,5520200.0
2008-01-11,51.310001373291016,49.560001373291016,49.290000915527344,51.5,2911500.0
2008-01-14,50.15999984741211,51.709999084472656,50.15999984741211,52.0,2390300.0
2008-01-15,51.16999816894531,47.939998626708984,47.61000061035156,51.16999816894531,3167300.0
2008-01-16,46.380001068115234,46.029998779296875,44.849998474121094,48.08000183105469,4181700.0
2008-01-17,46.11000061035156,43.119998931884766,42.880001068115234,47.75,4437100.0
2008-01-18,43.439998626708984,42.91999816894531,41.02000045776367,44.83000183105469,4393100.0
2008-01-22,38.86000061035156,42.619998931884766,38.11000061035156,43.279998779296875,3100600.0
2008-01-23,41.290000915527344,45.33000183105469,39.970001220703125,45.689998626708984,5890500.0
2008-01-24,45.58000183105469,46.20000076293945,45.18000030517578,47.06999969482422,3168400.0
2008-01-25,46.86000061035156,49.02000045776367,46.86000061035156,51.0,4563200.0
2008-01-28,49.970001220703125,50.5099983215332,48.4900016784668,50.66999816894531,2831600.0
2008-01-29,50.93000030517578,48.310001373291016,47.790000915527344,50.93000030517578,4039100.0
2008-01-30,48.20000076293945,48.52000045776367,47.18000030517578,50.68000030517578,3184500.0
2008-01-31,47.88999938964844,48.349998474121094,46.31999969482422,49.5,4731000.0
2008-02-01,46.0,46.939998626708984,45.029998779296875,49.47999954223633,7511500.0
2008-02-04,47.0,49.97999954223633,46.709999084472656,50.40999984741211,4339300.0
2008-02-05,49.189998626708984,47.619998931884766,47.619998931884766,49.65999984741211,4139500.0
2008-02-06,47.849998474121094,47.02000045776367,46.849998474121094,49.31999969482422,2887200.0
2008-02-07,46.849998474121094,48.13999938964844,46.400001525878906,48.689998626708984,2671000.0
2008-02-08,47.97999954223633,49.22999954223633,47.75,49.65999984741211,3691900.0
2008-02-11,49.91999816894531,50.959999084472656,48.93000030517578,51.130001068115234,2805200.0
2008-02-12,51.4900016784668,50.130001068115234,49.72999954223633,52.43000030517578,3436400.0
2008-02-13,50.61000061035156,52.38999938964844,50.61000061035156,52.900001525878906,2394500.0
2008-02-14,52.5099983215332,51.400001525878906,51.22999954223633,52.58000183105469,2950400.0
2008-02-15,51.560001373291016,51.18000030517578,49.599998474121094,51.560001373291016,2729400.0
2008-02-19,51.869998931884766,52.2400016784668,51.72999954223633,53.130001068115234,1955600.0
2008-02-20,51.349998474121094,52.77000045776367,50.90999984741211,53.11000061035156,1480400.0
2008-02-21,53.22999954223633,51.970001220703125,51.58000183105469,54.900001525878906,2284700.0
2008-02-22,52.290000915527344,53.439998626708984,51.279998779296875,53.58000183105469,2237400.0
2008-02-25,53.84000015258789,53.099998474121094,51.90999984741211,53.869998931884766,2726700.0
2008-02-26,52.88999938964844,53.400001525878906,51.59000015258789,53.720001220703125,2527300.0
2008-02-27,52.40999984741211,52.900001525878906,52.060001373291016,53.91999816894531,1647100.0
2008-02-28,52.619998931884766,52.810001373291016,51.5,52.849998474121094,2340500.0
2008-02-29,52.119998931884766,50.380001068115234,50.060001373291016,52.119998931884766,2540900.0
2008-03-03,50.220001220703125,51.0099983215332,50.0,51.58000183105469,2014500.0
2008-03-04,50.5,48.90999984741211,48.09000015258789,50.5,3354200.0
2008-03-05,48.400001525878906,49.560001373291016,48.400001525878906,50.31999969482422,2592500.0
2008-03-06,49.41999816894531,48.220001220703125,48.13999938964844,49.619998931884766,1595200.0
2008-03-07,47.91999816894531,46.13999938964844,45.47999954223633,47.91999816894531,4739200.0
2008-03-10,45.5099983215332,45.79999923706055,45.5099983215332,47.25,3502600.0
2008-03-11,47.150001525878906,49.529998779296875,46.84000015258789,49.529998779296875,2813200.0
2008-03-12,49.72999954223633,50.52000045776367,49.22999954223633,51.41999816894531,3039200.0
2008-03-13,49.40999984741211,51.04999923706055,48.2400016784668,51.349998474121094,2457200.0
2008-03-14,51.529998779296875,49.34000015258789,47.91999816894531,51.59000015258789,2720600.0
2008-03-17,48.060001373291016,48.150001525878906,46.529998779296875,49.040000915527344,2959700.0
2008-03-18,48.97999954223633,51.31999969482422,48.7599983215332,51.36000061035156,2471200.0
2008-03-19,51.060001373291016,49.209999084472656,49.209999084472656,52.40999984741211,2244300.0
2008-03-20,49.2599983215332,49.060001373291016,47.40999984741211,49.459999084472656,2853000.0
2008-03-24,49.369998931884766,51.09000015258789,49.279998779296875,51.5,1630800.0
2008-03-25,51.0099983215332,52.06999969482422,49.900001525878906,52.38999938964844,1689400.0
2008-03-26,51.810001373291016,50.060001373291016,49.529998779296875,51.900001525878906,2239600.0
2008-03-27,50.25,47.869998931884766,47.650001525878906,50.25,2718600.0
2008-03-28,48.20000076293945,47.52000045776367,47.279998779296875,49.0,2079200.0
2008-03-31,47.25,46.81999969482422,46.099998474121094,47.349998474121094,3151300.0
2008-04-01,47.36000061035156,49.439998626708984,47.04999923706055,49.439998626708984,2687300.0
2008-04-02,49.2400016784668,50.380001068115234,49.060001373291016,51.25,2443700.0
