Date,vmwopen,vmwclose,vmwlow,vmwhigh,vmwvolume
2008-01-02,85.48999786376953,84.5999984741211,83.11000061035156,85.9800033569336,1001800
2008-01-03,84.9000015258789,83.94999694824219,82.5,86.93000030517578,2115300
2008-01-04,82.0,80.48999786376953,79.52999877929688,82.88999938964844,1680300
2008-01-07,81.25,72.98999786376953,71.66000366210938,81.63999938964844,4609300
2008-01-08,74.01000213623047,74.5,73.58999633789062,79.5,2644200
2008-01-09,76.44000244140625,79.88999938964844,76.0199966430664,80.0,2959100
2008-01-10,79.19999694824219,80.30000305175781,77.63999938964844,82.43000030517578,1800700
2008-01-11,78.37999725341797,77.52999877929688,75.83000183105469,79.80000305175781,2109900
2008-01-14,79.98999786376953,82.23999786376953,78.33999633789062,83.26000213623047,1923500
2008-01-15,81.52999877929688,79.93000030517578,78.8499984741211,84.4000015258789,2408500
2008-01-16,78.33999633789062,83.5,77.0,83.69999694824219,2611600
2008-01-17,84.44999694824219,80.73999786376953,79.77999877929688,85.83999633789062,2676800
2008-01-18,81.5999984741211,81.2699966430664,78.0999984741211,82.75,2203800
2008-01-22,72.55999755859375,80.44999694824219,72.5,81.12999725341797,3600500
2008-01-23,76.83000183105469,77.51000213623047,75.1500015258789,79.0,3288700
2008-01-24,78.94999694824219,80.19999694824219,76.30000305175781,81.0,2497400
2008-01-25,83.94000244140625,80.55000305175781,79.58000183105469,83.94000244140625,2155500
2008-01-28,82.0,83.0,78.1500015258789,83.0,6138700
2008-01-29,58.04999923706055,54.869998931884766,54.5099983215332,59.79999923706055,21715900
2008-01-30,54.4900016784668,56.41999816894531,53.56999969482422,57.16999816894531,6063100
2008-01-31,55.599998474121094,56.66999816894531,55.52000045776367,57.349998474121094,2607800
2008-02-01,56.97999954223633,57.849998474121094,55.060001373291016,58.13999938964844,2489400
2008-02-04,58.0,58.04999923706055,56.90999984741211,60.470001220703125,1840300
2008-02-05,57.599998474121094,59.29999923706055,57.16999816894531,59.29999923706055,1711700
2008-02-06,60.31999969482422,61.52000045776367,59.5,62.0,2209700
2008-02-07,60.5,60.79999923706055,59.560001373291016,62.75,1521700
2008-02-08,60.900001525878906,60.27000045776367,60.06999969482422,61.38999938964844,956400
2008-02-11,61.220001220703125,61.41999816894531,60.900001525878906,62.2400016784668,1132600
2008-02-12,62.0,62.2599983215332,61.560001373291016,63.0,989000
2008-02-13,63.0,62.93000030517578,62.18000030517578,63.5,919500
2008-02-14,63.099998474121094,62.099998474121094,61.25,63.33000183105469,1333000
2008-02-15,61.20000076293945,59.810001373291016,59.25,62.56999969482422,1598200
2008-02-19,60.9900016784668,57.380001068115234,56.5,61.5,1685900
2008-02-20,56.22999954223633,59.45000076293945,56.22999954223633,59.83000183105469,913600
2008-02-21,59.459999084472656,57.90999984741211,57.5,60.0,1124000
2008-02-22,58.0,56.54999923706055,55.0,58.47999954223633,1449100
2008-02-25,56.54999923706055,58.290000915527344,56.0099983215332,58.599998474121094,907900
2008-02-26,59.29999923706055,60.18000030517578,57.43000030517578,60.70000076293945,2050400
2008-02-27,60.0,59.86000061035156,58.41999816894531,60.5,1285200
2008-02-28,59.790000915527344,59.95000076293945,59.15999984741211,60.959999084472656,984500
2008-02-29,59.2599983215332,58.66999816894531,58.31999969482422,59.95000076293945,842200
2008-03-03,58.2400016784668,55.810001373291016,55.15999984741211,58.529998779296875,1135300
2008-03-04,55.099998474121094,53.7599983215332,52.5,56.189998626708984,2195300
2008-03-05,54.0,54.56999969482422,53.0,54.900001525878906,1840700
2008-03-06,53.599998474121094,53.099998474121094,52.9900016784668,55.29999923706055,1303800
2008-03-07,52.369998931884766,51.45000076293945,50.29999923706055,54.849998474121094,1195000
2008-03-10,51.52000045776367,47.5099983215332,46.619998931884766,51.52000045776367,1962900
2008-03-11,48.83000183105469,48.0,46.95000076293945,50.0,1863400
2008-03-12,48.0,51.27000045776367,46.52000045776367,51.5,2405800
2008-03-13,50.84000015258789,52.119998931884766,49.65999984741211,55.09000015258789,1771900
2008-03-14,53.099998474121094,49.779998779296875,49.36000061035156,53.93000030517578,943500
2008-03-17,47.5,46.060001373291016,45.5,49.0,1847200
2008-03-18,46.810001373291016,46.65999984741211,44.650001525878906,48.58000183105469,2003100
2008-03-19,46.70000076293945,42.77000045776367,42.5,47.0,2436500
2008-03-20,42.40999984741211,45.119998931884766,41.40999984741211,45.5,2448400
2008-03-24,44.540000915527344,47.7599983215332,44.279998779296875,48.70000076293945,2534100
2008-03-25,48.4900016784668,50.08000183105469,46.5099983215332,50.689998626708984,2003500
2008-03-26,49.83000183105469,49.61000061035156,47.0,49.93000030517578,1293200
2008-03-27,49.720001220703125,46.380001068115234,45.5,49.95000076293945,2136300
2008-03-28,46.54999923706055,44.529998779296875,44.41999816894531,46.95000076293945,1381400
2008-03-31,43.88999938964844,42.81999969482422,42.5,44.40999984741211,2322200
2008-04-01,43.84000015258789,45.75,42.04999923706055,46.18000030517578,3060100
2008-04-02,46.0099983215332,43.68000030517578,43.060001373291016,46.619998931884766,1987300
2008-04-03,42.900001525878906,47.970001220703125,42.33000183105469,48.060001373291016,3142000
2008-04-04,47.0,50.4900016784668,46.279998779296875,52.0,2589700
2008-04-07,51.95000076293945,50.59000015258789,49.709999084472656,52.25,1567600
2008-04-08,49.939998626708984,53.27000045776367,49.0,54.13999938964844,2281400
2008-04-09,54.0,52.599998474121094,51.66999816894531,54.88999938964844,2027500
2008-04-10,52.029998779296875,53.90999984741211,52.029998779296875,56.150001525878906,1884300
2008-04-11,53.0,52.5,51.79999923706055,53.7599983215332,1059300
2008-04-14,52.0099983215332,51.849998474121094,51.20000076293945,52.47999954223633,1137700
2008-04-15,51.849998474121094,51.720001220703125,51.349998474121094,52.5,1237000
2008-04-16,52.79999923706055,53.959999084472656,52.79999923706055,55.0,1985300
2008-04-17,53.4900016784668,55.02000045776367,53.0,55.619998931884766,1994400
2008-04-18,56.849998474121094,58.470001220703125,56.849998474121094,60.75,3986600
2008-04-21,58.9900016784668,56.06999969482422,55.630001068115234,59.119998931884766,2408200
2008-04-22,56.09000015258789,58.02000045776367,54.220001220703125,59.29999923706055,6455500
2008-04-23,64.62999725341797,60.84000015258789,60.54999923706055,64.87999725341797,7786100
2008-04-24,60.34000015258789,61.52000045776367,58.349998474121094,61.75,2938300
2008-04-25,61.54999923706055,64.83999633789062,61.15999984741211,65.4800033569336,2555400
2008-04-28,65.19999694824219,67.33000183105469,65.06999969482422,69.47000122070312,2828000
2008-04-29,67.97000122070312,68.44000244140625,66.5,68.44999694824219,1728600
