Date,unpopen,unpclose,unplow,unphigh,unpvolume
2008-01-02,31.44499969482422,31.059999465942383,30.905000686645508,31.8125,10272000.0
2008-01-03,31.22249984741211,30.96500015258789,30.8125,31.4325008392334,6388000.0
2008-01-04,30.729999542236328,30.010000228881836,29.915000915527344,30.729999542236328,11112400.0
2008-01-07,30.225000381469727,29.747499465942383,29.34749984741211,30.47249984741211,13720000.0
2008-01-08,29.790000915527344,28.815000534057617,28.71500015258789,30.0,11514000.0
2008-01-09,28.815000534057617,28.6299991607666,27.989999771118164,29.0625,16579200.0
2008-01-10,28.360000610351562,29.212499618530273,27.774999618530273,29.6200008392334,11485600.0
2008-01-11,28.887500762939453,28.52750015258789,28.292499542236328,29.332500457763672,9112000.0
2008-01-14,28.8125,28.809999465942383,28.670000076293945,29.084999084472656,8944800.0
2008-01-15,28.399999618530273,28.072500228881836,27.940000534057617,28.537500381469727,10406000.0
2008-01-16,27.889999389648438,28.225000381469727,27.8174991607666,28.6299991607666,10658400.0
2008-01-17,28.364999771118164,27.260000228881836,27.09749984741211,28.662500381469727,13974400.0
2008-01-18,27.5,27.612499237060547,26.905000686645508,27.952499389648438,13347600.0
2008-01-22,26.329999923706055,27.592500686645508,26.329999923706055,27.912500381469727,17010800.0
2008-01-23,27.684999465942383,29.252500534057617,27.1825008392334,29.325000762939453,22102400.0
2008-01-24,29.579999923706055,30.239999771118164,29.56999969482422,31.232500076293945,17346800.0
2008-01-25,30.517499923706055,29.952499389648438,29.712499618530273,30.907499313354492,17500800.0
2008-01-28,30.05500030517578,30.30500030517578,29.747499465942383,30.36750030517578,15668000.0
2008-01-29,30.552499771118164,30.362499237060547,30.177499771118164,30.552499771118164,14337200.0
2008-01-30,30.172500610351562,30.239999771118164,29.927499771118164,30.700000762939453,17952400.0
2008-01-31,28.75,31.190000534057617,28.75,31.622499465942383,18588000.0
2008-02-01,31.327499389648438,31.99250030517578,30.875,32.08250045776367,38223200.0
2008-02-04,31.862499237060547,31.424999237060547,31.28499984741211,32.154998779296875,12136400.0
2008-02-05,30.5674991607666,30.657499313354492,30.387500762939453,31.225000381469727,9232400.0
2008-02-06,30.927499771118164,30.78499984741211,30.56999969482422,31.30500030517578,7174800.0
2008-02-07,30.7450008392334,31.0674991607666,30.614999771118164,31.295000076293945,9120400.0
2008-02-08,30.899999618530273,31.337499618530273,30.774999618530273,31.727500915527344,10270800.0
2008-02-11,31.389999389648438,31.375,30.65999984741211,31.462499618530273,8587200.0
2008-02-12,31.63249969482422,31.395000457763672,31.024999618530273,32.05500030517578,9458400.0
2008-02-13,31.697500228881836,31.489999771118164,31.149999618530273,31.772499084472656,8148800.0
2008-02-14,31.772499084472656,31.1825008392334,31.0674991607666,31.772499084472656,10688000.0
2008-02-15,31.122499465942383,31.200000762939453,30.732500076293945,31.237499237060547,9994000.0
2008-02-19,31.622499465942383,30.6875,30.354999542236328,31.622499465942383,17530400.0
2008-02-20,30.360000610351562,30.99250030517578,30.252500534057617,31.247499465942383,10071600.0
2008-02-21,31.162500381469727,30.80500030517578,30.47249984741211,31.295000076293945,15507600.0
2008-02-22,30.99250030517578,31.032499313354492,30.479999542236328,31.032499313354492,14107600.0
2008-02-25,31.112499237060547,31.665000915527344,30.600000381469727,31.72249984741211,10537600.0
2008-02-26,31.510000228881836,32.27750015258789,31.40999984741211,32.375,11760400.0
2008-02-27,32.01750183105469,31.9375,31.700000762939453,32.1775016784668,11292000.0
2008-02-28,31.707500457763672,31.565000534057617,31.315000534057617,31.795000076293945,8402000.0
2008-02-29,31.25749969482422,31.190000534057617,30.78499984741211,31.52750015258789,11765600.0
2008-03-03,31.25,30.962499618530273,30.34749984741211,31.25,12203600.0
2008-03-04,30.614999771118164,30.8799991607666,30.4375,31.200000762939453,10727600.0
2008-03-05,31.1875,31.4375,30.774999618530273,31.702499389648438,10178000.0
2008-03-06,31.344999313354492,30.247499465942383,30.21500015258789,31.344999313354492,12942000.0
2008-03-07,30.149999618530273,29.915000915527344,29.637500762939453,30.700000762939453,22086800.0
2008-03-10,29.75,29.6924991607666,29.56999969482422,30.297500610351562,8884800.0
2008-03-11,30.467500686645508,31.135000228881836,30.149999618530273,31.135000228881836,11212000.0
2008-03-12,31.247499465942383,30.84749984741211,30.782499313354492,31.482500076293945,12328800.0
2008-03-13,30.375,30.844999313354492,30.127500534057617,30.969999313354492,11208800.0
2008-03-14,31.13249969482422,30.6875,30.037500381469727,31.22249984741211,12946400.0
2008-03-17,29.9375,30.547500610351562,29.9375,30.875,12874000.0
2008-03-18,31.1875,32.32500076293945,30.997499465942383,32.345001220703125,26752800.0
2008-03-19,32.470001220703125,31.075000762939453,31.075000762939453,32.64250183105469,12441600.0
2008-03-20,31.112499237060547,30.514999389648438,29.5625,31.112499237060547,24026400.0
2008-03-24,30.700000762939453,31.389999389648438,30.604999542236328,31.780000686645508,10528000.0
2008-03-25,31.482500076293945,32.252498626708984,31.299999237060547,32.5,11295600.0
2008-03-26,32.150001525878906,31.967500686645508,31.6200008392334,32.287498474121094,8728000.0
2008-03-27,31.969999313354492,31.395000457763672,31.299999237060547,32.1875,7787200.0
2008-03-28,31.607500076293945,31.2549991607666,31.162500381469727,31.732500076293945,5988800.0
2008-03-31,31.084999084472656,31.344999313354492,30.897499084472656,31.5,7539600.0
2008-04-01,31.737499237060547,31.987499237060547,31.489999771118164,32.220001220703125,7488800.0
2008-04-02,32.22999954223633,32.407501220703125,31.962499618530273,32.57749938964844,11772400.0
