Date,pxdopen,pxdclose,pxdlow,pxdhigh,pxdvolume
2008-01-02,48.77000045776367,49.310001373291016,48.77000045776367,49.540000915527344,1012300.0
2008-01-03,49.4900016784668,49.599998474121094,49.369998931884766,49.9900016784668,649500.0
2008-01-04,49.040000915527344,48.08000183105469,48.0,49.209999084472656,641700.0
2008-01-07,48.0,47.369998931884766,46.9900016784668,48.36000061035156,993600.0
2008-01-08,47.75,46.630001068115234,46.61000061035156,48.40999984741211,1132600.0
2008-01-09,46.63999938964844,47.630001068115234,46.34000015258789,47.630001068115234,1150200.0
2008-01-10,47.279998779296875,46.7400016784668,46.349998474121094,47.439998626708984,1014000.0
2008-01-11,46.459999084472656,47.43000030517578,46.459999084472656,47.75,772900.0
2008-01-14,47.849998474121094,48.15999984741211,47.56999969482422,48.459999084472656,579700.0
2008-01-15,46.47999954223633,44.0,43.9900016784668,46.47999954223633,4173500.0
2008-01-16,42.93000030517578,41.900001525878906,41.79999923706055,43.56999969482422,5412900.0
2008-01-17,42.15999984741211,40.04999923706055,40.0,42.380001068115234,2806000.0
2008-01-18,40.13999938964844,40.380001068115234,39.65999984741211,41.290000915527344,2496500.0
2008-01-22,38.689998626708984,39.290000915527344,37.56999969482422,40.040000915527344,1527400.0
2008-01-23,38.400001525878906,38.540000915527344,36.369998931884766,38.95000076293945,1826700.0
2008-01-24,38.810001373291016,40.9900016784668,38.5,41.130001068115234,2943800.0
2008-01-25,41.2400016784668,40.40999984741211,40.20000076293945,42.130001068115234,1752000.0
2008-01-28,40.18000030517578,41.119998931884766,39.869998931884766,41.119998931884766,1655500.0
2008-01-29,41.83000183105469,41.56999969482422,41.29999923706055,42.220001220703125,1721800.0
2008-01-30,41.849998474121094,41.720001220703125,41.130001068115234,42.7599983215332,1576700.0
2008-01-31,40.93000030517578,41.900001525878906,40.68000030517578,42.400001525878906,1059300.0
2008-02-01,41.790000915527344,42.77000045776367,41.790000915527344,42.77000045776367,761800.0
2008-02-04,42.970001220703125,43.43000030517578,42.59000015258789,43.59000015258789,1013800.0
2008-02-05,42.18000030517578,41.5099983215332,41.349998474121094,42.5,1410700.0
2008-02-06,42.099998474121094,40.43000030517578,40.02000045776367,42.5,1547400.0
2008-02-07,40.630001068115234,42.18000030517578,40.61000061035156,42.279998779296875,1755100.0
2008-02-08,42.349998474121094,43.56999969482422,42.349998474121094,43.66999816894531,1855900.0
2008-02-11,43.5,44.060001373291016,43.5,45.33000183105469,2328600.0
2008-02-12,44.0,44.08000183105469,43.70000076293945,44.709999084472656,999500.0
2008-02-13,44.369998931884766,44.18000030517578,43.900001525878906,44.56999969482422,1089700.0
2008-02-14,44.33000183105469,44.36000061035156,44.08000183105469,45.290000915527344,1047700.0
2008-02-15,44.09000015258789,43.939998626708984,43.369998931884766,44.52000045776367,851100.0
2008-02-19,44.33000183105469,45.0099983215332,44.130001068115234,45.56999969482422,986000.0
2008-02-20,44.720001220703125,45.5,44.5099983215332,45.650001525878906,1045700.0
2008-02-21,45.5,44.13999938964844,44.060001373291016,45.5,947200.0
