aaplopen,aaplclose,aaplvolume,ebit,revenues,net profit,dividends,AAPL
-0.9217718412732026,-0.31360570009524225,0.11374112077200119,-1.0,-1.0,-1.0,1.0,1
-0.899021576873702,-0.10368793144979227,0.40313824860569614,-0.9169623034492229,-0.9554134636108916,-0.9265978645569997,1.0,1
-0.8703853434388372,0.1507235080881651,0.27730440020614733,-0.8411572177336294,-0.8919749982038939,-0.8401094488891533,1.0,0
0.34654022344385427,-0.9085885955052209,0.5843503247787027,-0.7678240369870225,-0.8062504490265106,-0.7553460428873093,1.0,1
-0.845534029632445,-0.8843073645852969,-0.6038793397727183,-0.6871209173513996,-0.6893454989582585,-0.6497040716176427,1.0,0
0.770106284878243,-0.8702569660079658,0.5087392085320341,-0.5451237096884942,-0.5304547740498599,-0.4935014722065253,1.0,0
-0.8214458100479879,0.5652124318179402,-0.06795732291238074,-0.36682611979583896,-0.36998347582441266,-0.3202272254111769,1.0,0
-0.8005269704226845,0.7292319107539791,0.21529888642986308,-0.13130850747293493,-0.18504202888138516,-0.07902328763049103,1.0,1
-1.0,0.7913056695281592,-0.5173270691614601,0.01805863907898652,-0.07114016811552554,0.05868007019004848,1.0,0
-0.7708580181331901,1.0,0.2409367982034007,0.4535258977821519,0.2103743084991738,0.4786306992237456,1.0,1
-0.6888512405284812,-0.747396405723517,0.16158276676049632,0.7973037925430867,0.4189956175012573,0.8138179222555988,1.0,0
-0.7098006180505149,-0.9977313666893782,0.11858787875492334,0.8977363759126593,0.5117034269703283,0.9039942896231746,1.0,0
-0.6994124080486543,-0.7540478102893408,-0.4362178853948972,1.0,0.6222860837703859,0.9991672367129644,0.5527593025346036,-1
-0.7680294862019958,-0.8196646760195129,1.0,0.9940491176672541,0.7398088943171205,1.0,0.10461980945532985,0
1.0,0.8133258628107748,0.25806116388651745,0.8646860909569477,0.8032760974207918,0.8765725842429289,-0.34316016537839295,0
-0.7787483694610635,-0.8241910584933972,-0.3124606148047854,0.7561053763933075,0.8075867519218335,0.7621271153674568,-0.8484630595002697,0
-0.9756099018954092,-1.0,-0.6716070730524002,0.7142660959923096,0.829226237517063,0.7198346370044315,-0.8989753730001797,0
-0.7432239656562253,-0.7942914974923414,0.4028718037951166,0.725847428532192,0.8735110280910985,0.7194777384528448,-0.9485888908862125,1
-0.712980145611473,-0.7665305093224901,-0.058741715892496466,0.773225607104438,0.9028665852431927,0.759688308598281,-0.9791479417580442,1
-0.6622448263130063,-0.7155304146754159,-0.6451613682817089,0.8227094825021172,0.9331704863855163,0.8101299705558694,-0.9892144526334712,0
-0.9647058513931268,-0.6904109737409776,-1.0,0.8746652628687831,1.0,0.8669363233500877,-1.0,0
