Date,aaplopen,aaplclose,aaplvolume,ebit,revenues,net profit,dividends
2009-07-22,2254142951965330,22391427993774400,218526000.0,11550.0,43605.0,8124.0,0.0
2010-01-25,2893000030517570,29010000228881800,266424900.0,13364.0,46708.0,9358.0,0.0
2010-04-21,3697142791748040,37031429290771400,245597800.0,15020.0,51123.0,10812.0,0.0
2010-07-21,37869998931884700,3631999969482420,296417800.0,16622.0,57089.0,12237.0,0.0
2010-10-27,4395000076293940,4397571563720700,99750700.0,18385.0,65225.0,14013.0,0.0
2011-01-19,49764286041259700,4840571594238280,283903200.0,21487.0,76283.0,16639.0,0.0
2011-04-21,5071428680419920,50099998474121000,188452600.0,25382.0,87451.0,19552.0,0.0
2011-07-20,5658856964111320,55271427154541000,235335100.0,30527.0,100322.0,23607.0,0.0
2011-10-26,57394287109375,57228572845458900,114076200.0,33790.0,108249.0,25922.0,0.0
2012-01-25,6491999816894530,63808570861816400,239578500.0,43303.0,127841.0,32982.0,0.0
2012-04-25,8794857025146480,8714286041259760,226444400.0,50813.0,142360.0,38617.0,0.0
2012-07-25,8206571197509760,821385726928711,219328200.0,53007.0,148812.0,40133.0,0.0
2012-10-31,8498285675048820,8504571533203120,127500800.0,55241.0,156508.0,41733.0,-2488.0
2013-01-24,6571428680419920,6435713958740230,365213100.0,55111.0,164687.0,41747.0,-4981.0
2013-04-24,56220001220703100,57922855377197200,242412800.0,52285.0,169104.0,39672.0,-7472.0
2013-07-24,6270428466796870,6293000030517570,147984200.0,49913.0,169404.0,37748.0,-10283.0
2013-10-30,742300033569336,749857177734375,88540900.0,48999.0,170910.0,37037.0,-10564.0
2014-01-28,7268000030517570,7235713958740230,266380800.0,49252.0,173992.0,37031.0,-10840.0
2014-04-24,8117285919189450,8111000061035150,189977900.0,50287.0,176035.0,37707.0,-11010.0
2014-07-23,9541999816894530,9719000244140620,92918000.0,51368.0,178144.0,38555.0,-11066.0
2014-10-27,1048499984741210,10511000061035100,34187700.0,52503.0,182795.0,39510.0,-11126.0
