aaplopen,aaplclose,aaplvolume,ebit,revenues,net profit,AAPL
-0.9295518507117048,-0.29994059715491694,-0.10460782952099294,-1.0,-1.0,-1.0,1
-0.3006970933348756,-0.29511646084101983,-0.4854372787672025,-1.0,-1.0,-1.0,1
-0.29926884113116375,-0.28542441769579546,-0.5826358871000477,-1.0,-1.0,-1.0,1
-0.28489256074369174,-0.2849335626074728,-0.5881772798072009,-1.0,-1.0,-1.0,1
-0.9929065244873378,-0.9285380647178374,-0.664703175878881,-1.0,-1.0,-1.0,1
-0.29056181566170786,-0.9285246209160554,-0.6442946320061943,-1.0,-1.0,-1.0,1
-0.2780607022812974,-0.2729185555729254,-0.548361574557688,-1.0,-1.0,-1.0,0
-0.2723008142912733,-0.2702391746131005,-0.5999972793288895,-1.0,-1.0,-1.0,1
-0.9263640667997001,-0.26059090198530616,-0.6293168987245538,-1.0,-1.0,-1.0,0
-0.2599778417765337,-0.2625574488041275,-0.5992877107505344,-1.0,-1.0,-1.0,1
-0.26073728441439364,-0.26791621072377736,-0.6887701447594499,-1.0,-1.0,-1.0,1
-0.26114044532091185,-0.26076911052055707,-0.638593509575775,-1.0,-1.0,-1.0,1
-0.2603810026830519,-0.26429889010473717,-0.7341026689125368,-1.0,-1.0,-1.0,0
-0.927426661437035,-0.9261663279662351,-0.5752760329280192,-1.0,-1.0,-1.0,0
-0.9255961859103083,-0.24777239330936432,-0.5808604297914364,-1.0,-1.0,-1.0,1
-0.9250201971113059,-0.2550977020478355,-0.7280452263302162,-1.0,-1.0,-1.0,1
-0.2698005916151912,-0.9287209629513844,-0.48826940962972765,-1.0,-1.0,-1.0,1
-0.9278373230115814,-0.2675128966703148,-0.5905455801271651,-1.0,-1.0,-1.0,1
-1.0,-0.26483351571048985,-0.6101616188344162,-1.0,-1.0,-1.0,1
-0.2634156479561466,-0.25710801938408684,-0.6883155293932312,-1.0,-1.0,-1.0,1
