AAPL,aaplopen,aaplclose,aapllow,aaplhigh,aaplvolume
-1,-0.8439133708661497,-0.8491356788444249,-0.8505482714349095,-0.8476315604538179,-0.3788670257818751
-1,-0.8489391768685292,-0.8490192685242434,-0.8503652918037392,-0.8513293217198822,-0.5214024609069974
0,-0.8540951882514695,-0.8682653430692955,-0.8684014541000062,-0.8569854903450415,-0.15244939535314297
0,-0.8673758415424508,-0.8713824836781627,-0.8797197895367793,-0.8690966312786422,0.2180639638648587
0,-0.868821086498885,-0.8796474264520685,-0.8789748184883415,-0.8705654281968385,-0.11158215677116114
0,-0.88033098138203,-0.8691060670016081,-0.8822422421025033,-0.874379149830484,0.06278528890019014
0,-0.8721542573217645,-0.8708909734373961,-0.8729497002325635,-0.8724465114419626,-0.13613279688470262
0,-0.8742114675668349,-0.8777848958671608,-0.8800203814809466,-0.8765050382960576,-0.28682989757341754
0,-0.872232380550101,-0.8699079702248615,-0.8732633621503858,-0.8744822257127786,-0.3660800236604864
0,-0.8719719871728752,-0.8825058774605322,-0.8869995903636428,-0.8747398982162647,0.3810212361281682
0,-0.8882342567592216,-0.8946640123755171,-0.8974030625443609,-0.887894665255847,0.30321526534189586
0,-0.8930777926127117,-0.8930472369109926,-0.8951550794253923,-0.8925973819697824,0.029108529857838707
0,-0.8928173818515899,-0.8924393336190432,-0.8935997874602415,-0.8920949042458469,0.00896104856350911
0,-0.9105900164685469,-0.899837683500596,-0.9113876028071651,-0.8995290802338358,0.4360102264277294
0,-0.9260450300793117,-0.9212696160930628,-0.9373439771894932,-0.9252716969603809,1.0
1,-0.9210973473052688,-0.9257577770460711,-0.9296720771529793,-0.9243698001925542,0.17819315877713277
1,-0.9223993663430861,-0.9329879959563604,-0.9328088010305909,-0.9264441507169805,-0.09299328597629263
1,-0.9365002961477052,-0.9329879959563604,-0.9369388254560858,-0.9340329405284112,-0.1410207071335525
1,-0.9326072421884138,-0.9310090550512711,-0.9335407021053739,-0.9345612044251704,-0.36636111216308903
1,-0.9323207903511798,-0.9301812828679773,-0.9322990895079434,-0.9311340001478792,-0.2803581293548129
1,-0.9348206815062614,-0.9260682045665553,-0.9330832704773463,-0.929587896317962,-0.218668460439318
1,-0.9259799447729271,-0.9281506040428072,-0.9294499050507421,-0.9296652032296829,-0.42000525387834203
