Date;aaplopen;aaplclose;aaplvolume;ebit;revenues;net profit
22.07.2009;2254140000000000;22391400000000000;218526000.0;11550.0;43605.0;8124.0
23.07.2009;22375700000000000;22545700000000000;131740700.0;11550.0;43605.0;8124.0
24.07.2009;22421400000000000;22855700000000000;109590600.0;11550.0;43605.0;8124.0
27.07.2009;22881400000000000;22871400000000000;108327800.0;11550.0;43605.0;8124.0
28.07.2009;226971000000000;2285710000000000;90888700.0;11550.0;43605.0;8124.0
29.07.2009;22700000000000000;2286140000000000;95539500.0;11550.0;43605.0;8124.0
30.07.2009;23100000000000000;23255700000000000;117401200.0;11550.0;43605.0;8124.0
31.07.2009;23284300000000000;23341400000000000;105634200.0;11550.0;43605.0;8124.0
03.08.2009;23601400000000000;23775700000000000;98560000.0;11550.0;43605.0;8124.0
04.08.2009;2356140000000000;23650000000000000;98952700.0;11550.0;43605.0;8124.0
05.08.2009;23678600000000000;23587100000000000;105795900.0;11550.0;43605.0;8124.0
06.08.2009;23654300000000000;23415700000000000;85404200.0;11550.0;43605.0;8124.0
07.08.2009;23641400000000000;23644300000000000;96838700.0;11550.0;43605.0;8124.0
10.08.2009;23665700000000000;23531400000000000;75073600.0;11550.0;43605.0;8124.0
11.08.2009;2338430000000000;23261400000000000;88835600.0;11550.0;43605.0;8124.0
12.08.2009;2322140000000000;2361570000000000;111267800.0;11550.0;43605.0;8124.0
13.08.2009;2380710000000000;24060000000000000;109995200.0;11550.0;43605.0;8124.0
14.08.2009;2399140000000000;23825700000000000;76454000.0;11550.0;43605.0;8124.0
17.08.2009;23364300000000000;2279860000000000;131095300.0;11550.0;43605.0;8124.0
18.08.2009;2309000000000000;23428600000000000;107788100.0;11550.0;43605.0;8124.0
19.08.2009;23.25;23514300000000000;103317900.0;11550.0;43605.0;8124.0
20.08.2009;23568600000000000;23761400000000000;85507800.0;11550.0;43605.0;8124.0
21.08.2009;23950000000000000;24174300000000000;104018600.0;11550.0;43605.0;8124.0
24.08.2009;243029000000000;2415140000000000;101732400.0;11550.0;43605.0;8124.0
25.08.2009;2420860000000000;24200000000000000;81088700.0;11550.0;43605.0;8124.0
26.08.2009;24131400000000000;23915700000000000;75999700.0;11550.0;43605.0;8124.0
27.08.2009;2410710000000000;24207100000000000;112295400.0;11550.0;43605.0;8124.0
28.08.2009;24610000000000000;24292900000000000;113425200.0;11550.0;43605.0;8124.0
31.08.2009;24022900000000000;24030000000000000;77834400.0;11550.0;43605.0;8124.0
01.09.2009;23998600000000000;23614300000000000;117257000.0;11550.0;43605.0;8124.0
02.09.2009;2351710000000000;23597100000000000;91062300.0;11550.0;43605.0;8124.0
03.09.2009;23777100000000000;23792900000000000;73488800.0;11550.0;43605.0;8124.0
04.09.2009;2389710000000000;24330000000000000;93657200.0;11550.0;43605.0;8124.0
08.09.2009;24711400000000000;24704300000000000;78761900.0;11550.0;43605.0;8124.0
09.09.2009;24682900000000000;24448600000000000;202771800.0;11550.0;43605.0;8124.0
10.09.2009;24580000000000000;2465140000000000;122783500.0;11550.0;43605.0;8124.0
11.09.2009;2470140000000000;2459430000000000;87240300.0;11550.0;43605.0;8124.0
14.09.2009;24404300000000000;24817100000000000;80502800.0;11550.0;43605.0;8124.0
15.09.2009;24862900000000000;25022900000000000;106617700.0;11550.0;43605.0;8124.0
16.09.2009;25427100000000000;25981400000000000;188505800.0;11550.0;43605.0;8124.0
17.09.2009;25997100000000000;26364300000000000;202643000.0;11550.0;43605.0;8124.0
18.09.2009;26547100000000000;26431400000000000;150395700.0;11550.0;43605.0;8124.0
21.09.2009;263271000000000;26288600000000000;109428900.0;11550.0;43605.0;8124.0
22.09.2009;2645570000000000;26354300000000000;89188400.0;11550.0;43605.0;8124.0
23.09.2009;26485700000000000;43246;148390900.0;11550.0;43605.0;8124.0
24.09.2009;26742900000000000;26260000000000000;137720100.0;11550.0;43605.0;8124.0
25.09.2009;26001400000000000;260529000000000;111309800.0;11550.0;43605.0;8124.0
28.09.2009;2626710000000000;26592900000000000;84361200.0;11550.0;43605.0;8124.0
29.09.2009;2667570000000000;2648290000000000;86346400.0;11550.0;43605.0;8124.0
30.09.2009;2659000000000000;2647860000000000;134896300.0;11550.0;43605.0;8124.0
01.10.2009;2647860000000000;25837100000000000;131177900.0;11550.0;43605.0;8124.0
02.10.2009;25915700000000000;2641430000000000;138327000.0;11550.0;43605.0;8124.0
05.10.2009;26600000000000000;2657430000000000;105783300.0;11550.0;43605.0;8124.0
06.10.2009;2682000000000000;27144300000000000;151271400.0;11550.0;43605.0;8124.0
07.10.2009;27108600000000000;27178600000000000;116417000.0;11550.0;43605.0;8124.0
08.10.2009;2723710000000000;27038600000000000;109552800.0;11550.0;43605.0;8124.0
09.10.2009;2699570000000000;27210000000000000;73318000.0;11550.0;43605.0;8124.0
12.10.2009;27288600000000000;2725860000000000;72006200.0;11550.0;43605.0;8124.0
13.10.2009;2723290000000000;27145700000000000;87005100.0;11550.0;43605.0;8124.0
14.10.2009;27464300000000000;273271000000000;93877700.0;11550.0;43605.0;8124.0
15.10.2009;2709000000000000;27222900000000000;93389100.0;11550.0;43605.0;8124.0
16.10.2009;27050000000000000;26864300000000000;107856700.0;11550.0;43605.0;8124.0
19.10.2009;2683570000000000;2712290000000000;235557700.0;11550.0;43605.0;8124.0
20.10.2009;28657100000000000;28394300000000000;285259800.0;11550.0;43605.0;8124.0
21.10.2009;28502900000000000;292743000000000;298431700.0;11550.0;43605.0;8124.0
22.10.2009;29242900000000000;29314300000000000;197848000.0;11550.0;43605.0;8124.0
23.10.2009;29385700000000000;2913430000000000;105196700.0;11550.0;43605.0;8124.0
26.10.2009;29095700000000000;2892570000000000;121084600.0;11550.0;43605.0;8124.0
27.10.2009;28808600000000000;28195700000000000;189137900.0;11550.0;43605.0;8124.0
28.10.2009;28244300000000000;27485700000000000;204596700.0;11550.0;43605.0;8124.0
29.10.2009;2785710000000000;28050000000000000;142567600.0;11550.0;43605.0;8124.0
30.10.2009;2800860000000000;26928600000000000;179381300.0;11550.0;43605.0;8124.0
02.11.2009;27114300000000000;2704430000000000;169745800.0;11550.0;43605.0;8124.0
03.11.2009;2683570000000000;26964300000000000;130635400.0;11550.0;43605.0;8124.0
04.11.2009;27247100000000000;2725860000000000;121882600.0;11550.0;43605.0;8124.0
05.11.2009;27485700000000000;27718600000000000;96200300.0;11550.0;43605.0;8124.0
06.11.2009;27501400000000000;2776290000000000;73774400.0;11550.0;43605.0;8124.0
09.11.2009;2813430000000000;28780000000000000;132213900.0;11550.0;43605.0;8124.0
10.11.2009;2871710000000000;28997100000000000;100298800.0;11550.0;43605.0;8124.0
11.11.2009;29222900000000000;29035700000000000;110967500.0;11550.0;43605.0;8124.0
12.11.2009;29020000000000000;28855700000000000;90932800.0;11550.0;43605.0;8124.0
13.11.2009;28981400000000000;29207100000000000;85810200.0;11550.0;43605.0;8124.0
16.11.2009;29354300000000000;29518600000000000;121301600.0;11550.0;43605.0;8124.0
17.11.2009;29440000000000000;29571400000000000;99128400.0;11550.0;43605.0;8124.0
18.11.2009;29505700000000000;294229000000000;93580200.0;11550.0;43605.0;8124.0
19.11.2009;29230000000000000;28644300000000000;135581600.0;11550.0;43605.0;8124.0
20.11.2009;28450000000000000;28560000000000000;101666600.0;11550.0;43605.0;8124.0
23.11.2009;29.0;29411400000000000;118724200.0;11550.0;43605.0;8124.0
24.11.2009;29332900000000000;2920570000000000;79609600.0;11550.0;43605.0;8124.0
25.11.2009;29342900000000000;29170000000000000;71613500.0;11550.0;43605.0;8124.0
27.11.2009;28460000000000000;2865570000000000;73814300.0;11550.0;43605.0;8124.0
30.11.2009;28730000000000000;28558600000000000;106214500.0;11550.0;43605.0;8124.0
01.12.2009;28891400000000000;2813860000000000;116440800.0;11550.0;43605.0;8124.0
02.12.2009;284229000000000;2803290000000000;178815000.0;11550.0;43605.0;8124.0
03.12.2009;28202900000000000;28068600000000000;112179900.0;11550.0;43605.0;8124.0
04.12.2009;2852860000000000;27617100000000000;206721200.0;11550.0;43605.0;8124.0
07.12.2009;27617100000000000;26992900000000000;178689700.0;11550.0;43605.0;8124.0
08.12.2009;27051400000000000;27124300000000000;172599700.0;11550.0;43605.0;8124.0
09.12.2009;27325700000000000;28257100000000000;171195500.0;11550.0;43605.0;8124.0
10.12.2009;43248;2806140000000000;122417400.0;11550.0;43605.0;8124.0
11.12.2009;2825430000000000;27810000000000000;107443700.0;11550.0;43605.0;8124.0
14.12.2009;2791000000000000;28140000000000000;123947600.0;11550.0;43605.0;8124.0
15.12.2009;279757000000000;27738600000000000;104864900.0;11550.0;43605.0;8124.0
16.12.2009;27871400000000000;2786140000000000;88246200.0;11550.0;43605.0;8124.0
17.12.2009;27751400000000000;27408600000000000;97209700.0;11550.0;43605.0;8124.0
18.12.2009;27595700000000000;2791860000000000;152192600.0;11550.0;43605.0;8124.0
21.12.2009;28007100000000000;28318600000000000;152976600.0;11550.0;43605.0;8124.0
